WORD,SWUM_TAG,POSSE_TAG,STANFORD_TAG,POSITION,MAXPOSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG
Action,N,N,N,1,2,2,2,N
ID,NM,N,N,0,3,0,2,NM
LUMNINANCE,NM,N,N,1,3,1,2,NM
MIN,N,N,N,2,3,2,2,N
idle,NM,NM,V,0,2,0,2,NM
Delay,N,N,N,1,2,2,2,N
im,NM,FAILURE,N,0,3,0,2,NM
out,NM,FAILURE,P,1,3,1,2,NM
shape,N,FAILURE,N,2,3,2,2,N
img,NM,N,N,0,3,0,2,NM
buffer,NM,N,N,1,3,1,2,N
original,N,N,N,2,3,2,2,NM
in,NM,P,P,0,5,0,2,P
Order,NM,N,N,1,5,1,2,N
Wrapped,NM,NM,N,2,5,1,2,NM
Verification,NM,N,N,3,5,1,2,NM
Mode,N,N,N,4,5,2,2,N
index,NM,N,N,0,2,0,2,NM
Data,N,N,N,1,2,2,2,NPL
INDEX,NM,V,N,0,4,0,2,NM
PREFIX,NM,N,N,1,4,1,2,N
WITH,NM,P,P,2,4,1,2,P
TEMPLATE,N,N,N,3,4,2,2,N
index,NM,V,N,0,4,0,2,N
To,NM,P,P,1,4,1,2,P
Loc,NM,N,N,2,4,1,2,NM
Format,N,N,N,3,4,2,2,N
inet,NM,N,V,0,3,0,2,NM
Socket,NM,N,N,1,3,1,2,NM
Address,N,N,N,2,3,2,2,N
INITIALIZATION,NM,N,N,0,2,0,2,NM
ERROR,N,N,N,1,2,2,2,N
inner,NM,NM,NM,0,2,0,2,NM
Alpha,N,N,N,1,2,2,2,N
INVALID,N,N,NM,0,1,0,2,NM
INVALID,NM,NM,NM,0,2,0,2,NM
HOST,N,N,N,1,2,2,2,N
INVALID,NM,NM,NM,0,3,0,2,NM
STATE,NM,N,N,1,3,1,2,NM
NUMBER,N,N,N,2,3,2,2,N
Invert,NM,V,N,0,2,0,2,V
Success,N,N,N,1,2,2,2,N
Is,NM,N,V,0,3,0,2,V
Bridged,NM,N,N,1,3,1,2,NM
Argument,N,N,N,2,3,2,2,N
IS,NM,N,V,0,3,0,2,V
FIRST,NM,NM,N,1,3,1,2,NM
CAPITAL,N,N,N,2,3,2,2,N
is,NM,V,V,0,3,0,2,V
First,NM,NM,N,1,3,1,2,NM
Frame,N,N,N,2,3,2,2,N
Is,NM,V,V,0,3,0,2,V
Indirect,NM,NM,NM,1,3,1,2,NM
Result,N,N,N,2,3,2,2,N
is,NM,N,V,0,2,0,2,V
partial,N,N,NM,1,2,2,2,N
Is,NM,V,V,0,3,0,2,V
Return,NM,N,N,1,3,1,2,N
Bridged,N,V,N,2,3,2,2,NM
keep,NM,V,V,0,2,0,2,V
Aspect,N,N,N,1,2,2,2,N
KEY,NM,NM,NM,0,3,0,2,NM
PASSWORD,NM,N,N,1,3,1,2,NM
PROFILES,N,N,NPL,2,3,2,2,NPL
key,NM,NM,NM,0,2,0,2,NM
sym,N,N,N,1,2,2,2,N
label,NM,N,V,0,2,0,2,NM
Regex,N,N,N,1,2,2,2,N
language,NM,FAILURE,N,0,4,0,2,N
To,NM,FAILURE,P,1,4,1,2,P
Rules,NM,FAILURE,NPL,2,4,1,2,NM
Files,N,FAILURE,NPL,3,4,2,2,NPL
last,DT,NM,VM,0,3,0,2,NM
Saved,NM,NM,NM,1,3,1,2,NM
Step,N,N,N,2,3,2,2,N
LATENCY,NM,N,N,0,2,0,2,NM
ARG,N,N,N,1,2,2,2,N
layer,NM,N,N,0,4,0,2,NM
mask,NM,N,N,1,4,1,2,NM
source,NM,N,N,2,4,1,2,NM
node,N,N,N,3,4,2,2,N
Link,NM,N,N,0,2,0,2,NM
Name,N,N,N,1,2,2,2,N
locations,N,N,NPL,0,1,0,2,NPL
m,NM,NM,N,0,2,0,2,PRE
annotation,N,N,N,1,2,2,2,N
m,NM,NM,N,0,4,0,2,PRE
contact,NM,N,N,1,4,1,2,NM
Motion,NM,N,N,2,4,1,2,N
1,N,N,D,3,4,2,2,D
m,NM,NM,N,0,3,0,2,PRE
count,NM,N,N,1,3,1,2,NM
Activities,N,N,NPL,2,3,2,2,NPL
m,NM,V,N,0,4,0,2,PRE
execute,NM,P,V,1,4,1,2,V
On,NM,N,P,2,4,1,2,P
Host,N,FAILURE,N,3,4,2,2,N
m,NM,NM,N,0,3,0,2,PRE
FBO,NM,N,N,1,3,1,2,NM
Height,N,N,N,2,3,2,2,N
m,NM,NM,N,0,4,0,2,PRE
First,NM,NM,N,1,4,1,2,NM
Render,NM,N,N,2,4,1,2,NM
Queue,N,N,N,3,4,2,2,N
m,NM,NM,N,0,3,0,2,PRE
gpu,NM,N,N,1,3,1,2,NM
Rays,N,N,NPL,2,3,2,2,NPL
m,NM,V,N,0,4,0,2,PRE
is,NM,N,V,1,4,1,2,V
indx,NM,N,VM,2,4,1,2,NM
present,N,FAILURE,NM,3,4,2,2,N
m,NM,NM,N,0,4,0,2,PRE
is,NM,N,V,1,4,1,2,V
Worker,NM,N,N,2,4,1,2,N
Done,N,NM,N,3,4,2,2,NM
m,NM,NM,N,0,4,0,2,PRE
last,DT,NM,NM,1,4,1,2,NM
Changed,NM,NM,N,2,4,1,2,NM
Location,N,N,N,3,4,2,2,N
m,NM,NM,N,0,4,0,2,PRE
Line,NM,N,N,1,4,1,2,NM
Dash,NM,N,N,2,4,1,2,NM
Offset,N,N,N,3,4,2,2,N
m,NM,NM,N,0,5,0,2,PRE
num,NM,N,N,1,5,1,2,NM
Visual,NM,NM,N,2,5,1,2,NM
Shapes,NM,N,N,3,5,1,2,NM
Copied,N,V,N,4,5,2,2,N
m,NM,NM,N,0,3,0,2,PRE
paste,NM,N,V,1,3,1,2,NM
Mode,N,N,N,2,3,2,2,N
m,NM,NM,N,0,3,0,2,PRE
post,NM,N,N,1,3,1,2,NM
Fix,N,N,V,2,3,2,2,N
m,NM,NM,N,0,3,0,2,PRE
Preview,NM,N,N,1,3,1,2,N
Started,N,V,NM,2,3,2,2,NM
m,NM,NM,N,0,2,0,2,PRE
reference,N,N,N,1,2,2,2,N
m,NM,NM,N,0,6,0,2,PRE
remove,NM,N,V,1,6,1,2,NM
User,NM,N,N,2,6,1,2,NM
Data,NM,N,N,3,6,1,2,NM
Response,NM,N,N,4,6,1,2,NM
Args,N,N,N,5,6,2,2,NPL
m,NM,NM,N,0,2,0,2,PRE
Resources,N,N,N,1,2,2,2,NPL
m,NM,NM,N,0,2,0,2,PRE
sbuf,N,N,N,1,2,2,2,N
m,NM,NM,N,0,4,0,2,PRE
Shadow,NM,N,N,1,4,1,2,NM
Receiver,NM,N,N,2,4,1,2,NM
Pass,N,N,N,3,4,2,2,N
m,NM,NM,N,0,4,0,2,PRE
Sky,NM,N,N,1,4,1,2,NM
Box,NM,N,N,2,4,1,2,NM
Orientation,N,N,N,3,4,2,2,N
m,NM,NM,N,0,5,0,2,PRE
Sky,NM,N,N,1,5,1,2,NM
Plane,NM,NM,N,2,5,1,2,NM
Render,NM,N,N,3,5,1,2,NM
Queue,N,N,N,4,5,2,2,N
m,NM,NM,N,0,3,0,2,PRE
text,NM,N,N,1,3,1,2,NM
Types,N,N,NPL,2,3,2,2,NPL
m,NM,NM,N,0,4,0,2,PRE
transform,NM,N,V,1,4,1,2,NM
Change,NM,N,N,2,4,1,2,NM
Args,N,N,N,3,4,2,2,NPL
m,NM,FAILURE,N,0,5,0,2,PRE
VS,NM,FAILURE,N,1,5,1,2,NM
Out,NM,FAILURE,P,2,5,1,2,NM
Light,NM,FAILURE,NM,3,5,1,2,NM
Position,N,FAILURE,N,4,5,2,2,N
m,NM,NM,N,0,2,0,2,PRE
weaver,N,N,N,1,2,2,2,N
m,NM,NM,N,0,3,0,2,PRE
window,NM,N,N,1,3,1,2,NM
Width,N,N,N,2,3,2,2,N
m,NM,NM,N,0,2,0,2,PRE
worker,N,N,N,1,2,2,2,N
m,NM,NM,N,0,3,0,2,PRE
zoom,NM,N,N,1,3,1,2,NM
Controller,N,N,N,2,3,2,2,N
MANIFEST,NM,NM,N,0,3,0,2,NM
FILE,NM,N,N,1,3,1,2,NM
PREFIX,N,N,N,2,3,2,2,N
matcher,NM,N,V,0,2,0,2,NM
Builder,N,N,N,1,2,2,2,N
max,NM,N,N,0,3,0,2,NM
Buffer,NM,N,N,1,3,1,2,NM
Size,N,N,N,2,3,2,2,N
max,NM,N,V,0,3,0,2,NM
File,NM,N,N,1,3,1,2,N
Open,N,N,N,2,3,2,2,NM
max,NM,N,N,0,2,0,2,NM
width,N,N,N,1,2,2,2,N
max,NM,N,V,0,4,0,2,NM
Work,NM,N,N,1,4,1,2,NM
Group,NM,N,N,2,4,1,2,NM
Size,N,N,N,3,4,2,2,N
min,NM,N,N,0,3,0,2,NM
Font,NM,N,N,1,3,1,2,NM
Size,N,N,N,2,3,2,2,N
mock,NM,NM,NM,0,2,0,2,NM
Ref,N,N,N,1,2,2,2,N
module,NM,N,N,0,2,0,2,NM
Finder,N,N,N,1,2,2,2,N
MORE,DT,N,NM,0,1,0,2,DT
move,NM,N,V,0,3,0,2,NM
RBT,NM,N,N,1,3,1,2,NM
surgeon,N,N,N,2,3,2,2,N
mtx,N,N,N,0,1,0,2,N
multiple,NM,NM,NM,0,2,0,2,NM
Occurences,N,N,NPL,1,2,2,2,NPL
n,NM,N,N,0,2,0,2,NM
d,N,N,N,1,2,2,2,N
name,NM,N,N,0,2,0,2,NM
Container,N,N,N,1,2,2,2,N
Nav,NM,N,N,0,2,0,2,N
Visible,N,NM,N,1,2,2,2,NM
new,NM,NM,NM,0,2,0,2,NM
Strokes,N,N,NPL,1,2,2,2,NPL
new,NM,NM,NM,0,2,0,2,NM
Y,N,N,N,1,2,2,2,N
next,DT,NM,P,0,4,0,2,NM
Giphy,NM,N,N,1,4,1,2,NM
Search,NM,N,V,2,4,1,2,NM
Offset,N,N,N,3,4,2,2,N
nonce,NM,N,NM,0,2,0,2,NM
length,N,N,N,1,2,2,2,N
Num,NM,N,N,0,3,0,2,NM
Active,NM,NM,NM,1,3,1,2,NM
Tris,N,N,N,2,3,2,2,NPL
num,NM,N,N,0,3,0,2,NM
axis,NM,N,N,1,3,1,2,NM
events,N,N,NPL,2,3,2,2,NPL
num,NM,N,N,0,3,0,2,NM
body,NM,N,N,1,3,1,2,NM
parts,N,N,NPL,2,3,2,2,NPL
num,NM,N,N,0,2,0,2,NM
cols,N,N,NPL,1,2,2,2,NPL
num,NM,N,N,0,2,0,2,NM
groups,N,N,NPL,1,2,2,2,NPL
num,NM,N,N,0,2,0,2,NM
light,N,N,N,1,2,2,2,N
num,NM,N,N,0,2,0,2,NM
Outs,N,N,NPL,1,2,2,2,NPL
num,NM,N,N,0,4,0,2,NM
Tess,NM,N,N,1,4,1,2,NM
Face,NM,N,N,2,4,1,2,NM
Data,N,N,N,3,4,2,2,N
number,NM,N,N,0,3,0,2,NM
Elementary,NM,NM,N,1,3,1,2,NM
Vegas,N,N,N,2,3,2,2,NPL
Number,NM,N,N,0,2,0,2,NM
Start,N,N,N,1,2,2,2,N
odf,NM,N,N,0,3,0,2,NM
Symbol,NM,N,N,1,3,1,2,NM
Type,N,N,N,2,3,2,2,N
on,NM,P,P,0,5,0,2,P
Item,NM,N,N,1,5,1,2,NM
Long,NM,NM,N,2,5,1,2,NM
Click,NM,N,V,3,5,1,2,NM
Listener,N,N,N,4,5,2,2,N
ongoing,NM,NM,NM,0,3,0,2,NM
Call,NM,N,N,1,3,1,2,NM
Notification,N,N,N,2,3,2,2,N
OP,NM,N,N,0,3,0,2,NM
CODE,NM,N,N,1,3,1,2,NM
CONTINUATION,N,N,N,2,3,2,2,N
original,NM,NM,NM,0,3,0,2,NM
Mocking,NM,NM,N,1,3,1,2,NM
Details,N,N,N,2,3,2,2,NPL
other,DT,NM,NM,0,4,0,2,NM
Data,NM,N,N,1,4,1,2,NM
Len,NM,N,N,2,4,1,2,NM
Bits,N,N,N,3,4,2,2,NPL
other,DT,NM,NM,0,3,0,2,NM
side,NM,NM,NM,1,3,1,2,NM
x,N,N,N,2,3,2,2,N
packet,NM,N,N,0,2,0,2,NM
sent,N,N,NM,1,2,2,2,N
PARENT,N,N,N,0,1,0,2,N
parser,NM,N,N,0,2,0,2,NM
Errors,N,N,NPL,1,2,2,2,NPL
pickup,N,N,N,0,1,0,2,N
pixel,NM,N,V,0,2,0,2,NM
Width,N,N,N,1,2,2,2,N
PREF,NM,N,N,0,2,0,2,NM
FONT,N,N,N,1,2,2,2,N
prev,NM,N,V,0,2,0,2,NM
Property,N,N,N,1,2,2,2,N
previous,NM,NM,NM,0,2,0,2,NM
Caption,N,N,N,1,2,2,2,N
print,NM,V,N,0,4,0,2,V
Features,NM,N,V,1,4,1,2,NPL
Up,NM,P,VM,2,4,1,2,VM
to,N,P,P,3,4,2,2,P
proof,NM,NM,N,0,2,0,2,NM
profile,N,N,N,1,2,2,2,N
q,NM,N,N,0,2,0,2,NM
tail,N,N,N,1,2,2,2,N
raw,NM,NM,NM,0,2,0,2,NM
Arguments,N,N,NPL,1,2,2,2,NPL
RC,NM,N,N,0,2,0,2,NM
Identity,N,N,N,1,2,2,2,N
reduction,NM,N,N,0,2,0,2,NM
Indices,N,N,NPL,1,2,2,2,NPL
ref,NM,N,V,0,4,0,2,NM
Point,NM,N,N,1,4,1,2,NM
Offset,NM,N,N,2,4,1,2,NM
Percent,N,N,N,3,4,2,2,N
reference,NM,N,V,0,4,0,2,NM
Index,NM,N,N,1,4,1,2,NM
Meta,NM,N,N,2,4,1,2,NM
Datas,N,N,N,3,4,2,2,NPL
REFRESH,NM,V,N,0,4,0,2,NM
INTERVAL,NM,N,N,1,4,1,2,N
IN,NM,P,P,2,4,1,2,P
MILLIS,N,N,N,3,4,2,2,NPL
Replace,NM,N,V,0,3,0,2,NM
Text,NM,N,V,1,3,1,2,NM
Context,N,N,N,2,3,2,2,N
Replacement,NM,N,N,0,2,0,2,NM
Length,N,N,N,1,2,2,2,N
resamplers,N,N,NPL,0,1,0,2,NPL
returned,NM,N,NM,0,2,0,2,NM
Value,N,N,N,1,2,2,2,N
RETURNS,NM,N,N,0,2,0,2,V
SELF,N,N,N,1,2,2,2,N
risky,NM,NM,NM,0,2,0,2,NM
Annuity,N,N,N,1,2,2,2,N
rotate,NM,N,V,0,2,0,2,NM
desc,N,N,N,1,2,2,2,N
row,NM,N,N,0,2,0,2,NM
limit,N,N,N,1,2,2,2,N
rule,NM,N,N,0,2,0,2,NM
Options,N,N,NPL,1,2,2,2,NPL
RUN,NM,N,N,0,4,0,2,NM
DIST,NM,N,N,1,4,1,2,NM
CMD,NM,N,N,2,4,1,2,NM
PROP,N,N,N,3,4,2,2,N
runner,NM,N,N,0,2,0,2,NM
Override,N,N,N,1,2,2,2,N
runtime,NM,N,V,0,3,0,2,NM
Mx,NM,N,N,1,3,1,2,NM
Bean,N,N,N,2,3,2,2,N
samplers,N,N,NPL,0,1,0,2,NPL
script,NM,N,N,0,4,0,2,NM
Event,NM,N,N,1,4,1,2,NM
Action,NM,N,N,2,4,1,2,NM
Factories,N,N,NPL,3,4,2,2,NPL
selected,NM,NM,NM,0,2,0,2,NM
Account,N,N,N,1,2,2,2,N
selection,NM,N,N,0,3,0,2,NM
width,NM,N,N,1,3,1,2,NM
label,N,N,N,2,3,2,2,N
session,NM,N,N,0,2,0,2,NM
Factory,N,N,N,1,2,2,2,N
session,NM,N,N,0,3,0,2,NM
ticket,NM,N,N,1,3,1,2,NM
key,N,N,N,2,3,2,2,N
shift,NM,N,N,0,2,0,2,NM
Values,N,N,NPL,1,2,2,2,NPL
show,NM,V,N,0,2,0,2,V
tags,N,N,NPL,1,2,2,2,NPL
skip,NM,V,V,0,2,0,2,NM
Vetoes,N,N,N,1,2,2,2,NPL
sort,NM,N,V,0,4,0,2,NM
Field,NM,N,N,1,4,1,2,NM
Data,NM,N,N,2,4,1,2,NM
Type,N,N,N,3,4,2,2,N
spline,NM,N,N,0,3,0,2,NM
max,NM,N,N,1,3,1,2,NM
len,N,N,N,2,3,2,2,N
Sprites,N,N,NPL,0,1,0,2,NPL
st,NM,N,N,0,2,0,2,NM
lib,N,N,N,1,2,2,2,N
stack,N,N,V,0,1,0,2,N
state,NM,V,N,0,5,0,2,N
To,NM,P,P,1,5,1,2,P
Grammar,NM,N,N,2,5,1,2,NM
Region,NM,N,N,3,5,1,2,NM
Map,N,N,N,4,5,2,2,N
statement,N,N,N,0,1,0,2,N
Step,NM,N,V,0,2,0,2,NM
No,DT,N,N,1,2,2,2,N
Struct,NM,N,N,0,2,0,2,NM
Ty,N,N,N,1,2,2,2,N
stubbing,NM,N,NM,0,3,0,2,NM
Lookup,NM,N,N,1,3,1,2,NM
Listeners,N,N,NPL,2,3,2,2,NPL
Sub,NM,N,N,0,5,0,2,NM
Module,NM,N,N,1,5,1,2,NM
Name,NM,N,N,2,5,1,2,NM
Visibility,NM,N,N,3,5,1,2,NM
Pairs,N,N,NPL,4,5,2,2,NPL
tcp,NM,N,V,0,5,0,2,NM
Slave,NM,N,N,1,5,1,2,NM
Agent,NM,N,N,2,5,1,2,NM
Listener,NM,N,N,3,5,1,2,NM
Lock,N,N,N,4,5,2,2,N
Then,N,N,VM,0,1,0,2,N
time,NM,N,N,0,2,0,2,NM
spec,N,N,N,1,2,2,2,N
tlv,NM,N,N,0,2,0,2,NM
Symbols,N,N,NPL,1,2,2,2,NPL
tot,NM,N,N,0,2,0,2,NM
channel,N,N,N,1,2,2,2,N
tot,NM,N,N,0,2,0,2,NM
elem,N,N,N,1,2,2,2,N
total,NM,NM,NM,0,4,0,2,NM
Merge,NM,N,N,1,4,1,2,NM
Throttled,NM,N,N,2,4,1,2,NM
Time,N,N,N,3,4,2,2,N
trade,NM,N,V,0,2,0,2,NM
Price,N,N,N,1,2,2,2,N
TYPE,NM,N,N,0,3,0,2,NM
TEST,NM,N,N,1,3,1,2,NM
RULE,N,N,N,2,3,2,2,N
TYPE,NM,N,N,0,3,0,2,N
WINDOW,NM,N,N,1,3,1,2,NM
UPDATE,N,N,N,2,3,2,2,NM
UNKNOWN,NM,NM,N,0,2,0,2,NM
USERNAME,N,N,N,1,2,2,2,N
unregistered,NM,NM,NM,0,3,0,2,NM
request,NM,N,N,1,3,1,2,NM
matcher,N,N,N,2,3,2,2,N
UNRESTRICTED,N,NM,N,0,1,0,2,NM
use,NM,V,V,0,3,0,2,V
Atm,NM,N,N,1,3,1,2,NM
Spread,N,N,N,2,3,2,2,N
