WORD,SWUM_TAG,POSSE_TAG,STANFORD_TAG,POSITION,MAXPOSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG
Mention,N,N,N,1,2,2,3,NM
identifier,NM,N,NM,0,2,0,3,NM
quark,N,N,N,1,2,2,3,N
idp,NM,N,N,0,2,0,3,NM
Configuration,N,N,N,1,2,2,3,N
idx,NM,N,N,0,2,0,3,NM
u,N,N,N,1,2,2,3,N
img,NM,N,N,0,2,0,3,NM
stub,N,N,N,1,2,2,3,N
img,NM,N,N,0,2,0,3,NM
Type,N,N,N,1,2,2,3,N
IMPLICIT,NM,NM,N,0,3,0,3,NM
GROUP,NM,N,N,1,3,1,3,NM
KEY,N,N,N,2,3,2,3,N
in,NM,P,P,0,2,0,3,P
Cache,N,N,N,1,2,2,3,N
indexes,NM,N,NPL,0,4,0,3,NPL
Of,NM,P,P,1,4,1,3,P
Suspicious,NM,NM,NM,2,4,1,3,NM
Args,N,N,NPL,3,4,2,3,NPL
inertial,NM,NM,NM,0,2,0,3,NM
Frame,N,N,N,1,2,2,3,N
inst,NM,NM,N,0,2,0,3,NM
Results,N,N,NPL,1,2,2,3,NPL
interface,NM,N,N,0,2,0,3,NM
Bounds,N,N,NPL,1,2,2,3,NPL
inv,NM,N,V,0,4,0,3,NM
Flight,NM,N,N,1,4,1,3,NM
K,NM,NM,N,2,4,1,3,N
2,N,N,D,3,4,2,3,D
inv,NM,N,N,0,3,0,3,NM
unit,NM,N,N,1,3,1,3,NM
scale,N,N,N,2,3,2,3,N
inverted,NM,NM,NM,0,2,0,3,NM
Direction,N,N,N,1,2,2,3,N
is,NM,FAILURE,V,0,3,0,3,V
a,NM,FAILURE,DT,1,3,1,3,DT
empty,N,FAILURE,NM,2,3,2,3,N
is,NM,FAILURE,V,0,6,0,3,V
Node,NM,FAILURE,N,1,6,1,3,N
A,NM,FAILURE,N,2,6,1,3,DT
Left,NM,FAILURE,NM,3,6,1,3,NM
Child,NM,FAILURE,N,4,6,1,3,NM
Leaf,N,FAILURE,N,5,6,2,3,N
is,NM,V,V,0,2,0,3,V
Trained,N,V,NM,1,2,2,3,V
items,NM,N,NPL,0,3,0,3,NPL
per,NM,N,P,1,3,1,3,P
second,N,N,N,2,3,2,3,N
jar,NM,N,N,0,3,0,3,NM
URL,NM,N,N,1,3,1,3,NM
Connection,N,N,N,2,3,2,3,N
joint,NM,NM,NM,0,2,0,3,NM
Start,N,N,N,1,2,2,3,N
key,NM,NM,NM,0,2,0,3,NM
Begin,N,N,N,1,2,2,3,N
key,NM,NM,NM,0,3,0,3,NM
Events,NM,N,NPL,1,3,1,3,NM
Copy,N,N,V,2,3,2,3,N
kinects,NM,N,NPL,0,2,0,3,NM
Copy,N,N,V,1,2,2,3,N
label,NM,N,N,0,2,0,3,NM
casefold,N,N,N,1,2,2,3,N
last,DT,V,NM,0,6,0,3,NM
Token,NM,NM,N,1,6,1,3,N
Was,NM,N,NM,2,6,1,3,V
Delete,NM,N,V,3,6,1,3,N
Or,NM,N,CJ,4,6,1,3,CJ
Default,N,N,N,5,6,2,3,N
layer,NM,N,N,0,2,0,3,NM
sizes,N,N,NPL,1,2,2,3,NPL
left,NM,NM,NM,0,3,0,3,NM
Sisters,NM,N,NPL,1,3,1,3,NM
Buffer,N,N,N,2,3,2,3,N
lhs,NM,N,V,0,2,0,3,NM
Component,N,N,N,1,2,2,3,N
line,NM,N,N,0,3,0,3,NM
1,NM,NM,D,1,3,1,3,D
grad,N,N,N,2,3,2,3,N
line,NM,N,V,0,2,0,3,NM
Y,N,N,N,1,2,2,3,N
link,NM,N,N,0,2,0,3,NM
URL,N,N,N,1,2,2,3,N
loaded,NM,NM,NM,0,3,0,3,NM
mentions,NM,N,V,1,3,1,3,NM
count,N,N,N,2,3,2,3,N
logger,NM,N,N,0,3,0,3,NM
Name,NM,N,N,1,3,1,3,NM
Parts,N,N,NPL,2,3,2,3,NPL
lower,NM,N,NM,0,2,0,3,NM
tail,N,N,N,1,2,2,3,N
mapped,NM,N,NM,0,2,0,3,NM
labels,N,N,NPL,1,2,2,3,NPL
max,NM,N,V,0,4,0,3,NM
Age,NM,N,N,1,4,1,3,NM
Seconds,NM,N,N,2,4,1,3,NPL
Long,N,NM,N,3,4,2,3,NM
max,NM,N,N,0,2,0,3,NM
basket,N,N,N,1,2,2,3,N
max,NM,N,N,0,3,0,3,NM
input,NM,N,N,1,3,1,3,NM
size,N,N,N,2,3,2,3,N
melanin,NM,N,N,0,2,0,3,NM
ofs,N,N,NPL,1,2,2,3,N
merged,NM,NM,NM,0,2,0,3,NM
Type,N,N,N,1,2,2,3,N
method,NM,N,N,0,2,0,3,NM
Handles,N,N,V,1,2,2,3,NPL
method,NM,N,N,0,2,0,3,NM
index,N,N,N,1,2,2,3,N
minimized,NM,NM,NM,0,3,0,3,NM
Random,NM,NM,N,1,3,1,3,NM
FA,N,N,N,2,3,2,3,N
missing,NM,NM,NM,0,2,0,3,NM
Classes,N,N,NPL,1,2,2,3,NPL
mock,NM,NM,NM,0,2,0,3,NM
Method,N,N,N,1,2,2,3,N
mod,NM,NM,N,0,2,0,3,NM
Iface,N,N,N,1,2,2,3,N
movie,NM,N,N,0,3,0,3,NM
Media,NM,N,N,1,3,1,3,NM
Handler,N,N,N,2,3,2,3,N
mx,NM,N,P,0,2,0,3,NM
Bean,N,N,N,1,2,2,3,N
n,NM,N,N,0,2,0,3,NM
repeats,N,N,NPL,1,2,2,3,NPL
nbr,NM,N,N,0,2,0,3,NM
gaps,N,N,NPL,1,2,2,3,NPL
nd,NM,N,N,0,2,0,3,NM
Formula,N,N,N,1,2,2,3,N
nearest,NM,V,NM,0,2,0,3,NM
point,N,FAILURE,N,1,2,2,3,N
need,NM,V,N,0,2,0,3,V
fallback,N,N,N,1,2,2,3,N
neighbor,NM,N,N,0,2,0,3,NM
pos,N,N,NPL,1,2,2,3,N
network,NM,N,N,0,3,0,3,NM
Security,NM,N,N,1,3,1,3,NM
Policy,N,N,N,2,3,2,3,N
new,NM,NM,NM,0,3,0,3,NM
image,NM,N,N,1,3,1,3,NM
height,N,N,N,2,3,2,3,N
new,NM,NM,NM,0,2,0,3,NM
order,N,N,N,1,2,2,3,N
new,NM,NM,NM,0,3,0,3,NM
Rule,NM,N,N,1,3,1,3,NM
Text,N,N,V,2,3,2,3,N
new,NM,NM,NM,0,3,0,3,NM
Sil,NM,NM,N,1,3,1,3,NM
Type,N,N,N,2,3,2,3,N
new,NM,NM,NM,0,4,0,3,NM
Warning,NM,NM,N,1,4,1,3,NM
Header,NM,N,N,2,4,1,3,NM
Size,N,N,N,3,4,2,3,N
next,DT,NM,NM,0,3,0,3,NM
Fragment,NM,N,N,1,3,1,3,NM
Expression,N,N,N,2,3,2,3,N
next,DT,NM,VM,0,2,0,3,NM
Search,N,N,V,1,2,2,3,N
noise,NM,N,N,0,2,0,3,N
1,N,N,D,1,2,2,3,D
non,NM,FAILURE,NM,0,4,0,3,NM
Greedy,NM,FAILURE,N,1,4,1,3,NM
States,NM,FAILURE,N,2,4,1,3,NM
Builder,N,FAILURE,N,3,4,2,3,N
num,NM,N,N,0,2,0,3,NM
metadata,N,N,N,1,2,2,3,N
num,NM,N,N,0,2,0,3,NM
primes,N,N,V,1,2,2,3,NPL
num,NM,N,V,0,2,0,3,NM
States,N,N,N,1,2,2,3,NPL
num,NM,N,N,0,4,0,3,NM
Vec,NM,N,N,1,4,1,3,N
Per,NM,N,P,2,4,1,3,P
Segment,N,N,N,3,4,2,3,N
num,NM,FAILURE,N,0,4,0,3,NM
Verts,NM,FAILURE,NPL,1,4,1,3,NPL
In,NM,FAILURE,P,2,4,1,3,P
A,N,FAILURE,N,3,4,2,3,N
number,NM,N,N,0,3,0,3,N
Of,NM,P,P,1,3,1,3,P
Joysticks,N,N,NPL,2,3,2,3,NPL
numbering,NM,N,N,0,2,0,3,NM
Path,N,N,N,1,2,2,3,N
obj,NM,N,V,0,2,0,3,NM
Proj,N,N,N,1,2,2,3,N
one,NM,NM,D,0,2,0,3,NM
Document,N,N,N,1,2,2,3,N
open,NM,NM,NM,0,3,0,3,NM
Class,NM,N,N,1,3,1,3,NM
Tags,N,N,N,2,3,2,3,NPL
order,NM,V,V,0,2,0,3,V
With,N,P,N,1,2,2,3,P
ori,NM,N,N,0,2,0,3,NM
W,N,N,N,1,2,2,3,N
out,NM,P,P,0,3,0,3,N
d,NM,NM,N,1,3,1,3,NM
G,N,N,N,2,3,2,3,NM
overriden,NM,N,N,0,3,0,3,NM
Function,NM,N,N,1,3,1,3,NM
It,PR,N,PR,2,3,2,3,N
PAI,NM,N,N,0,2,0,3,NM
Arg,N,N,N,1,2,2,3,N
paint,NM,N,N,0,2,0,3,NM
radio,N,N,N,1,2,2,3,N
param,NM,N,V,0,2,0,3,NM
Def,N,N,N,1,2,2,3,N
parts,NM,N,NPL,0,2,0,3,NM
Size,N,N,N,1,2,2,3,N
passphrase,N,N,N,0,1,0,3,N
pd,NM,N,N,0,2,0,3,NM
Sum,N,N,N,1,2,2,3,N
platform,NM,N,N,0,2,0,3,NM
String,N,N,N,1,2,2,3,N
present,NM,NM,NM,0,2,0,3,NM
Scaling,N,N,N,1,2,2,3,N
prev,NM,N,N,0,3,0,3,NM
num,NM,N,N,1,3,1,3,NM
hooks,N,N,NPL,2,3,2,3,NPL
prev,NM,N,V,0,4,0,3,NM
Signal,NM,NM,N,1,4,1,3,NM
Bar,NM,N,N,2,4,1,3,NM
Count,N,N,N,3,4,2,3,N
previous,NM,NM,NM,0,3,0,3,NM
Stream,NM,N,N,1,3,1,3,NM
Id,N,N,N,2,3,2,3,N
prim,NM,NM,NM,0,2,0,3,NM
Type,N,N,N,1,2,2,3,N
processing,NM,N,NM,0,2,0,3,NM
Level,N,N,N,1,2,2,3,N
progress,NM,FAILURE,V,0,2,0,3,V
out,N,FAILURE,VM,1,2,2,3,N
provider,NM,N,N,0,2,0,3,NM
Code,N,N,N,1,2,2,3,N
r,NM,N,N,0,2,0,3,NM
hdr,N,N,N,1,2,2,3,N
raw,NM,NM,NM,0,3,0,3,NM
Extra,NM,NM,N,1,3,1,3,NM
Interfaces,N,N,NPL,2,3,2,3,NPL
raw,NM,NM,NM,0,2,0,3,NM
nor,N,N,CJ,1,2,2,3,N
rcp,NM,N,N,0,3,0,3,NM
len,NM,N,N,1,3,1,3,N
2,N,N,D,2,3,2,3,D
received,NM,NM,NM,0,3,0,3,NM
Token,NM,NM,N,1,3,1,3,NM
Signature,N,N,N,2,3,2,3,N
recorded,NM,NM,NM,0,3,0,3,NM
Matchers,NM,N,NPL,1,3,1,3,NM
Size,N,N,N,2,3,2,3,N
rectangle,NM,N,N,0,2,0,3,NM
Index,N,N,N,1,2,2,3,N
reduced,NM,NM,NM,0,2,0,3,NM
Json,N,N,N,1,2,2,3,N
rem,NM,N,V,0,2,0,3,NM
F,N,N,N,1,2,2,3,N
REPL,NM,N,N,0,2,0,3,NM
Module,N,N,N,1,2,2,3,N
request,NM,N,N,0,2,0,3,NM
bytes,N,N,NPL,1,2,2,3,NPL
requested,NM,NM,NM,0,2,0,3,NM
Plugins,N,N,N,1,2,2,3,NPL
rgb,NM,N,N,0,2,0,3,NM
real,N,N,N,1,2,2,3,N
root,NM,N,N,0,2,0,3,NM
ptr,N,N,N,1,2,2,3,N
rounded,NM,NM,NM,0,2,0,3,NM
Bounds,N,N,N,1,2,2,3,NPL
rt,NM,N,P,0,3,0,3,NM
Stream,NM,N,N,1,3,1,3,NM
Ptr,N,N,N,2,3,2,3,N
rtm,NM,N,N,0,2,0,3,NM
Session,N,N,N,1,2,2,3,N
rules,NM,N,NPL,0,4,0,3,N
Of,NM,P,P,1,4,1,3,P
New,NM,NM,N,2,4,1,3,NM
Chain,N,N,N,3,4,2,3,N
running,NM,NM,NM,0,3,0,3,NM
Log,NM,N,N,1,3,1,3,NM
Average,N,N,N,2,3,2,3,N
s,NM,N,NPL,0,4,0,3,PRE
Tracking,NM,N,NM,1,4,1,3,NM
System,NM,N,N,2,4,1,3,NM
Name,N,N,N,3,4,2,3,N
score,NM,N,V,0,3,0,3,NM
Pos,NM,N,N,1,3,1,3,N
Prev,N,N,N,2,3,2,3,NM
selection,NM,N,N,0,2,0,3,NM
bounds,N,N,NPL,1,2,2,3,NPL
sentence,NM,N,N,0,2,0,3,NM
List,N,N,N,1,2,2,3,N
set,NM,NM,NM,0,4,0,3,NM
Prev,NM,N,N,1,4,1,3,NM
Ctx,NM,N,N,2,4,1,3,NM
Action,N,N,N,3,4,2,3,N
simple,NM,NM,NM,0,3,0,3,NM
Fn,NM,N,N,1,3,1,3,NM
Ty,N,N,N,2,3,2,3,N
sin,NM,N,N,0,3,0,3,NM
rot,NM,N,N,1,3,1,3,NM
w,N,N,N,2,3,2,3,N
size,NM,NM,N,0,2,0,3,NM
Guess,N,N,V,1,2,2,3,N
size,NM,NM,N,0,3,0,3,N
Per,NM,N,P,1,3,1,3,P
Span,N,N,N,2,3,2,3,N
source,NM,N,N,0,2,0,3,NM
index,N,N,N,1,2,2,3,N
source,NM,N,N,0,2,0,3,NM
Ty,N,N,N,1,2,2,3,N
src,NM,N,N,0,3,0,3,NM
File,NM,N,N,1,3,1,3,NM
Info,N,N,N,2,3,2,3,N
src,NM,N,N,0,3,0,3,NM
start,NM,N,N,1,3,1,3,NM
idx,N,N,N,2,3,2,3,N
ssl,NM,N,N,0,2,0,3,NM
creds,N,N,NPL,1,2,2,3,NPL
static,NM,NM,NM,0,2,0,3,NM
Rect,N,N,N,1,2,2,3,N
status,NM,N,N,0,2,0,3,NM
File,N,N,N,1,2,2,3,N
step,NM,N,N,0,2,0,3,NM
Size,N,N,N,1,2,2,3,N
step,NM,N,V,0,2,0,3,NM
x,N,N,N,1,2,2,3,N
str,NM,N,N,0,2,0,3,NM
args,N,N,NPL,1,2,2,3,NPL
stream,NM,N,N,0,2,0,3,NM
Headers,N,N,NPL,1,2,2,3,NPL
sub,N,NM,N,0,2,0,3,NM
start,N,N,N,1,2,2,3,N
supported,NM,NM,NM,0,2,0,3,NM
Style,N,N,N,1,2,2,3,N
sz,NM,N,P,0,3,0,3,NM
Joint,NM,NM,N,1,3,1,3,NM
Ranges,N,N,NPL,2,3,2,3,NPL
tab,NM,N,N,0,2,0,3,NM
Overlap,N,N,N,1,2,2,3,N
tagged,NM,NM,NM,0,2,0,3,NM
Resources,N,N,N,1,2,2,3,NPL
target,NM,N,N,0,2,0,3,NM
chars,N,N,V,1,2,2,3,NPL
temp,NM,N,N,0,2,0,3,NM
Attrs,N,N,N,1,2,2,3,NPL
text,NM,N,N,0,3,0,3,N
Chopped,NM,NM,N,1,3,1,3,NM
2,N,N,D,2,3,2,3,D
thread,NM,N,N,0,3,0,3,NM
Array,NM,N,N,1,3,1,3,NM
Size,N,N,N,2,3,2,3,N
tmp,NM,N,N,0,2,0,3,NM
vec,N,N,N,1,2,2,3,N
to,NM,P,P,0,2,0,3,P
XYZ,N,N,N,1,2,2,3,N
token,NM,NM,NM,0,2,0,3,NM
Data,N,N,N,1,2,2,3,N
token,NM,NM,NM,0,4,0,3,NM
Store,NM,N,N,1,4,1,3,NM
Typed,NM,N,N,2,4,1,3,NM
Data,N,N,N,3,4,2,3,N
token,NM,NM,NM,0,3,0,3,NM
Type,NM,N,N,1,3,1,3,NM
S,N,N,N,2,3,2,3,N
tranched,NM,FAILURE,N,0,3,0,3,NM
Loss,NM,FAILURE,N,1,3,1,3,N
After,N,FAILURE,P,2,3,2,3,P
transform,NM,N,V,0,3,0,3,NM
Unique,NM,NM,NM,1,3,1,3,NM
Id,N,N,N,2,3,2,3,N
trim,NM,V,V,0,3,0,3,V
Parse,NM,N,N,1,3,1,3,NM
Trees,N,N,N,2,3,2,3,NPL
tune,NM,N,V,0,2,0,3,NM
Treebank,N,N,N,1,2,2,3,N
txt,NM,N,N,0,2,0,3,NM
alias,N,N,N,1,2,2,3,N
ui,NM,N,P,0,2,0,3,NM
Index,N,N,N,1,2,2,3,N
update,NM,N,V,0,2,0,3,NM
area,N,N,N,1,2,2,3,N
use,NM,V,V,0,3,0,3,V
mat,NM,NM,N,1,3,1,3,NM
dirs,N,N,N,2,3,2,3,NPL
utc,NM,N,V,0,3,0,3,NM
Timestamp,NM,N,N,1,3,1,3,NM
Ms,N,N,N,2,3,2,3,NPL
v,NM,NM,N,0,3,0,3,NM
proj,NM,N,NM,1,3,1,3,NM
axis,N,N,N,2,3,2,3,N
v,NM,NM,N,0,2,0,3,NM
Tok,N,N,N,1,2,2,3,N
Val,NM,N,N,0,2,0,3,NM
Size,N,N,N,1,2,2,3,N
value,NM,N,N,0,3,0,3,NM
Count,NM,N,N,1,3,1,3,NM
String,N,N,N,2,3,2,3,N
value,NM,N,N,0,2,0,3,NM
X,N,N,N,1,2,2,3,N
var,NM,N,N,0,2,0,3,NM
Args,N,N,N,1,2,2,3,NPL
vary,NM,N,V,0,2,0,3,NM
Fields,N,N,N,1,2,2,3,NPL
verification,NM,FAILURE,N,0,3,0,3,N
Over,NM,FAILURE,N,1,3,1,3,P
Time,N,FAILURE,N,2,3,2,3,N
wait,NM,V,V,0,2,0,3,V
Until,N,P,P,1,2,2,3,P
wat,NM,N,NM,0,2,0,3,NM
id,N,N,N,1,2,2,3,N
win,NM,N,V,0,2,0,3,NM
Error,N,N,N,1,2,2,3,N
within,NM,FAILURE,P,0,2,0,3,P
vertically,N,FAILURE,VM,1,2,2,3,VM
worst,NM,NM,NM,0,2,0,3,NM
score,N,N,N,1,2,2,3,N
wrapper,NM,N,N,0,2,0,3,NM
Class,N,N,N,1,2,2,3,N
x,NM,NM,N,0,2,0,3,N
2,N,N,D,1,2,2,3,D
x,NM,NM,N,0,2,0,3,NM
Distance,N,N,N,1,2,2,3,N
