WORD,SWUM_TAG,POSSE_TAG,STANFORD_TAG,POSITION,MAXPOSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG
Unsupported,NM,NM,N,1,4,1,1,NM
Gpu,NM,N,N,2,4,1,1,NM
Program,NM,N,N,3,4,2,1,N
Data,NM,N,N,0,4,0,1,NM
Access,NM,N,N,1,4,1,1,NM
Repository,NM,N,N,2,4,1,1,N
Private,N,N,N,3,4,2,1,NM
Declaration,NM,N,N,0,3,0,1,NM
Context,NM,N,N,1,3,1,1,N
Private,N,N,N,2,3,2,1,NM
Declaration,NM,N,N,0,2,0,1,NM
Item,N,N,N,1,2,2,1,N
Default,NM,N,N,0,3,0,1,NM
Injection,NM,N,N,1,3,1,1,NM
Engine,N,N,N,2,3,2,1,N
Default,NM,N,N,0,3,0,1,NM
Mocking,NM,NM,N,1,3,1,1,NM
Details,N,N,N,2,3,2,1,NPL
Default,NM,N,N,0,4,0,1,NM
Ssl,NM,N,N,1,4,1,1,NM
Roots,NM,N,N,2,4,1,1,NPL
Override,N,N,N,3,4,2,1,NM
Define,N,V,V,0,1,0,1,N
Deserialization,NM,N,N,0,2,0,1,NM
Context,N,N,N,1,2,2,1,N
Device,NM,N,N,0,2,0,1,NM
Handler,N,N,N,1,2,2,1,N
Dialog,NM,N,NM,0,2,0,1,NM
Elements,N,N,NPL,1,2,2,1,NPL
Disk,NM,N,N,0,3,0,1,NM
Lru,NM,N,N,1,3,1,1,NM
Cache,N,N,N,2,3,2,1,N
Dispatch,NM,N,N,0,4,0,1,NM
Mask,NM,N,N,1,4,1,1,NM
Buffer,NM,N,N,2,4,1,1,NM
Iterator,N,N,N,3,4,2,1,N
Dispatch,NM,N,N,0,3,0,1,NM
Paint,NM,N,N,1,3,1,1,NM
Mask,N,N,N,2,3,2,1,N
DOT,NM,N,N,0,2,0,1,NM
Generator,N,N,N,1,2,2,1,N
Dual,NM,NM,NM,0,4,0,1,NM
Con,NM,N,N,1,4,1,1,NM
Input,NM,N,N,2,4,1,1,NM
Reader,N,N,N,3,4,2,1,N
Dvb,NM,N,N,0,3,0,1,NM
Subtitle,NM,N,N,1,3,1,1,NM
Reader,N,N,N,2,3,2,1,N
Dynamic,NM,NM,N,0,4,0,1,NM
Textured,NM,NM,N,1,4,1,1,NM
Cube,NM,N,N,2,4,1,1,NM
Demo,N,N,N,3,4,2,1,N
Env,NM,N,N,0,6,0,1,NM
Vars,NM,N,N,1,6,1,1,NM
Slave,NM,N,N,2,6,1,1,NM
Info,NM,N,N,3,6,1,1,NM
Display,NM,N,V,4,6,1,1,NM
Name,N,N,N,5,6,2,1,N
Executor,N,N,N,0,1,0,1,N
Expected,NM,NM,N,0,2,0,1,NM
Exception,N,N,N,1,2,2,1,N
Explicit,NM,NM,N,0,3,0,1,NM
Euler,NM,N,N,1,3,1,1,NM
Scheme,N,N,N,2,3,2,1,N
Expression,NM,N,N,0,2,0,1,NM
Finder,N,N,N,1,2,2,1,N
Fd,NM,N,N,0,5,0,1,NM
Black,NM,NM,N,1,5,1,1,NM
Scholes,NM,N,N,2,5,1,1,NM
Vanilla,NM,NM,N,3,5,1,1,NM
Engine,N,N,N,4,5,2,1,N
File,NM,N,V,0,3,0,1,NM
Item,NM,N,N,1,3,1,1,NM
Delegate,N,N,N,2,3,2,1,N
File,NM,N,V,0,2,0,1,NM
Operator,N,N,N,1,2,2,1,N
File,NM,N,V,0,3,0,1,NM
Path,NM,N,N,1,3,1,1,NM
Filter,N,N,N,2,3,2,1,N
File,NM,N,V,0,3,0,1,NM
System,NM,N,N,1,3,1,1,NM
Archive,N,N,N,2,3,2,1,N
Fixed,NM,NM,N,0,2,0,1,NM
Object,N,N,N,1,2,2,1,N
Formatted,NM,N,NM,0,2,0,1,NM
Text,N,N,V,1,2,2,1,N
Frame,NM,N,N,0,2,0,1,N
2,N,N,D,1,2,2,1,D
Generic,NM,NM,NM,0,3,0,1,NM
Emissive,NM,N,NM,1,3,1,1,NM
Closure,N,N,N,2,3,2,1,N
Generic,NM,NM,NM,0,3,0,1,NM
Type,NM,N,N,1,3,1,1,NM
Extractor,N,N,N,2,3,2,1,N
Geometry,NM,N,N,0,2,0,1,NM
Interface,N,N,N,1,2,2,1,N
Get,NM,N,V,0,3,0,1,V
Home,NM,NM,N,1,3,1,1,NM
Directory,N,N,N,2,3,2,1,N
Get,NM,N,V,0,4,0,1,V
Total,NM,NM,NM,1,4,1,1,NM
Disk,NM,N,N,2,4,1,1,NM
Space,N,N,N,3,4,2,1,N
GL,NM,N,N,0,3,0,1,PRE
Config,NM,N,N,1,3,1,1,NM
Attribs,N,N,N,2,3,2,1,NPL
Globals,NM,FAILURE,NPL,0,6,0,1,NPL
As,NM,FAILURE,P,1,6,1,1,P
Members,NM,FAILURE,N,2,6,1,1,NPL
Table,NM,FAILURE,N,3,6,1,1,NM
Reader,NM,FAILURE,N,4,6,1,1,NM
Info,N,FAILURE,N,5,6,2,1,N
GLX,NM,N,N,0,2,0,1,NM
Configurator,N,N,N,1,2,2,1,N
Group,NM,V,N,0,3,0,1,N
By,NM,P,P,1,3,1,1,P
Context,N,N,N,2,3,2,1,N
H,NM,N,N,0,2,0,1,NM
pack,N,N,N,1,2,2,1,N
Handshake,NM,N,N,0,2,0,1,NM
Mode,N,N,N,1,2,2,1,N
HDR,NM,N,N,0,2,0,1,NM
Listener,N,N,N,1,2,2,1,N
Heat,NM,N,N,0,3,0,1,NM
Vision,NM,N,N,1,3,1,1,NM
Listener,N,N,N,2,3,2,1,N
Http1,NM,N,N,0,3,0,1,NM
Exchange,NM,N,N,1,3,1,1,NM
Codec,NM,N,N,2,3,2,1,N
I,NM,NM,PR,0,3,0,1,NM
Read,NM,N,N,1,3,1,1,NM
File,N,N,N,2,3,2,1,N
Icy,NM,NM,N,0,2,0,1,NM
Decoder,N,N,N,1,2,2,1,N
Image,NM,N,N,0,2,0,1,NM
Manager,N,N,N,1,2,2,1,N
Install,NM,N,N,0,4,0,1,V
Uncaught,NM,N,N,1,4,1,1,NM
Exception,NM,N,N,2,4,1,1,NM
Handler,N,N,N,3,4,2,1,N
Internal,N,NM,N,0,1,0,1,NM
Internal,NM,NM,N,0,3,0,1,NM
FFMpeg,NM,N,N,1,3,1,1,NM
Register,NM,N,N,2,3,2,1,N
Inverse,NM,NM,N,0,3,0,1,NM
Dynamics,NM,N,N,1,3,1,1,NM
Example,N,N,N,2,3,2,1,N
JFlex,NM,N,N,0,3,0,1,PRE
Dummy,NM,NM,N,1,3,1,1,NM
Lexer,N,N,N,2,3,2,1,N
Jnt,NM,N,N,0,3,0,1,NM
Array,NM,N,N,1,3,1,1,NM
Acc,N,N,N,2,3,2,1,N
Key,NM,NM,N,0,2,0,1,NM
Status,N,N,N,1,2,2,1,N
Ko,NM,N,N,0,4,0,1,PRE
Main,NM,NM,N,1,4,1,1,NM
Window,NM,N,N,2,4,1,1,N
Private,N,N,N,3,4,2,1,NM
Ko,NM,N,N,0,6,0,1,PRE
Path,NM,N,N,1,6,1,1,NM
Point,NM,N,N,2,6,1,1,NM
Remove,NM,N,V,3,6,1,1,NM
Command,NM,N,N,4,6,1,1,N
Private,N,N,N,5,6,2,1,NM
Ko,NM,N,N,0,6,0,1,PRE
Rgb,NM,N,N,1,6,1,1,NM
U8,NM,N,N,2,6,1,1,NM
Invert,NM,N,N,3,6,1,1,NM
Color,NM,NM,N,4,6,1,1,NM
Transformation,NM,N,N,5,6,2,1,N
Ko,NM,N,N,0,4,0,1,PRE
Section,NM,N,N,1,4,1,1,NM
End,NM,N,N,2,4,1,1,N
Private,N,N,N,3,4,2,1,NM
Ko,NM,N,N,0,4,0,1,PRE
Shadow,NM,N,N,1,4,1,1,NM
Style,NM,N,N,2,4,1,1,N
Private,N,N,N,3,4,2,1,NM
Label,NM,N,N,0,2,0,1,NM
Action,N,N,N,1,2,2,1,N
Label,NM,N,N,0,3,0,1,NM
Drawing,NM,N,N,1,3,1,1,NM
Widget,N,N,N,2,3,2,1,N
Layer,NM,N,N,0,2,0,1,NM
Parameter,N,N,N,1,2,2,1,N
Layout,NM,N,N,0,2,0,1,NM
Data,N,N,N,1,2,2,1,N
Lease,N,N,N,0,1,0,1,N
Left,NM,NM,NM,0,4,0,1,NM
Recursive,NM,NM,NM,1,4,1,1,NM
Rule,NM,N,N,2,4,1,1,NM
Function,N,N,N,3,4,2,1,N
Less,DT,NM,VM,0,4,0,1,NM
Dummy,NM,NM,N,1,4,1,1,NM
Gui,NM,N,N,2,4,1,1,NM
Helper,N,N,N,3,4,2,1,N
Light,NM,NM,NM,0,3,0,1,NM
Attenuation,NM,N,N,1,3,1,1,NM
Value,N,N,N,2,3,2,1,N
List,NM,N,N,0,2,0,1,NM
Level,N,N,N,1,2,2,1,N
Local,NM,NM,N,0,2,0,1,NM
Ref,N,N,N,1,2,2,1,N
Log,NM,N,V,0,5,0,1,NM
Mixed,NM,NM,N,1,5,1,1,NM
Linear,NM,NM,N,2,5,1,1,NM
Cubic,NM,NM,N,3,5,1,1,NM
Interpolation,N,N,N,4,5,2,1,N
Lsm,NM,N,N,0,3,0,1,NM
Basis,NM,N,N,1,3,1,1,NM
System,N,N,N,2,3,2,1,N
LVL,NM,N,N,0,2,0,1,NM
Currency,N,N,N,1,2,2,1,N
Main,NM,NM,N,0,2,0,1,NM
Class,N,N,N,1,2,2,1,N
Maps,N,N,NPL,0,1,0,1,NPL
Mask,NM,N,N,0,2,0,1,NM
Components,N,N,N,1,2,2,1,NPL
Max,NM,N,N,0,2,0,1,NM
Core,N,N,N,1,2,2,1,N
Media,NM,N,N,0,3,0,1,NM
Chunk,NM,N,N,1,3,1,1,NM
Iterator,N,N,N,2,3,2,1,N
Mention,NM,N,N,0,3,0,1,NM
Detection,NM,N,N,1,3,1,1,NM
Evaluator,N,N,N,2,3,2,1,N
MINIMUM,NM,NM,N,0,3,0,1,NM
SUPPORTED,NM,NM,N,1,3,1,1,NM
VERSION,N,N,N,2,3,2,1,N
Mock,NM,NM,N,0,3,0,1,NM
Creation,NM,N,N,1,3,1,1,NM
Validator,N,N,N,2,3,2,1,N
Mockito,NM,N,N,0,3,0,1,PRE
Assertion,NM,N,N,1,3,1,1,NM
Error,N,N,N,2,3,2,1,N
Module,NM,N,N,0,2,0,1,NM
Handler,N,N,N,1,2,2,1,N
Mono,NM,NM,N,0,5,0,1,NM
P,NM,N,N,1,5,1,1,NM
Invoke,NM,N,N,2,5,1,1,NM
Callback,NM,N,N,3,5,1,1,NM
Attribute,N,N,N,4,5,2,1,N
Mp4,NM,N,N,0,2,0,1,NM
Extractor,NM,N,N,1,2,2,1,N
MP4,NM,N,N,0,2,0,1,NM
Input,NM,N,N,1,2,2,1,N
Mpeg,NM,N,N,0,3,0,1,NM
Audio,NM,N,N,1,3,1,1,NM
Reader,N,N,N,2,3,2,1,N
MultiCubic,NM,N,N,0,2,0,1,NM
Spline,N,N,N,1,2,2,1,N
Multiple,NM,NM,NM,0,3,0,1,NM
Failure,NM,N,N,1,3,1,1,NM
Exception,N,N,N,2,3,2,1,N
MultiPolygon,N,N,N,0,1,0,1,N
Net,NM,NM,N,0,6,0,1,NM
State,NM,N,N,1,6,1,1,NM
Rule,NM,N,N,2,6,1,1,NM
Default,NM,N,N,3,6,1,1,NM
Type,NM,N,N,4,6,1,1,N
Internal,N,NM,N,5,6,2,1,NM
New,NM,NM,NM,0,4,0,1,NM
Aggregate,NM,NM,NM,1,4,1,1,NM
Builder,NM,N,N,2,4,1,1,NM
Map,N,N,N,3,4,2,1,N
Node,NM,N,V,0,2,0,1,NM
Shape,N,N,NM,1,2,2,1,N
Null,NM,NM,N,0,2,0,1,NM
Program,N,N,N,1,2,2,1,N
Num,N,N,N,0,1,0,1,N
OAuth,NM,N,N,0,2,0,1,NM
Session,NM,N,N,1,2,2,1,N
OAuth,NM,N,N,0,3,0,1,NM
Session,NM,N,N,1,3,1,1,NM
Factory,NM,N,N,2,3,2,1,N
OF,NM,P,P,0,5,0,1,PRE
Android,NM,N,N,1,5,1,1,NM
Life,NM,N,N,2,5,1,1,NM
Cycle,NM,N,N,3,5,1,1,NM
Helper,N,N,N,4,5,2,1,N
OF,NM,P,P,0,3,0,1,PRE
Android,NM,N,N,1,3,1,1,NM
Object,N,N,N,2,3,2,1,N
OF,NM,P,P,0,4,0,1,PRE
Android,NM,N,N,1,4,1,1,NM
Sound,NM,NM,N,2,4,1,1,NM
Player,N,N,N,3,4,2,1,N
OF,NM,P,P,0,3,0,1,PRE
Android,NM,N,N,1,3,1,1,NM
Window,N,N,N,2,3,2,1,N
OF,NM,P,P,0,3,0,1,PRE
Orientation,NM,N,N,1,3,1,1,NM
Listener,N,N,N,2,3,2,1,N
Op,NM,N,N,0,2,0,1,NM
Pool,N,N,N,1,2,2,1,N
Output,NM,N,N,0,3,0,1,NM
Delegate,NM,N,N,1,3,1,1,N
Private,N,N,N,2,3,2,1,NM
Parallel,NM,NM,NM,0,2,0,1,NM
Computer,N,N,N,1,2,2,1,N
Parameter,NM,N,N,0,2,0,1,NM
Signature,N,N,N,1,2,2,1,N
Parse,NM,N,N,0,3,0,1,NM
Job,NM,N,N,1,3,1,1,N
Private,N,N,N,2,3,2,1,NM
Part,NM,N,N,0,3,0,1,NM
Document,NM,N,N,1,3,1,1,N
Private,N,N,N,2,3,2,1,NM
Patch,NM,N,N,0,3,0,1,NM
Coord,NM,N,N,1,3,1,1,NM
Buffer,N,N,N,2,3,2,1,N
Patterns,NM,N,N,0,2,0,1,NM
Annotations,N,N,NPL,1,2,2,1,NPL
Physics,NM,N,N,0,3,0,1,NM
Client,NM,N,N,1,3,1,1,NM
Example,N,N,N,2,3,2,1,N
Piecewise,NM,N,NM,0,4,0,1,NM
Constant,NM,NM,NM,1,4,1,1,NM
Abcd,NM,N,N,2,4,1,1,NM
Variance,N,N,N,3,4,2,1,N
Point,NM,N,N,0,2,0,1,N
3,N,N,D,1,2,2,1,D
Pointer,NM,N,N,0,2,0,1,NM
Map,N,N,N,1,2,2,1,N
Post,NM,N,N,0,2,0,1,NM
File,N,N,N,1,2,2,1,N
Post,NM,N,N,0,3,0,1,NM
Script,NM,N,N,1,3,1,1,NM
Document,N,N,N,2,3,2,1,N
Predicate,NM,N,N,0,2,0,1,NM
Wrapper,N,N,N,1,2,2,1,N
Print,NM,N,V,0,2,0,1,NM
Events,N,N,NPL,1,2,2,1,NPL
Problem,NM,N,N,0,3,0,1,NM
Reporter,NM,N,N,1,3,1,1,NM
Factory,N,N,N,2,3,2,1,N
Process,N,N,V,0,1,0,1,N
Project,NM,N,N,0,3,0,1,NM
Controller,NM,N,N,1,3,1,1,N
Private,N,N,N,2,3,2,1,NM
Publish,NM,N,V,0,2,0,1,NM
Response,N,N,N,1,2,2,1,N
QR,NM,N,N,0,2,0,1,NM
Detect,N,V,N,1,2,2,1,N
Quad,N,N,N,0,1,0,1,N
Quote,N,N,N,0,1,0,1,N
Read,NM,N,N,0,2,0,1,V
Bitstream,N,N,N,1,2,2,1,N
Reconstruct,NM,N,V,0,3,0,1,NM
Update,NM,N,N,1,3,1,1,NM
Callback,N,N,N,2,3,2,1,N
Record,NM,N,N,0,2,0,1,NM
Header,N,N,N,1,2,2,1,N
Refutable,NM,NM,N,0,3,0,1,NM
Pattern,NM,N,N,1,3,1,1,NM
Initialization,N,N,N,2,3,2,1,N
Remoting,NM,N,N,0,2,0,1,NM
Diagnostics,N,N,NPL,1,2,2,1,NPL
Resolved,NM,NM,NM,0,3,0,1,NM
Failed,NM,N,NM,1,3,1,1,NM
Exception,N,N,N,2,3,2,1,N
Response,NM,N,N,0,2,0,1,NM
Handlers,N,N,NPL,1,2,2,1,NPL
Rest,NM,N,V,0,2,0,1,NM
Client,N,N,N,1,2,2,1,N
Returns,NM,N,V,0,3,0,1,V
Empty,NM,NM,NM,1,3,1,1,NM
Values,N,N,NPL,2,3,2,1,NPL
Risky,NM,NM,N,0,2,0,1,NM
Bond,N,N,N,1,2,2,1,N
Rolling,NM,NM,N,0,3,0,1,NM
Friction,NM,N,N,1,3,1,1,NM
Demo,N,N,N,2,3,2,1,N
RS,NM,N,N,0,3,0,1,NM
Compute,NM,N,N,1,3,1,1,NM
Operation,N,N,N,2,3,2,1,N
RS,NM,N,N,0,3,0,1,NM
Stencil,NM,N,N,1,3,1,1,NM
Operation,N,N,N,2,3,2,1,N
Rule,NM,N,N,0,3,0,1,NM
Member,NM,N,N,1,3,1,1,NM
Validator,N,N,N,2,3,2,1,N
Rule,NM,N,N,0,4,0,1,NM
Property,NM,N,N,1,4,1,1,NM
Ref,NM,N,N,2,4,1,1,NM
ctx,N,N,N,3,4,2,1,N
Rule,NM,N,N,0,4,0,1,NM
Property,NM,N,N,1,4,1,1,NM
Ref,NM,N,N,2,4,1,1,NM
start,N,N,N,3,4,2,1,N
Rule,NM,N,N,0,3,0,1,NM
Version,NM,N,N,1,3,1,1,NM
Attribute,N,N,N,2,3,2,1,N
Run,NM,V,N,0,3,0,1,V
After,NM,P,P,1,3,1,1,NM
Params,N,N,N,2,3,2,1,NPL
Run,NM,V,N,0,3,0,1,V
Before,NM,P,P,1,3,1,1,NM
Params,N,N,N,2,3,2,1,NPL
Runner,NM,N,N,0,2,0,1,NM
Scheduler,N,N,N,1,2,2,1,N
Scroll,NM,V,N,0,4,0,1,NM
Id,NM,N,N,1,4,1,1,N
For,NM,P,P,2,4,1,1,P
Node,N,N,N,3,4,2,1,N
Segmenter,NM,N,N,0,3,0,1,NM
Core,NM,N,N,1,3,1,1,NM
Annotations,N,N,NPL,2,3,2,1,NPL
Sei,NM,N,N,0,2,0,1,NM
Reader,N,N,N,1,2,2,1,N
Serialized,NM,N,NM,0,2,0,1,NM
Form,N,N,N,1,2,2,1,N
Server,NM,N,N,0,3,0,1,NM
Safe,NM,NM,N,1,3,1,1,NM
Handle,N,N,V,2,3,2,1,N
Setting,NM,N,NM,0,2,0,1,NM
Manager,N,N,N,1,2,2,1,N
Shift,NM,N,N,0,4,0,1,NM
Reduce,NM,N,N,1,4,1,1,NM
Train,NM,N,N,2,4,1,1,NM
Options,N,N,NPL,3,4,2,1,NPL
Simple,NM,NM,NM,0,2,0,1,NM
