TYPE,IDENTIFIER,GRAMMAR_PATTERN,POSITION,NORMALIZED_POSITION,CONTEXT,WORD,CORRECT_TAG,SYSTEM,IDENTIFIER_CODE
bool,null or empty,NM CJ NM,1,1,4,or,CJ,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/protobuf/tf/google/protobuf/stubs/io_win32.cc,1567
ALenum,warn if error,V CJ N,1,1,4,if,CJ,cloned_repositories/freeminer.git/src/client/sound_openal.cpp,1573
MapNode,n water or ice,N N CJ N,2,1,3,or,CJ,cloned_repositories/freeminer.git/src/mapgen/cavegen.cpp,1575
int,l get node or nil,PRE V N CJ NM,3,1,4,or,CJ,cloned_repositories/freeminer.git/src/script/lua_api/l_env.cpp,1578
bool,only if existing,VM CJ V,1,1,5,if,CJ,cloned_repositories/git2r.git/src/libgit2/src/libgit2/config.c,1579
bool,use default if empty,V N CJ NM,2,1,5,if,CJ,cloned_repositories/git2r.git/src/libgit2/src/libgit2/remote.c,1583
Object,and,CJ,0,0,3,and,CJ,cloned_repositories/immutables.git/generator/src/org/immutables/generator/Builtins.java,1598
boolean,if Present,CJ NM,0,0,5,if,CJ,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/AnnotationInjections.java,1602
char,open if empty,V CJ NM,1,1,3,if,CJ,cloned_repositories/libxo.git/libxo/libxo.c,1605
bool,replace if exists,V CJ V,1,1,4,if,CJ,cloned_repositories/meta.git/src/analyzers/filters/porter2_stemmer.cpp,1609
void,throw if error,V CJ N,1,1,4,if,CJ,cloned_repositories/meta.git/src/io/xzstream.cpp,1614
gboolean,disable and propagate notifications cb,V CJ V NM N,1,1,4,and,CJ,cloned_repositories/naemon-core.git/src/naemon/commands.c,1619
objectlist*,xodtemplate expand host groups and hosts,PRE V NM NPL CJ NPL,4,1,4,and,CJ,cloned_repositories/naemon-core.git/src/naemon/xodtemplate.c,1622
int*,xodtemplate register and destroy host dependency,PRE V CJ V NM NP,2,1,4,and,CJ,cloned_repositories/naemon-core.git/src/naemon/xodtemplate.c,1623
int*,xodtemplate register and destroy service escalation,PRE V CJ V NM N,2,1,4,and,CJ,cloned_repositories/naemon-core.git/src/naemon/xodtemplate.c,1624
int,dp if create and open,PRE CJ V CJ V,1,1,4,if,CJ,cloned_repositories/ovs.git/lib/dpif.c,1634
int,dp if create and open,PRE CJ V CJ V,3,1,4,and,CJ,cloned_repositories/ovs.git/lib/dpif.c,1634
ofperr*,ofpacts decode for action set,PRE V CJ NM N,2,1,4,for,CJ,cloned_repositories/ovs.git/lib/ofp-actions.c,1640
bool,s set find and delete,NM N V CJ V,3,1,4,and,CJ,cloned_repositories/ovs.git/lib/sset.c,1644
string,server and port,N CJ N,1,1,3,and,CJ,cloned_repositories/panda3d.git/panda/src/downloader/httpClient.cxx,1657
void,set server and port,V N CJ N,2,1,4,and,CJ,cloned_repositories/panda3d.git/panda/src/downloader/urlSpec.cxx,1659
int,flag true if should convert,N NM CJ V V,2,1,5,if,CJ,cloned_repositories/panda3d.git/panda/src/pnmimagetypes/stb_image.h,1662
JBlock,if No Val,CJ DT N,0,0,3,if,CJ,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/EvaluationVisitor.java,1691
JBlock,if Found,CJ V,0,0,3,if,CJ,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/EvaluationVisitor.java,1692
JLabel,get Look and feel Label,V NM CJ NM N,2,1,4,and,CJ,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/spark/ui/themes/ThemePanel.java,1699
JLabel,look and feel Label,NM CJ NM N,1,1,1,and,CJ,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/spark/ui/themes/ThemePanel.java,1700
JComboBox,look and feel,NM CJ NM,1,1,1,and,CJ,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/spark/ui/themes/ThemePanel.java,1701
NativeLong,til or since,P CJ P,1,1,1,or,CJ,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/sparkimpl/plugin/idle/linux/LinuxIdleTime.java,1702
JPanel,tree and Info,N CJ N,1,1,1,and,CJ,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/sparkimpl/plugin/privacy/ui/PrivacyListTree.java,1704
t_gui_buffer*,gui buffer search by number or name,PRE PRE V P N CJ N,5,1,4,or,CJ,cloned_repositories/weechat.git/src/gui/gui-buffer.c,1718
void,gui input text changed modifier and signal,PRE PRE N V N CJ N,5,1,4,and,CJ,cloned_repositories/weechat.git/src/gui/gui-input.c,1721
char,function and data check value,N CJ N NM N,1,1,3,and,CJ,cloned_repositories/weechat.git/src/plugins/plugin-script-api.c,1726
char,function and data change,N CJ NM N,1,1,3,and,CJ,cloned_repositories/weechat.git/src/plugins/plugin-script-api.c,1727
int*,dissect acdr ip or other,V NM N CJ N,3,1,4,or,CJ,cloned_repositories/wireshark.git/epan/dissectors/packet-acdr.c,1730
guint8,value a and front reserved,NM N CJ N V,2,1,3,and,CJ,cloned_repositories/wireshark.git/epan/dissectors/packet-kink.c,1731
void*,plugin if main window update toolbars,N CJ NM N V NPL,1,1,4,if,CJ,cloned_repositories/wireshark.git/ui/logray/logray_main_window.cpp,1734
char,idb 1 if description,NM D CJ N,2,1,3,if,CJ,cloned_repositories/wireshark.git/wiretap/merge.c,1735
b3Scalar,m contact Motion 1,PRE NM N D,3,2,1,1,D,{'okhttp.srcml.xml_identifiers'},121
void,user hook 3,NM N D,2,2,1,3,D,{'elasticsearch.srcml.xml_identifiers'},249
uint,val 32,N D,1,2,1,32,D,{'ogre.srcml.xml_identifiers'},251
Frame2,Frame 2,N D,1,2,2,2,D,{'blender.srcml.xml_identifiers'},368
Point3_,Point 3,N D,1,2,2,3,D,{'opencv.srcml.xml_identifiers'},450
TemperatureCauchy1D,Temperature Cauchy 1 D,NM N D NM,2,1,2,1,D,{'QuantLib.srcml.xml_identifiers'},504
uint8x8t,avg 1,N D,1,2,3,1,D,{'opencv.srcml.xml_identifiers'},547
char[],cp 1254,N D,1,2,3,1254,D,{'calligra.srcml.xml_identifiers'},581
int,dst Type 1,NM N D,2,2,3,1,D,{'opencv.srcml.xml_identifiers'},593
Date,event 0,N D,1,2,3,0,D,{'QuantLib.srcml.xml_identifiers'},600
Real,inv Flight K 2,NM NM N D,3,2,3,2,D,{'QuantLib.srcml.xml_identifiers'},641
double,line 1 grad,NM D N,1,1,3,1,D,{'gimp.srcml.xml_identifiers'},658
CSGNoiseSource,noise 1,N D,1,2,3,1,D,{'ogre.srcml.xml_identifiers'},692
float,rcp len 2,NM N D,2,2,3,2,D,{'bullet3.srcml.xml_identifiers'},726
stringt,text Chopped 2,N NM D,2,2,3,2,D,{'swift.srcml.xml_identifiers'},769
btScalar,x 2,N D,1,2,3,2,D,{'bullet3.srcml.xml_identifiers'},799
String,get Phrase 1,V N D,2,2,4,1,D,{'blender.srcml.xml_identifiers'},897
float,get Red Adjust 2,V NM N D,3,2,4,2,D,{'swift.srcml.xml_identifiers'},901
int,Get XCR 0,V N D,2,2,4,0,D,{'antlr4.srcml.xml_identifiers'},905
void,set Custom Uniform 1 f,V NM N D NM,3,1,4,1,D,{'grpc.srcml.xml_identifiers'},1010
void,silk bw expander 32,NM NM N D,3,2,4,32,D,{'corenlp.srcml.xml_identifiers'},1022
OutputArray,dst map 2,NM N D,2,2,5,2,D,{'opencv.srcml.xml_identifiers'},1136
KeyFrame,key Frame 2,NM N D,2,2,5,2,D,{'ogre.srcml.xml_identifiers'},1184
double[],learned Lop Expert Weights 2 D,NM NM NM NPL D N,4,1,5,2,D,{'corenlp.srcml.xml_identifiers'},1190
unzglobalinfo,p global info 32,PRE NM N D,3,2,5,32,D,{'bullet3.srcml.xml_identifiers'},1234
gint,table 2 id,N D N,1,1,5,2,D,{'gimp.srcml.xml_identifiers'},1305
bool,use Shadows 1,V NPL D,2,2,5,1,D,{'bullet3.srcml.xml_identifiers'},1320
in6_addr,i 6 a,NM D N,1,1,3,6,D,cloned_repositories/proxygen.git/proxygen/lib/dns/DNSResolver.cpp,1446
bool*,is a ge zero and a lt b,V N NM D CJ N NM N,3,1,4,zero,D,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,1547
auto,after 1,P D,1,2,3,1,D,cloned_repositories/meta.git/src/analyzers/filters/ptb_normalizer.cpp,1610
auto,after 2,P D,1,2,3,2,D,cloned_repositories/meta.git/src/analyzers/filters/ptb_normalizer.cpp,1611
AfterXStanzas,after X Stanzas,P D NPL,1,1,1,X,D,cloned_repositories/Smack.git/smack-streammanagement/src/main/java/org/jivesoftware/smack/sm/predicates/ForMatchingPredicateOrAfterXStanzas.java,1680
char,idb 1 if description,NM D CJ N,1,1,3,1,D,cloned_repositories/wireshark.git/wiretap/merge.c,1735
Collection,all Stubbings,DT NPL,0,0,1,all,DT,{'grpc.srcml.xml_identifiers'},7
int,MORE,DT,0,0,1,MORE,DT,{'calligra.srcml.xml_identifiers'},158
List,all action Roots,DT NM NPL,0,0,3,all,DT,{'antlr4.srcml.xml_identifiers'},538
List,all Invocation Matchers,DT NM NPL,0,0,3,all,DT,{'mockito.srcml.xml_identifiers'},539
List,all Open Indices,DT NM NPL,0,0,3,all,DT,{'elasticsearch.srcml.xml_identifiers'},540
int,is a empty,V DT N,1,1,3,a,DT,{'grpc.srcml.xml_identifiers'},644
bool,is Node A Left Child Leaf,V N DT NM NM N,2,1,3,A,DT,{'bullet3.srcml.xml_identifiers'},645
QString,all Open Files String,DT NM NM N,0,0,4,all,DT,{'okhttp.srcml.xml_identifiers'},808
int,get PID No Exceptions,V N DT NPL,2,1,4,No,DT,{'openFrameworks.srcml.xml_identifiers'},898
boolean,matches Any Parent Categories,V DT NM NPL,1,1,4,Any,DT,{'elasticsearch.srcml.xml_identifiers'},946
void,maximize All,V DT,1,2,4,All,DT,{'blender.srcml.xml_identifiers'},948
MockitoException,null Passed To Verify No More Interactions,N V P V VM DT NPL,5,1,4,More,DT,{'kdevelop.srcml.xml_identifiers'},955
void,report No Setter Found,V DT N V,1,1,4,No,DT,{'Telegram.srcml.xml_identifiers'},992
vector,all Factors,DT NPL,0,0,5,all,DT,{'QuantLib.srcml.xml_identifiers'},1073
InvocationOnMock,the Invocation,DT N,0,0,5,the,DT,{'mockito.srcml.xml_identifiers'},1309
int,last layer index,DT NM N,0,0,1,last,DT,cloned_repositories/caffe.git/include/caffe/layers/recurrent_layer.hpp,1335
Dtype,caffe next after,PRE DT P,1,1,4,next,DT,cloned_repositories/caffe.git/src/caffe/util/math_functions.cpp,1336
int,no lock Lock,DT NM N,0,0,4,no,DT,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,1339
u8,more To Follow,DT P V,0,0,5,more,DT,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,1344
Object,next Instance,DT N,0,0,4,next,DT,cloned_repositories/cglib.git/cglib/src/main/java/net/sf/cglib/beans/BeanCopier.java,1347
String,all Names,DT NPL,0,0,5,all,DT,cloned_repositories/cglib.git/cglib/src/main/java/net/sf/cglib/beans/BeanMapEmitter.java,1348
List,all Methods,DT NPL,0,0,5,all,DT,cloned_repositories/cglib.git/cglib/src/main/java/net/sf/cglib/core/DuplicatesPredicate.java,1351
bool,no logo,DT N,0,0,5,no,DT,cloned_repositories/cling.git/include/cling/UserInterface/UserInterface.h,1352
bool,no Runtime,DT N,0,0,5,no,DT,cloned_repositories/cling.git/lib/Interpreter/Interpreter.cpp,1353
SourceLocation,no Src Loc,DT NM N,0,0,3,no,DT,cloned_repositories/cling.git/lib/Interpreter/ValuePrinter.cpp,1354
unsigned,most Recent,DT NM,0,0,1,most,DT,cloned_repositories/cling.git/lib/Utils/PlatformPosix.cpp,1355
boolean,no Interfaces,DT NPL,0,0,1,no,DT,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-core/src/main/java/org/deeplearning4j/core/util/UIDProvider.java,1356
int,last Idx,DT N,0,0,1,last,DT,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-core/src/main/java/org/deeplearning4j/core/util/UIDProvider.java,1357
INDArray,last Mem Cell,DT NM N,0,0,1,last,DT,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/layers/recurrent/FwdPassReturn.java,1358
Long,last Save Every Ms No Since Last,DT N DT N DT P DT,0,0,1,last,DT,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/optimize/listeners/CheckpointListener.java,1359
Long,last Save Every Ms No Since Last,DT N DT N DT P DT,2,1,1,Every,DT,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/optimize/listeners/CheckpointListener.java,1359
Long,last Save Every Ms No Since Last,DT N DT N DT P DT,4,1,1,No,DT,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/optimize/listeners/CheckpointListener.java,1359
Long,last Save Every Ms No Since Last,DT N DT N DT P DT,6,2,1,Last,DT,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/optimize/listeners/CheckpointListener.java,1359
long,last Update Time,DT NM N,0,0,1,last,DT,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-ui-parent/deeplearning4j-ui-model/src/main/java/org/deeplearning4j/ui/model/weights/beans/CompactModelAndGradient.java,1360
List,all Open Workspaces,DT NM NPL,0,0,4,all,DT,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/ops/executioner/DefaultOpExecutioner.java,1361
bool,all Users,DT NPL,0,0,5,all,DT,cloned_repositories/facebook-repo-ds2.git/Sources/Host/FreeBSD/Platform.cpp,1363
AssertionInfo,m last Assertion Info,PRE DT NM N,1,1,1,last,DT,cloned_repositories/freeminer.git/lib/catch2/catch.hpp,1365
Option,m last Result,PRE DT N,1,1,1,last,DT,cloned_repositories/freeminer.git/lib/catch2/catch.hpp,1366
Mode,last Mode,DT N,0,0,1,last,DT,cloned_repositories/freeminer.git/lib/catch2/catch.hpp,1367
u8,next real face,DT NM N,0,0,3,next,DT,cloned_repositories/freeminer.git/src/circuit_element.cpp,1368
v3f,update draw list last cam dir,PRE PRE PRE DT NM N,3,1,1,last,DT,cloned_repositories/freeminer.git/src/client/game.cpp,1370
vector,created no sky,V DT N,1,1,1,no,DT,cloned_repositories/freeminer.git/src/client/game.cpp,1371
u64,last time,DT N,0,0,1,last,DT,cloned_repositories/freeminer.git/src/client/game.cpp,1372
float,no dig delay timer,DT NM NM N,0,0,1,no,DT,cloned_repositories/freeminer.git/src/client/game.cpp,1373
u16,m last used id,PRE DT V N,1,1,1,last,DT,cloned_repositories/freeminer.git/src/client/sound_openal.cpp,1374
u32,block count all,NM N DT,2,2,3,all,DT,cloned_repositories/freeminer.git/src/fm_map.cpp,1375
bool,no random,DT N,0,0,5,no,DT,cloned_repositories/freeminer.git/src/fm_map.cpp,1376
u32,last time,DT N,0,0,1,last,DT,cloned_repositories/freeminer.git/src/gui/guiEngine.h,1377
uchar32_t,this Letter,DT N,0,0,5,this,DT,cloned_repositories/freeminer.git/src/irrlicht_changes/CGUITTFont.cpp,1378
bool,no cache,DT N,0,0,5,no,DT,cloned_repositories/freeminer.git/src/map.h,1379
u8,a light,DT N,0,0,5,a,DT,cloned_repositories/freeminer.git/src/mapnode.cpp,1381
int,l set last run mod,PRE V DT V N,2,1,4,last,DT,cloned_repositories/freeminer.git/src/script/lua_api/l_client.cpp,1382
int*,not a local branch,VM DT NM N,1,1,4,a,DT,cloned_repositories/git2r.git/src/libgit2/src/libgit2/branch.c,1385
int*,checkout create the new,PRE V DT NM,2,1,4,the,DT,cloned_repositories/git2r.git/src/libgit2/src/libgit2/checkout.c,1386
int,git index update all,PRE PRE V DT,3,2,4,all,DT,cloned_repositories/git2r.git/src/libgit2/src/libgit2/index.c,1387
bool,include all fetch heads,V DT NM NPL,1,1,3,all,DT,cloned_repositories/git2r.git/src/libgit2/src/libgit2/remote.c,1388
int,no callback,DT N,0,0,3,no,DT,cloned_repositories/git2r.git/src/libgit2/src/libgit2/transports/ssh.c,1389
Object,next Label,DT N,0,0,3,next,DT,cloned_repositories/guava.git/android/guava/src/com/google/common/util/concurrent/ListenerCallQueue.java,1391
N,this Node,DT N,0,0,5,this,DT,cloned_repositories/guava.git/guava/src/com/google/common/graph/DirectedGraphConnections.java,1392
String,next Field Name,DT NM N,0,0,4,next,DT,cloned_repositories/immutables.git/criteria/mongo/src/org/immutables/criteria/mongo/bson4jackson/BsonParser.java,1393
double,next Double,DT N,0,0,4,next,DT,cloned_repositories/immutables.git/mongo/src/org/immutables/mongo/bson4gson/BsonReader.java,1394
boolean,last Value,DT N,0,0,5,last,DT,cloned_repositories/immutables.git/value-fixture/src/android/os/Parcel.java,1395
Void,a Void,DT N,0,0,5,a,DT,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/MoreElements.java,1396
Set,all Annotated Elements,DT NM NPL,0,0,4,all,DT,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/Round.java,1397
int,last Index Of Dot,DT N P N,0,0,3,last,DT,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/SourceNames.java,1398
boolean,all Final,DT N,0,0,5,all,DT,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/ValueType.java,1399
void,each seen event,DT V N,0,0,4,each,DT,cloned_repositories/meta.git/include/meta/stats/multinomial.tcc,1400
unique_ptr,last builder,DT N,0,0,1,last,DT,cloned_repositories/meta.git/src/lm/mph_language_model.cpp,1401
int32_t,next event,DT N,0,0,1,next,DT,cloned_repositories/mgba.git/include/mgba/core/timing.h,1402
int32_t,next update,DT N,0,0,1,next,DT,cloned_repositories/mgba.git/include/mgba/internal/gb/audio.h,1403
int,str cmp case no sensitive internal,N V N DT NM N,3,1,4,no,DT,cloned_repositories/mgba.git/src/third-party/zlib/contrib/minizip/unzip.c,1404
long,get next comment id,V DT NM N,1,1,4,next,DT,cloned_repositories/naemon-core.git/src/naemon/comments.c,1406
hostescalation,this host escalation,DT NM N,0,0,5,this,DT,cloned_repositories/naemon-core.git/src/naemon/objects_hostescalation.h,1408
serviceescalation,this service escalation,DT NM N,0,0,5,this,DT,cloned_repositories/naemon-core.git/src/naemon/objects_serviceescalation.c,1409
query_handler,next qh,DT N,0,0,1,next,DT,cloned_repositories/naemon-core.git/src/naemon/query-handler.c,1410
int,last bucket,DT N,0,0,3,last,DT,cloned_repositories/naemon-core.git/src/naemon/utils.c,1411
int,this bucket,DT N,0,0,3,this,DT,cloned_repositories/naemon-core.git/src/naemon/utils.c,1412
xodtemplate_serviceextinfo,next se,DT N,0,0,3,next,DT,cloned_repositories/naemon-core.git/src/naemon/xodtemplate.c,1413
xodtemplate_daterange,next date range,DT NM N,0,0,3,next,DT,cloned_repositories/naemon-core.git/src/naemon/xodtemplate.c,1414
xodtemplate_serviceextinfo,this service ext info,DT NM NM N,0,0,5,this,DT,cloned_repositories/naemon-core.git/src/naemon/xodtemplate.c,1415
long,last Active,DT N,0,0,1,last,DT,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/dom4j/io/XMPPPacketReader.java,1416
SQLException,last Exception,DT N,0,0,3,last,DT,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/database/DbConnectionManager.java,1417
byte,another ID,DT N,0,0,5,another,DT,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/cluster/NodeID.java,1418
Group,next Element,DT N,0,0,1,next,DT,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/group/GroupCollection.java,1419
Instant,last Activity,DT N,0,0,3,last,DT,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/muc/spi/MultiUserChatServiceImpl.java,1420
long,last used,DT N,0,0,1,last,DT,cloned_repositories/ovs.git/lib/dpif-netdev.c,1421
json*,ovsdb atom string create no copy,PRE PRE N V DT V,4,1,4,no,DT,cloned_repositories/ovs.git/lib/ovsdb-data.h,1422
bool,monitor everything by default,V DT P N,1,1,5,everything,DT,cloned_repositories/ovs.git/lib/ovsdb-idl.c,1424
rusage,last wakeup,DT V,0,0,5,last,DT,cloned_repositories/ovs.git/lib/timeval.c,1425
int,more core properties,DT NM N,0,0,1,more,DT,cloned_repositories/panda3d.git/dtool/src/dtoolbase/ptmalloc2_smp_src.cxx,1426
int,this index,DT N,0,0,3,this,DT,cloned_repositories/panda3d.git/dtool/src/interrogate/interrogateBuilder.cxx,1427
bool,sorts less,V DT,1,2,4,less,DT,cloned_repositories/panda3d.git/panda/src/egg2pg/eggBinner.cxx,1428
bool,all ok,DT NM,0,0,3,all,DT,cloned_repositories/panda3d.git/panda/src/gobj/geom.cxx,1429
int*,make no n indexed,V DT N NM,1,1,4,no,DT,cloned_repositories/panda3d.git/panda/src/gobj/geom.cxx,1430
NodePathCollection,find all matches,V DT NPL,1,1,4,all,DT,cloned_repositories/panda3d.git/panda/src/pgraph/nodePathCollection.cxx,1433
void,hide all switches,V DT NPL,1,1,4,all,DT,cloned_repositories/panda3d.git/panda/src/pgraphnodes/lodNode.cxx,1434
int,spaces every,NPL DT,1,2,5,every,DT,cloned_repositories/panda3d.git/panda/src/putil/bitArray.cxx,1435
PyObject,this class,DT N,0,0,5,this,DT,cloned_repositories/panda3d.git/panda/src/putil/typedWritable_ext.cxx,1436
int,which Button,DT N,0,0,3,which,DT,cloned_repositories/panda3d.git/panda/src/windisplay/winGraphicsWindow.cxx,1437
int,next tex,DT N,0,0,1,next,DT,cloned_repositories/panda3d.git/pandatool/src/maxegg/maxEggLoader.cxx,1438
bool,any diffuse,DT M,0,0,1,any,DT,cloned_repositories/panda3d.git/pandatool/src/maxegg/maxToEggConverter.h,1439
void*,tag all,V DT,1,2,4,all,DT,cloned_repositories/panda3d.git/pandatool/src/mayaegg/mayaNodeTree.cxx,1440
void,place all,V DT,1,2,4,all,DT,cloned_repositories/panda3d.git/pandatool/src/palettizer/palettePage.cxx,1442
bool,copy this file,V DT N,1,1,4,this,DT,cloned_repositories/panda3d.git/pandatool/src/pandatoolbase/pathReplace.cxx,1443
bool,check last arg,V DT N,1,1,4,last,DT,cloned_repositories/panda3d.git/pandatool/src/progbase/withOutputFile.cxx,1444
string,next Protos,DT NPL,0,0,5,next,DT,cloned_repositories/proxygen.git/proxygen/httpclient/samples/pricli/PriCli.cpp,1445
bool,no Error,DT N,0,0,4,no,DT,cloned_repositories/proxygen.git/proxygen/lib/http/session/HQSession.cpp,1447
string,next Protocol,DT N,0,0,5,next,DT,cloned_repositories/proxygen.git/proxygen/lib/http/session/HTTPDefaultSessionCodecFactory.cpp,1448
StreamID,last Stream,DT N,0,0,5,last,DT,cloned_repositories/proxygen.git/proxygen/lib/http/stats/HTTPCodecStatsFilter.cpp,1449
CLIQUER_LARGE_INT*,sub unweighted all,N NM DT,2,2,4,all,DT,cloned_repositories/rigraph.git/src/core/cliques/cliquer/cliquer.c,1450
int,i graph i sparse mat which min cols triplet,PRE PRE PRE DT NM NM N,3,1,4,sparse,DT,cloned_repositories/rigraph.git/src/core/core/sparsemat.c,1451
yy_state_type,yy last accepting state,PRE DT NM N,1,1,1,last,DT,cloned_repositories/rigraph.git/src/core/io/dl-lexer.c,1452
bool,no truncate,DT V,0,0,5,no,DT,cloned_repositories/s3fs-fuse.git/src/cache.cpp,1455
bool,is all,V DT,1,2,5,all,DT,cloned_repositories/s3fs-fuse.git/src/curl_multi.cpp,1456
string,str all,N DT,1,2,3,all,DT,cloned_repositories/s3fs-fuse.git/src/fdcache_page.cpp,1457
ostringstream,ss all,N DT,1,2,3,all,DT,cloned_repositories/s3fs-fuse.git/src/fdcache_page.cpp,1458
long,next tag,DT N,0,0,3,next,DT,cloned_repositories/s3fs-fuse.git/src/fdcache_untreated.cpp,1459
bool,last part,DT N,0,0,5,last,DT,cloned_repositories/s3fs-fuse.git/src/fdcache_untreated.cpp,1460
AutoLock,auto lock no wait,NM N DT V,2,1,3,no,DT,cloned_repositories/s3fs-fuse.git/src/fdcache.cpp,1461
bool,add no exist,V DT V,1,1,5,no,DT,cloned_repositories/s3fs-fuse.git/src/metaheader.cpp,1462
string,next marker,DT N,0,0,3,next,DT,cloned_repositories/s3fs-fuse.git/src/s3fs.cpp,1464
int*,rename object no copy,V N DT V,2,1,4,no,DT,cloned_repositories/s3fs-fuse.git/src/s3fs.cpp,1465
AtomicLong,last Persister Success,DT NM N,0,0,5,last,DT,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/data/history/SingularityRequestHistoryPersister.java,1466
long,last Pending Task Cache,DT NM NM N,0,0,1,last,DT,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/data/SingularityWebCache.java,1467
AtomicLong,last Heartbeat Time,DT NM N,0,0,5,last,DT,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/data/StateManager.java,1468
TaskStatus,next In Memory,DT P N,0,0,4,next,DT,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/mesos/StatusUpdateQueue.java,1469
SingularityTaskUsage,last Usage,DT V,0,0,3,last,DT,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/scheduler/SingularityUsageHelper.java,1470
T,this Object,DT N,0,0,5,this,DT,cloned_repositories/Smack.git/smack-core/src/main/java/org/jivesoftware/smack/util/EqualsUtil.java,1471
