TYPE	SPLIT	CONTEXT	GRAMMAR_PATTERN	LANGUAGE	SYSTEM_NAME	GITHUB_URL
void*	plugin if mainwindow update toolbars	FUNCTION	PRE CJ NM V NPL	C++	wireshark	https://github.com/wireshark/wireshark
gboolean*	propagate when not up	FUNCTION	V VM VM VM	C	naemon-core	https://github.com/naemon/naemon-core
boolean	s3 Use V2 Signing	ATTRIBUTE	PRE V NM N	Java	Singularity	https://github.com/sylabs/singularity
int	some data not displayed	DECLARATION	DT N VM V	C	weechat	https://github.com/weechat/weechat
void*	string conv base64 6x4 to 8x3	FUNCTION	N V NM N P N	C	weechat	https://github.com/weechat/weechat
void*	string conv base64 8x3 to 6x4	FUNCTION	N V NM N P N	C	weechat	https://github.com/weechat/weechat
int	text search where	ATTRIBUTE	N V VM	C	weechat	https://github.com/weechat/weechat
NativeLong	til or since	ATTRIBUTE	P CJ P	Java	Spark	https://github.com/apache/spark
void*	tox self set no spam	FUNCTION	PRE PRE V DT N	C	toxcore	https://github.com/TokTok/c-toxcore
SCM	weechat guile api string input for buffer	FUNCTION	PRE PRE PRE N V P N	C	weechat	https://github.com/weechat/weechat
void	zero or null	FUNCTION	D CJ N	Java	cglib	https://github.com/cglib/cglib
Guid	Added Unicode Smp	ATTRIBUTE	V NM N	C#	antlr4	https://github.com/antlr/antlr4
gboolean alwayspreview	always preview	DECLARATION	VM V	C	gimp	https://github.com/GNOME/gimp
Set	assigns	PARAMETER	NPL	Java	junit4	https://github.com/junit-team/junit4
AUDSound	AUD Sound envelope	FUNCTION	PRE NM N	C++	blender	https://github.com/blender/blender
gint	build time minor	PARAMETER	NM NM N	C	gimp	https://github.com/GNOME/gimp
long	build Timestamp	ATTRIBUTE	NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
u32	calc LUT	FUNCTION	V N	C++	opencv	https://github.com/opencv/opencv
grpcsslcertificateconfigreloadstatus	cb result	DECLARATION	PRE N	C++	grpc	https://github.com/grpc/grpc
ChangeScroll	Change Scroll	CLASS	NM N	C++	calligra	https://github.com/KDE/calligra
QSet	check Next	DECLARATION	V DT	C++	kdevelop	https://github.com/KDE/kdevelop
void	check Not Interface	FUNCTION	V VM N	Java	mockito	https://github.com/mockito/mockito
void	check Not Local	FUNCTION	V VM N	Java	mockito	https://github.com/mockito/mockito
int	compare Inverse And Forward Dynamics	FUNCTION	V N CJ NM NPL	C++	bullet3	https://github.com/bulletphysics/bullet3
ContextTokenListIndexedGetterDecl	Context Token List Indexed Getter Decl	CLASS	NM NM NM NM NM N	Java	antlr4	https://github.com/antlr/antlr4
HttpResponse	do Install Status	FUNCTION	V NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
bool	echo path change	PARAMETER	NM N V	C	Telegram	https://github.com/DrKLO/Telegram
GLboolean	EGLEW ANDROID frame buffer target	ATTRIBUTE	PRE PRE NM NM N	C	blender	https://github.com/blender/blender
Set	expand Headers From Request	FUNCTION	V NPL P N	Java	elasticsearch	https://github.com/elastic/elasticsearch
Real	f Cos	DECLARATION	PRE N	C++	ogre	https://github.com/OGRECave/ogre
boolean	finished Normally	DECLARATION	V VM	Java	elasticsearch	https://github.com/elastic/elasticsearch
bool	forked iter	DECLARATION	V N	C	blender	https://github.com/blender/blender
String	generated Token On Creation	DECLARATION	NM N P N	Java	jenkins	https://github.com/jenkinsci/jenkins
int	get PID No Exceptions	FUNCTION	V N DT NPL	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
gboolean	gimp devices check change	FUNCTION	PRE PRE V N	C	gimp	https://github.com/GNOME/gimp
void	gimp filter tool set gyroscope	FUNCTION	PRE PRE PRE V N	C	gimp	https://github.com/GNOME/gimp
void	gimp value set int32 array	FUNCTION	PRE PRE V NM N	C	gimp	https://github.com/GNOME/gimp
GLConfigAttribs	GL Config Attribs	CLASS	PRE NM NPL	C++	ogre	https://github.com/OGRECave/ogre
void	grpc json writer value string	FUNCTION	PRE NM NM NM N	C++	grpc	https://github.com/grpc/grpc
void	grpc sockaddr make wildcards	FUNCTION	PRE N V NPL	C++	grpc	https://github.com/grpc/grpc
Hpack	Hpack	CLASS	N	Java	okhttp	https://github.com/square/okhttp
VerificationMode inOrderWrappedVerificationMode	in Order Wrapped Verification Mode	ATTRIBUTE	P NM NM NM N	Java	mockito	https://github.com/mockito/mockito
bool	Invert Success	ATTRIBUTE	V N	C++	swift	https://github.com/apple/swift
boolean	is Android	FUNCTION	V N	Java	mockito	https://github.com/mockito/mockito
ScorePhraseMeasures	IS FIRST CAPITAL	ATTRIBUTE	V DT N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
bool	is Node A Left Child Leaf	DECLARATION	V N DT NM NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
bool	Is Return Bridged	ATTRIBUTE	V N NM	C++	swift	https://github.com/apple/swift
IsVariadic	is V	PARAMETER	V N	C++	swift	https://github.com/apple/swift
bool	is Vaild	PARAMETER	V N	C++	ogre	https://github.com/OGRECave/ogre
GimpValueArray	layer get composite mode invoker	FUNCTION	PRE V NM NM N	C	gimp	https://github.com/GNOME/gimp
uint8 mFirstRenderQueue	m First Render Queue	ATTRIBUTE	PRE DT NM N	C++	ogre	https://github.com/OGRECave/ogre
Cursor	m last Changed Location	ATTRIBUTE	PRE DT NM N	C++	kdevelop	https://github.com/KDE/kdevelop
boolean	m Preview Started	ATTRIBUTE	PRE N V	Java	opencv	https://github.com/opencv/opencv
int	max Intermediate Cas	PARAMETER	NM NM NPL	Java	okhttp	https://github.com/square/okhttp
TsurgeonPattern	move RBT surgeon	ATTRIBUTE	NM NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
QRegularExpression	next Fragment Expression	DECLARATION	DT NM N	C++	kdevelop	https://github.com/KDE/kdevelop
char	next func	PARAMETER	DT N	C	blender	https://github.com/blender/blender
byte[]	next Search	DECLARATION	DT N	Java	elasticsearch	https://github.com/elastic/elasticsearch
ParameterSignature	next Unassigned	FUNCTION	DT NM	Java	junit4	https://github.com/junit-team/junit4
gdouble	other side x	ATTRIBUTE	DT NM N	C	gimp	https://github.com/GNOME/gimp
short	own flags	PARAMETER	NM NPL	C	blender	https://github.com/blender/blender
PNGAPI	png get row bytes	FUNCTION	PRE V NM NPL	C	irrlicht	https://github.com/zaki/irrlicht
PrintLabelFlag	print label flag	PARAMETER	NM NM N	C++	opencv	https://github.com/opencv/opencv
ReadBitstream	Read Bitstream	CLASS	NM N	C++	opencv	https://github.com/opencv/opencv
void	rgbx 2 bgrx	FUNCTION	N P N	C++	opencv	https://github.com/opencv/opencv
RunBeforeParams	Run Before Params	CLASS	V NM NPL	Java	junit4	https://github.com/junit-team/junit4
Action	set Prev Ctx Action	DECLARATION	V NM NM N	Java	antlr4	https://github.com/antlr/antlr4
boolean	skip Vetoes	ATTRIBUTE	V NPL	Java	jenkins	https://github.com/jenkinsci/jenkins
void	start Matched Count Dec	FUNCTION	V NM NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
Store	Store	CLASS	N	Java	elasticsearch	https://github.com/elastic/elasticsearch
gint	table 2 id	PARAMETER	N D N	C	gimp	https://github.com/GNOME/gimp
void	throw Provision Exception If Errors Exist	FUNCTION	V NM N CJ NPL V	Java	elasticsearch	https://github.com/elastic/elasticsearch
TsurgeonParseException	Tsurgeon Parse Exception	CLASS	PRE NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
long	utc Timestamp Ms	DECLARATION	NM NM NPL	Java	Telegram	https://github.com/DrKLO/Telegram
StringPiece	whole regexp	ATTRIBUTE	DT N	C++	grpc	https://github.com/grpc/grpc
int	write Root	PARAMETER	V N	C++	irrlicht	https://github.com/zaki/irrlicht
int[]	zoom xy	PARAMETER	NM N	C	blender	https://github.com/blender/blender
int	a low	PARAMETER	N NM	C	rigraph	https://github.com/igraph/rigraph
bool	add no truncate cache	PARAMETER	V DT V N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
void	after Join Send History	FUNCTION	P V V N	Java	Openfire	https://github.com/igniterealtime/Openfire
ClassToInstanceMap	after Processing	ATTRIBUTE	P V	Java	immutables	https://github.com/immutables/immutables
gboolean	after release	ATTRIBUTE	P V	C	wireshark	https://github.com/wireshark/wireshark
off_t	alias off	ATTRIBUTE	NM N	C	ccv	https://github.com/liuliu/ccv
AnnotationMirror	as Caching	FUNCTION	P N	Java	immutables	https://github.com/immutables/immutables
int	as in	ATTRIBUTE	P N	C	rigraph	https://github.com/igraph/rigraph
int	b next	DECLARATION	PRE DT	C	git2r	https://github.com/ropensci/git2r
String	BLOCK CONTACT 16x16	ATTRIBUTE	NM NM N	Java	Spark	https://github.com/apache/spark
JButton	btn save	DECLARATION	NM N	Java	Spark	https://github.com/apache/spark
class	Bypass Comparison 8192x8192	CLASS	NM NM N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
igraph_vector_t	c partition 2	DECLARATION	PRE N D	C	rigraph	https://github.com/igraph/rigraph
char	c where	DECLARATION	PRE VM	C	weechat	https://github.com/weechat/weechat
int	caps 2	ATTRIBUTE	NPL D	C++	panda3d	https://github.com/panda3d/panda3d
char	chars 1	PARAMETER	NPL D	C	weechat	https://github.com/weechat/weechat
void	check for host flapping	FUNCTION	V P NM N	C	naemon-core	https://github.com/naemon/naemon-core
Contents	contents 2	PARAMETER	NPL D	C++	panda3d	https://github.com/panda3d/panda3d
curandGenerator_t	curand generator	FUNCTION	PRE N	C++	caffe	https://github.com/BVLC/caffe
double	dl now	PARAMETER	V VM	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
float32x4_t	dn 1x2	DECLARATION	NM N	C	ccv	https://github.com/liuliu/ccv
int	downtime	ATTRIBUTE	N	C	freeminer	https://github.com/freeminer/freeminer
String	downsample	ATTRIBUTE	V	Java	drill	https://github.com/apache/drill
int	dp if create and open	FUNCTION	PRE CJ V CJ V	C	ovs	https://github.com/openvswitch/ovs
OpenFlags	ds 2 Flags	PARAMETER	N P NPL	C++	facebook-repo-ds2	https://github.com/facebookresearch/ds2
int	ds last	FUNCTION	PRE DT	C	ovs	https://github.com/openvswitch/ovs
char*	end of record	FUNCTION	N P N	C	git2r	https://github.com/ropensci/git2r
long	expand in	ATTRIBUTE	V N	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
int	flag true if should convert	PARAMETER	V N CJ V V	C	panda3d	https://github.com/panda3d/panda3d
DeclaringPackage	for Package	FUNCTION	P N	Java	immutables	https://github.com/immutables/immutables
size_t	get start r1	FUNCTION	V V N	C++	meta	https://github.com/meta-toolkit/meta
int	git index update all	FUNCTION	PRE PRE V DT	C	git2r	https://github.com/ropensci/git2r
bool	has in band	PARAMETER	V P N	C	ovs	https://github.com/openvswitch/ovs
OutputWidthExpression	if Reduced Expr	DECLARATION	CJ NM N	Java	drill	https://github.com/apache/drill
bool	if Unique	PARAMETER	CJ NM	C++	cling	https://github.com/root-project/cling
class	Im 2 col Layer	CLASS	N P NM N	C++	caffe	https://github.com/BVLC/caffe
InetAddress	in addr	PARAMETER	NM N	Java	Openfire	https://github.com/igniterealtime/Openfire
verify_context	in ctx	PARAMETER	P N	C++	drill	https://github.com/apache/drill
List	in Fields	ATTRIBUTE	NM NPL	Java	drill	https://github.com/apache/drill
string	in prop Name	PARAMETER	NM NM N	C++	drill	https://github.com/apache/drill
bool	include all fetch heads	DECLARATION	V DT NM NPL	C	git2r	https://github.com/ropensci/git2r
boolean	incoming Has Sv2	DECLARATION	NM V N	Java	drill	https://github.com/apache/drill
guint8	ip6r0 slmap	ATTRIBUTE	PRE N	C	wireshark	https://github.com/wireshark/wireshark
void	irc batch free all	FUNCTION	PRE PRE V DT	C	weechat	https://github.com/weechat/weechat
bool	is 32	ATTRIBUTE	V D	C	facebook-repo-ds2	https://github.com/facebookresearch/ds2
uint64_t	kDp Significand Mask	ATTRIBUTE	PRE NM N	C++	panda3d	https://github.com/panda3d/panda3d
int	l get node or nil	FUNCTION	PRE V N CJ N	C++	freeminer	https://github.com/freeminer/freeminer
time_t	last time critical	ATTRIBUTE	DT N NM	C	naemon-core	https://github.com/naemon/naemon-core
int	last Write	PARAMETER	DT N	Java	drill	https://github.com/apache/drill
int	last Write Index	FUNCTION	DT NM N	Java	drill	https://github.com/apache/drill
char	least addr	ATTRIBUTE	DT N	C++	panda3d	https://github.com/panda3d/panda3d
JLabel	look and feel Label	ATTRIBUTE	V CJ V N	Java	Spark	https://github.com/apache/spark
int*	make non indexed	FUNCTION	V VM N	C++	panda3d	https://github.com/panda3d/panda3d
void	merge chunks by bucket size	FUNCTION	V NPL P NM N	C++	meta	https://github.com/meta-toolkit/meta
bool	monitor everything by default	PARAMETER	V DT P N	C	ovs	https://github.com/openvswitch/ovs
int*	netdev dummy queue dump next	FUNCTION	PRE PRE N V DT	C	ovs	https://github.com/openvswitch/ovs
int*	network pass socks5 proxy	FUNCTION	PRE PRE NM N	C	weechat	https://github.com/weechat/weechat
t_irc_ignore	next ignore	ATTRIBUTE	DT N	C	weechat	https://github.com/weechat/weechat
boolean	next Integer If Not EOF	FUNCTION	DT N CJ DT N	Java	drill	https://github.com/apache/drill
int	no in	DECLARATION	NM N	C	rigraph	https://github.com/igraph/rigraph
int	no lock Lock	FUNCTION	DT V N	C	ccv	https://github.com/liuliu/ccv
igraph_integer_t	no out types	PARAMETER	NM NM NPL	C	rigraph	https://github.com/igraph/rigraph
int*	not a local branch	FUNCTION	VM DT NM N	C	git2r	https://github.com/ropensci/git2r
int	num kernels col 2 im	ATTRIBUTE	NM NM N P N	C++	caffe	https://github.com/BVLC/caffe
int	num of after release pdus	ATTRIBUTE	N P P V NPL	C	wireshark	https://github.com/wireshark/wireshark
int	num of gops	ATTRIBUTE	N P NPL	C	wireshark	https://github.com/wireshark/wireshark
ofservice	of service	DECLARATION	PRE N	C	ovs	https://github.com/openvswitch/ovs
ObjectNameFactory	on Factory	PARAMETER	NM N	Java	metrics	https://github.com/dropwizard/metrics
void	on Ingress Error	FUNCTION	P NM N	C++	proxygen	https://github.com/facebook/proxygen
ErrorCode	on Query Current Thread	FUNCTION	P NM NM N	C++	facebook-repo-ds2	https://github.com/facebookresearch/ds2
bool	only if existing	PARAMETER	VM CJ V	C	git2r	https://github.com/ropensci/git2r
double	or Sel	DECLARATION	NM N	Java	drill	https://github.com/apache/drill
int	ovsdb datum compare 3way	FUNCTION	PRE N V VM	C	ovs	https://github.com/openvswitch/ovs
char	pass in	DECLARATION	NM N	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
List	past Threshold	DECLARATION	P N	Java	Singularity	https://github.com/sylabs/singularity
String	period no Period	ATTRIBUTE	PRE DT N	Java	Spark	https://github.com/apache/spark
float*	perlin Map 3D	FUNCTION	PRE N NM	C++	freeminer	https://github.com/freeminer/freeminer
char	plugin name for upgrade	ATTRIBUTE	NM N P N	C	weechat	https://github.com/weechat/weechat
SEXP*	R igraph 0 or vector bool to SEXP	FUNCTION	PRE PRE D CJ NM N P N	C	rigraph	https://github.com/igraph/rigraph
bool	replace if exists	FUNCTION	V CJ V	C++	meta	https://github.com/meta-toolkit/meta
MediaType	RTF UTF8	ATTRIBUTE	NM N	Java	guava	https://github.com/google/guava
String	save Password	DECLARATION	NM N	Java	Spark	https://github.com/apache/spark
String	SET GROUP NAME 1	ATTRIBUTE	V NM N D	Java	Openfire	https://github.com/igniterealtime/Openfire
class	Sort Collector Labels 2	CLASS	NM NM NPL D	C++	panda3d	https://github.com/panda3d/panda3d
bool	sorts less	FUNCTION	V VM	C++	panda3d	https://github.com/panda3d/panda3d
int*	sqlite3 Fts5 Parser Fallback	FUNCTION	PRE PRE NM N	C	ccv	https://github.com/liuliu/ccv
With*	sqlite3 With Dup	FUNCTION	PRE P V	C	ccv	https://github.com/liuliu/ccv
git_odb_stream	stream out	PARAMETER	NM N	C	git2r	https://github.com/ropensci/git2r
double	task Reconciliation Response P999	PARAMETER	NM NM NM N	Java	Singularity	https://github.com/sylabs/singularity
expected_counts	this	DECLARATION	N	C	meta	https://github.com/meta-toolkit/meta
ifstream	titles in	DECLARATION	NPL NM	C++	meta	https://github.com/meta-toolkit/meta
X509CertSelector	to Be Validated	DECLARATION	P V V	Java	Spark	https://github.com/apache/spark
igraph_bool_t	transpose a	PARAMETER	V N	C	rigraph	https://github.com/igraph/rigraph
double	ul now	PARAMETER	V VM	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
T	value or	FUNCTION	N CJ	C++	meta	https://github.com/meta-toolkit/meta
bool	vertex 02 connected	ATTRIBUTE	N D NM	C++	freeminer	https://github.com/freeminer/freeminer
atomic_bool	wait for reload	ATTRIBUTE	V P V	C	ovs	https://github.com/openvswitch/ovs
png_uint_32	y pixels per unit	ATTRIBUTE	NM NPL P N	C	mgba	https://github.com/mgba-emu/mgba
ABCOpt	ABC Opt	CLASS	NM N	C++	swift	https://github.com/apple/swift
int64t	abs deadline n sec value	PARAMETER	NM NM NM NM N	C++	grpc	https://github.com/grpc/grpc
AbstractBuildExecution	Abstract Build Execution	CLASS	NM NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
ofVec3f	accelerometer Data	PARAMETER	NM N	C	openFrameworks	https://github.com/openframeworks/openFrameworks
boolean	accepting Tasks	PARAMETER	NM NPL	Java	jenkins	https://github.com/jenkinsci/jenkins
AccessorConformanceInfo	Accessor Conformance Info	CLASS	NM NM N	C++	swift	https://github.com/apple/swift
Map	action To Index Map	ATTRIBUTE	N P NM N	Java	antlr4	https://github.com/antlr/antlr4
ActionTranslator	Action Translator	CLASS	NM N	Java	antlr4	https://github.com/antlr/antlr4
KToggleAction	action View Show Master Pages	ATTRIBUTE	NM N V NM NPL	C++	calligra	https://github.com/KDE/calligra
AtomicInteger	active Copies	ATTRIBUTE	NM NPL	Java	elasticsearch	https://github.com/elastic/elasticsearch
QString	active Tool Id	DECLARATION	NM NM N	C++	calligra	https://github.com/KDE/calligra
int	actual Count	ATTRIBUTE	NM N	Java	mockito	https://github.com/mockito/mockito
int	actual Suffix	DECLARATION	NM N	Java	junit4	https://github.com/junit-team/junit4
void	Add Bezier Curve	FUNCTION	V NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
boolean	add Bias To Embedding	ATTRIBUTE	V N P N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
void	Add Log To Stream	FUNCTION	V N P N	C++	Telegram	https://github.com/DrKLO/Telegram
void	add Object Index	FUNCTION	V NM N	C++	blender	https://github.com/blender/blender
void	add Ordered List	FUNCTION	V NM N	Java	mockito	https://github.com/mockito/mockito
void	add Unicode Script Codes To Names	FUNCTION	V NM NM NPL P NPL	Java	antlr4	https://github.com/antlr/antlr4
boolean	adding	DECLARATION	V	Java	jenkins	https://github.com/jenkinsci/jenkins
grpcresolvedaddress	addr	PARAMETER	N	C	grpc	https://github.com/grpc/grpc
AddressLowering	Address Lowering	CLASS	N V	C++	swift	https://github.com/apple/swift
int	ADDRESS TYPE IPV4	ATTRIBUTE	NM NM N	Java	okhttp	https://github.com/square/okhttp
QGradient	adjusted Gradient	FUNCTION	NM N	C++	calligra	https://github.com/KDE/calligra
gsecaeadcrypter	aead crypter seal	DECLARATION	NM NM N	C++	grpc	https://github.com/grpc/grpc
void	after Channel	FUNCTION	P N	Java	jenkins	https://github.com/jenkinsci/jenkins
List	all action Roots	DECLARATION	DT NM NPL	Java	antlr4	https://github.com/antlr/antlr4
vector	all Factors	PARAMETER	DT NPL	C++	QuantLib	https://github.com/lballabio/QuantLib
List	all Invocation Matchers	DECLARATION	DT NM NPL	Java	mockito	https://github.com/mockito/mockito
QString	all Open Files String	FUNCTION	DT NM NM N	C++	kdevelop	https://github.com/KDE/kdevelop
List	all Open Indices	DECLARATION	DT NM NPL	Java	elasticsearch	https://github.com/elastic/elasticsearch
Collection	all Stubbings	ATTRIBUTE	DT NPL	Java	mockito	https://github.com/mockito/mockito
AltAndContextConfigEqualityComparator	Alt And Context Config Equality Comparator	CLASS	N CJ NM NM NM N	Java	antlr4	https://github.com/antlr/antlr4
Map	alt Label Ctxs	ATTRIBUTE	NM NM NPL	Java	antlr4	https://github.com/antlr/antlr4
String	alt Name	PARAMETER	NM N	Java	okhttp	https://github.com/square/okhttp
path	alternative Cache Name	PARAMETER	NM NM N	C++	irrlicht	https://github.com/zaki/irrlicht
ofFloatColor	ambient	ATTRIBUTE	N	C	openFrameworks	https://github.com/openframeworks/openFrameworks
float	ambient coefficient	PARAMETER	NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
QStringList	anchor Name	DECLARATION	NM N	C++	calligra	https://github.com/KDE/calligra
AndroidByteBuddyMockMaker	Android Byte Buddy Mock Maker	CLASS	NM NM NM NM N	Java	mockito	https://github.com/mockito/mockito
qreal	angle In Radian	DECLARATION	N P N	C++	calligra	https://github.com/KDE/calligra
GtkWidget	animation box	DECLARATION	NM N	C	gimp	https://github.com/GNOME/gimp
KPrPredefinedAnimationsLoader	animations Data	PARAMETER	NM NPL	C++	calligra	https://github.com/KDE/calligra
String	App ID	PARAMETER	NM N	Java	opencv	https://github.com/opencv/opencv
void	append Python Style Escaped Code Point	FUNCTION	V NM NM NM NM N	Java	antlr4	https://github.com/antlr/antlr4
void	append Sequence	FUNCTION	V N	C++	kdevelop	https://github.com/KDE/kdevelop
void	apply Margin Insets	FUNCTION	V NM NPL	Java	Telegram	https://github.com/DrKLO/Telegram
ApplyRewriter	Apply Rewriter	CLASS	NM N	C++	swift	https://github.com/apple/swift
ArabicSegmenter	Arabic Segmenter	CLASS	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
AreaInfoDialog_t	Area Info Dialog t	CLASS	NM NM NM N	C	gimp.idents	https://github.com/GNOME/gimp
AresDnsResolver	Ares Dns Resolver	CLASS	NM NM N	C++	grpc	https://github.com/grpc/grpc
int	ares expand name for response	FUNCTION	PRE V N P N	C	grpc	https://github.com/grpc/grpc
Collection	arg Mismatch Stubbings	PARAMETER	NM NM NPL	Java	mockito	https://github.com/mockito/mockito
void	ARGB Subtract Row C	FUNCTION	N V NM N	C++	Telegram	https://github.com/DrKLO/Telegram
Class	array Class	PARAMETER	NM N	Java	junit4	https://github.com/junit-team/junit4
ArrayCountPropagation	Array Count Propagation	CLASS	NM NM N	C++	swift	https://github.com/apple/swift
SILValue	Array Struct Value	PARAMETER	NM NM N	C++	swift	https://github.com/apple/swift
void	assign Lexer Token Types	FUNCTION	V NM NM NPL	Java	antlr4	https://github.com/antlr/antlr4
int	atn State	DECLARATION	NM N	C#	antlr4	https://github.com/antlr/antlr4
int	ATOM	ATTRIBUTE	N	Java	antlr4	https://github.com/antlr/antlr4
Attribute	Attribute	CLASS	N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
OrderedHashSet	attribute Decls	ATTRIBUTE	NM NPL	Java	antlr4	https://github.com/antlr/antlr4
QXmlStreamAttributes	attrs	DECLARATION	NPL	C++	calligra	https://github.com/KDE/calligra
Authentication	auth Result	PARAMETER	NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
uint	average In Bucket Used Slot Count	ATTRIBUTE	N P NM NM NM N	C	kdevelop	https://github.com/KDE/kdevelop
uint8x8t	avg 1	DECLARATION	N D	C	opencv	https://github.com/opencv/opencv
Map	avg Map	DECLARATION	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
BusinessDayConvention	b d c	PARAMETER	NM NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
bool	b Flip Horizontally	PARAMETER	PRE V VM	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
boolean	b Is Playing	ATTRIBUTE	PRE V V	Java	openFrameworks	https://github.com/openframeworks/openFrameworks
bool	b Loop	ATTRIBUTE	PRE N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
bool	b Multi Fullscreen	PARAMETER	PRE NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
void	b3 Push Profile Timing	FUNCTION	PRE V NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
BackgroundParserPrivate	Background Parser Private	CLASS	NM N NM	C++	kdevelop	https://github.com/KDE/kdevelop
boolean	backprop Training	PARAMETER	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
String	base Category	DECLARATION	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
