TYPE,IDENTIFIER,GRAMMAR_PATTERN,WORD,POSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG,SYSTEM,IDENTIFIER_CODE
int,index_as_child,V P N,index,0,0,1,V,cloned_repositories/deeplearning4j.git/libnd4j/include/ops/declarable/helpers/impl/ctcBeam.cpp,21
int,index_as_parent,V P N,parent,2,2,1,N,cloned_repositories/deeplearning4j.git/libnd4j/include/ops/declarable/helpers/impl/ctcBeam.cpp,22
int,index_as_parent,V P N,as,1,1,1,P,cloned_repositories/deeplearning4j.git/libnd4j/include/ops/declarable/helpers/impl/ctcBeam.cpp,22
int,index_as_parent,V P N,index,0,0,1,V,cloned_repositories/deeplearning4j.git/libnd4j/include/ops/declarable/helpers/impl/ctcBeam.cpp,22
OpListType,forNumber,P N,Number,1,2,4,N,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/ir/MapperNamespace.java,23
OpListType,forNumber,P N,for,0,0,4,P,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/ir/MapperNamespace.java,23
set,provided,V,provided,0,0,3,V,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/protobuf/tf/google/protobuf/compiler/js/js_generator.cc,24
bool,null_or_empty,NM CJ NM,or,1,1,4,CJ,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/protobuf/tf/google/protobuf/stubs/io_win32.cc,25
bool,null_or_empty,NM CJ NM,null,0,0,4,NM,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/protobuf/tf/google/protobuf/stubs/io_win32.cc,25
bool,null_or_empty,NM CJ NM,empty,2,2,4,NM,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/protobuf/tf/google/protobuf/stubs/io_win32.cc,25
ForWhat,m_forWhat,PRE P PR,for,1,1,1,P,cloned_repositories/freeminer.git/lib/catch2/catch.hpp,26
ForWhat,m_forWhat,PRE P DT,What,2,2,1,DT,cloned_repositories/freeminer.git/lib/catch2/catch.hpp,26
ForWhat,m_forWhat,PRE P PR,m,0,0,1,PRE,cloned_repositories/freeminer.git/lib/catch2/catch.hpp,26
char*,asCString,P NM N,String,2,2,4,N,cloned_repositories/freeminer.git/lib/jsoncpp/jsoncpp.cpp,27
char*,asCString,P NM N,C,1,1,4,NM,cloned_repositories/freeminer.git/lib/jsoncpp/jsoncpp.cpp,27
char*,asCString,P NM N,as,0,0,4,P,cloned_repositories/freeminer.git/lib/jsoncpp/jsoncpp.cpp,27
void*,fornum,NM N,num,1,2,4,N,cloned_repositories/freeminer.git/lib/lua/src/lparser.c,28
void*,fornum,NM N,for,0,0,4,NM,cloned_repositories/freeminer.git/lib/lua/src/lparser.c,28
int,endfor,V N,for,1,2,3,N,cloned_repositories/freeminer.git/lib/lua/src/lparser.c,29
int,endfor,V N,end,0,0,3,V,cloned_repositories/freeminer.git/lib/lua/src/lparser.c,29
bool,btn_down_for_dig,NM VM P N,dig,3,2,1,N,cloned_repositories/freeminer.git/src/client/game.cpp,30
bool,btn_down_for_dig,NM VM P N,btn,0,0,1,NM,cloned_repositories/freeminer.git/src/client/game.cpp,30
bool,btn_down_for_dig,NM VM P N,for,2,1,1,P,cloned_repositories/freeminer.git/src/client/game.cpp,30
bool,btn_down_for_dig,NM VM P N,down,1,1,1,VM,cloned_repositories/freeminer.git/src/client/game.cpp,30
ALenum,warn_if_error,V CJ N,if,1,1,4,CJ,cloned_repositories/freeminer.git/src/client/sound_openal.cpp,31
ALenum,warn_if_error,V CJ N,error,2,2,4,N,cloned_repositories/freeminer.git/src/client/sound_openal.cpp,31
ALenum,warn_if_error,V CJ N,warn,0,0,4,V,cloned_repositories/freeminer.git/src/client/sound_openal.cpp,31
bool,save_before_unloading,V P V,before,1,1,3,P,cloned_repositories/freeminer.git/src/map.cpp,32
bool,save_before_unloading,V P V,save,0,0,3,V,cloned_repositories/freeminer.git/src/map.cpp,32
bool,save_before_unloading,V P V,unloading,2,2,3,V,cloned_repositories/freeminer.git/src/map.cpp,32
MapNode,n_water_or_ice,N N CJ N,or,2,1,3,CJ,cloned_repositories/freeminer.git/src/mapgen/cavegen.cpp,33
MapNode,n_water_or_ice,N N CJ N,n,0,0,3,N,cloned_repositories/freeminer.git/src/mapgen/cavegen.cpp,33
MapNode,n_water_or_ice,N N CJ N,water,1,1,3,N,cloned_repositories/freeminer.git/src/mapgen/cavegen.cpp,33
MapNode,n_water_or_ice,N N CJ N,ice,3,2,3,N,cloned_repositories/freeminer.git/src/mapgen/cavegen.cpp,33
bool,only_in_ground,VM P N,ground,2,2,1,N,cloned_repositories/freeminer.git/src/mapgen/dungeongen.h,34
bool,only_in_ground,VM P N,in,1,1,1,P,cloned_repositories/freeminer.git/src/mapgen/dungeongen.h,34
bool,only_in_ground,VM P N,only,0,0,1,VM,cloned_repositories/freeminer.git/src/mapgen/dungeongen.h,34
bool,has_after_destruct,V P N,destruct,2,2,1,N,cloned_repositories/freeminer.git/src/nodedef.h,35
bool,has_after_destruct,V P N,after,1,1,1,P,cloned_repositories/freeminer.git/src/nodedef.h,35
bool,has_after_destruct,V P N,has,0,0,1,V,cloned_repositories/freeminer.git/src/nodedef.h,35
int,l_get_node_or_nil,PRE V N CJ NM,or,3,1,4,CJ,cloned_repositories/freeminer.git/src/script/lua_api/l_env.cpp,36
int,l_get_node_or_nil,PRE V N CJ NM,node,2,1,4,N,cloned_repositories/freeminer.git/src/script/lua_api/l_env.cpp,36
int,l_get_node_or_nil,PRE V N CJ NM,nil,4,2,4,NM,cloned_repositories/freeminer.git/src/script/lua_api/l_env.cpp,36
int,l_get_node_or_nil,PRE V N CJ NM,l,0,0,4,PRE,cloned_repositories/freeminer.git/src/script/lua_api/l_env.cpp,36
int,l_get_node_or_nil,PRE V N CJ NM,get,1,1,4,V,cloned_repositories/freeminer.git/src/script/lua_api/l_env.cpp,36
bool,only_if_existing,VM CJ V,if,1,1,5,CJ,cloned_repositories/git2r.git/src/libgit2/src/libgit2/config.c,37
bool,only_if_existing,VM CJ V,existing,2,2,5,V,cloned_repositories/git2r.git/src/libgit2/src/libgit2/config.c,37
bool,only_if_existing,VM CJ V,only,0,0,5,VM,cloned_repositories/git2r.git/src/libgit2/src/libgit2/config.c,37
git_diff_file,as_file,P N,file,1,2,5,N,cloned_repositories/git2r.git/src/libgit2/src/libgit2/diff_file.h,38
git_diff_file,as_file,P N,as,0,0,5,P,cloned_repositories/git2r.git/src/libgit2/src/libgit2/diff_file.h,38
int,git_diff_commit_as_email,PRE V N P N,commit,2,1,4,N,cloned_repositories/git2r.git/src/libgit2/src/libgit2/diff.c,39
int,git_diff_commit_as_email,PRE V N P N,email,4,2,4,N,cloned_repositories/git2r.git/src/libgit2/src/libgit2/diff.c,39
int,git_diff_commit_as_email,PRE V N P N,as,3,1,4,P,cloned_repositories/git2r.git/src/libgit2/src/libgit2/diff.c,39
int,git_diff_commit_as_email,PRE V N P N,git,0,0,4,PRE,cloned_repositories/git2r.git/src/libgit2/src/libgit2/diff.c,39
int,git_diff_commit_as_email,PRE V N P N,diff,1,1,4,V,cloned_repositories/git2r.git/src/libgit2/src/libgit2/diff.c,39
int*,merge_driver_name_for_path,V NM N P N,name,2,1,4,N,cloned_repositories/git2r.git/src/libgit2/src/libgit2/merge_driver.c,40
int*,merge_driver_name_for_path,V NM N P N,path,4,2,4,N,cloned_repositories/git2r.git/src/libgit2/src/libgit2/merge_driver.c,40
int*,merge_driver_name_for_path,V NM N P N,driver,1,1,4,NM,cloned_repositories/git2r.git/src/libgit2/src/libgit2/merge_driver.c,40
int*,merge_driver_name_for_path,V NM N P N,for,3,1,4,P,cloned_repositories/git2r.git/src/libgit2/src/libgit2/merge_driver.c,40
int*,merge_driver_name_for_path,V NM N P N,merge,0,0,4,V,cloned_repositories/git2r.git/src/libgit2/src/libgit2/merge_driver.c,40
bool,use_default_if_empty,V N CJ NM,if,2,1,5,CJ,cloned_repositories/git2r.git/src/libgit2/src/libgit2/remote.c,41
bool,use_default_if_empty,V N CJ NM,default,1,1,5,N,cloned_repositories/git2r.git/src/libgit2/src/libgit2/remote.c,41
bool,use_default_if_empty,V N CJ NM,empty,3,2,5,NM,cloned_repositories/git2r.git/src/libgit2/src/libgit2/remote.c,41
bool,use_default_if_empty,V N CJ NM,use,0,0,5,V,cloned_repositories/git2r.git/src/libgit2/src/libgit2/remote.c,41
int*,git_repository_head_detached_for_worktree,PRE NM N V P NM N,head,2,1,4,N,cloned_repositories/git2r.git/src/libgit2/src/libgit2/repository.c,42
int*,git_repository_head_detached_for_worktree,PRE NM N V P NM N,tree,6,2,4,N,cloned_repositories/git2r.git/src/libgit2/src/libgit2/repository.c,42
int*,git_repository_head_detached_for_worktree,PRE NM N V P NM N,repository,1,1,4,NM,cloned_repositories/git2r.git/src/libgit2/src/libgit2/repository.c,42
int*,git_repository_head_detached_for_worktree,PRE NM N V P NM N,work,5,1,4,NM,cloned_repositories/git2r.git/src/libgit2/src/libgit2/repository.c,42
int*,git_repository_head_detached_for_worktree,PRE NM N V P NM N,for,4,1,4,P,cloned_repositories/git2r.git/src/libgit2/src/libgit2/repository.c,42
int*,git_repository_head_detached_for_worktree,PRE NM N V P NM N,git,0,0,4,PRE,cloned_repositories/git2r.git/src/libgit2/src/libgit2/repository.c,42
int*,git_repository_head_detached_for_worktree,PRE NM N V P NM N,detached,3,1,4,V,cloned_repositories/git2r.git/src/libgit2/src/libgit2/repository.c,42
int,cr_at_eol_only,N P N VM,cr,0,0,3,N,cloned_repositories/git2r.git/src/libgit2/src/libgit2/xdiff/xutils.c,43
int,cr_at_eol_only,N P N VM,eol,2,1,3,N,cloned_repositories/git2r.git/src/libgit2/src/libgit2/xdiff/xutils.c,43
int,cr_at_eol_only,N P N VM,at,1,1,3,P,cloned_repositories/git2r.git/src/libgit2/src/libgit2/xdiff/xutils.c,43
int,cr_at_eol_only,N P N VM,only,3,2,3,VM,cloned_repositories/git2r.git/src/libgit2/src/libgit2/xdiff/xutils.c,43
bool,close_fd_when_done,V N VM V,fd,1,1,5,N,cloned_repositories/git2r.git/src/libgit2/src/util/futils.c,44
bool,close_fd_when_done,V N VM V,close,0,0,5,V,cloned_repositories/git2r.git/src/libgit2/src/util/futils.c,44
bool,close_fd_when_done,V N VM V,done,3,2,5,V,cloned_repositories/git2r.git/src/libgit2/src/util/futils.c,44
bool,close_fd_when_done,V N VM V,when,2,1,5,VM,cloned_repositories/git2r.git/src/libgit2/src/util/futils.c,44
Function,asFunction,P N,Function,1,2,1,N,cloned_repositories/guava.git/android/guava/src/com/google/common/escape/Escaper.java,45
Function,asFunction,P N,as,0,0,1,P,cloned_repositories/guava.git/android/guava/src/com/google/common/escape/Escaper.java,45
V,asV,P N,V,1,2,3,N,cloned_repositories/guava.git/android/guava/src/com/google/common/util/concurrent/AbstractFuture.java,46
V,asV,P N,as,0,0,3,P,cloned_repositories/guava.git/android/guava/src/com/google/common/util/concurrent/AbstractFuture.java,46
CountDownLatch,whenClosed,VM V,Closed,1,2,1,V,cloned_repositories/guava.git/android/guava/src/com/google/common/util/concurrent/ClosingFuture.java,47
CountDownLatch,whenClosed,VM V,when,0,0,1,VM,cloned_repositories/guava.git/android/guava/src/com/google/common/util/concurrent/ClosingFuture.java,47
long,nowMicros,VM NPL,Micros,1,2,5,NPL,cloned_repositories/guava.git/android/guava/src/com/google/common/util/concurrent/RateLimiter.java,48
long,nowMicros,VM NPL,now,0,0,5,VM,cloned_repositories/guava.git/android/guava/src/com/google/common/util/concurrent/RateLimiter.java,48
Entry,onlyEntry,VM N,Entry,1,2,3,N,cloned_repositories/guava.git/guava/src/com/google/common/collect/ImmutableSortedMap.java,49
Entry,onlyEntry,VM N,only,0,0,3,VM,cloned_repositories/guava.git/guava/src/com/google/common/collect/ImmutableSortedMap.java,49
Writer,asWriter,P N,Writer,1,2,4,N,cloned_repositories/guava.git/guava/src/com/google/common/io/CharStreams.java,50
Writer,asWriter,P N,as,0,0,4,P,cloned_repositories/guava.git/guava/src/com/google/common/io/CharStreams.java,50
long,asLong,P N,Long,1,2,3,N,cloned_repositories/guava.git/guava/src/com/google/common/primitives/UnsignedInts.java,51
long,asLong,P N,as,0,0,3,P,cloned_repositories/guava.git/guava/src/com/google/common/primitives/UnsignedInts.java,51
List,asStripes,P N,Stripes,1,2,3,N,cloned_repositories/guava.git/guava/src/com/google/common/util/concurrent/Striped.java,52
List,asStripes,P N,as,0,0,3,P,cloned_repositories/guava.git/guava/src/com/google/common/util/concurrent/Striped.java,52
String,asString,P N,String,1,2,3,N,cloned_repositories/immutables.git/criteria/geode/src/org/immutables/criteria/geode/OqlLiterals.java,53
String,asString,P N,as,0,0,3,P,cloned_repositories/immutables.git/criteria/geode/src/org/immutables/criteria/geode/OqlLiterals.java,53
Context,infor,P N,for,1,2,4,N,cloned_repositories/immutables.git/generator-processor/src/org/immutables/generator/processor/TemplateWriter.java,54
Context,infor,P N,in,0,0,4,P,cloned_repositories/immutables.git/generator-processor/src/org/immutables/generator/processor/TemplateWriter.java,54
Expression,asTransformGeneratorTransform,P NM NM N,Transform,3,2,4,N,cloned_repositories/immutables.git/generator-processor/src/org/immutables/generator/processor/TypeResolver.java,55
Expression,asTransformGeneratorTransform,P NM NM N,Transform,1,1,4,NM,cloned_repositories/immutables.git/generator-processor/src/org/immutables/generator/processor/TypeResolver.java,55
Expression,asTransformGeneratorTransform,P NM NM N,Generator,2,1,4,NM,cloned_repositories/immutables.git/generator-processor/src/org/immutables/generator/processor/TypeResolver.java,55
Expression,asTransformGeneratorTransform,P NM NM N,as,0,0,4,P,cloned_repositories/immutables.git/generator-processor/src/org/immutables/generator/processor/TypeResolver.java,55
Object,and,CJ,and,0,0,3,CJ,cloned_repositories/immutables.git/generator/src/org/immutables/generator/Builtins.java,56
ClassToInstanceMap,afterProcessing,P V,after,0,0,1,P,cloned_repositories/immutables.git/generator/src/org/immutables/generator/EnvironmentState.java,57
ClassToInstanceMap,afterProcessing,P V,Processing,1,2,1,V,cloned_repositories/immutables.git/generator/src/org/immutables/generator/EnvironmentState.java,57
ClassToInstanceMap,afterRound,P N,Round,1,2,1,N,cloned_repositories/immutables.git/generator/src/org/immutables/generator/EnvironmentState.java,58
ClassToInstanceMap,afterRound,P N,after,0,0,1,P,cloned_repositories/immutables.git/generator/src/org/immutables/generator/EnvironmentState.java,58
Object,asDiamond,P N,Diamond,1,2,3,N,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/AbstractValuesTemplate.java,59
Object,asDiamond,P N,as,0,0,3,P,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/AbstractValuesTemplate.java,59
boolean,ifPresent,CJ NM,if,0,0,5,CJ,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/AnnotationInjections.java,60
boolean,ifPresent,CJ NM,Present,1,2,5,NM,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/AnnotationInjections.java,60
Reporter,forAnnotation,P N,Annotation,1,2,4,N,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/Reporter.java,61
Reporter,forAnnotation,P N,for,0,0,4,P,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/Reporter.java,61
boolean,forAttribute,P N,Attribute,1,2,1,N,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/TypeStringProvider.java,62
boolean,forAttribute,P N,for,0,0,1,P,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/TypeStringProvider.java,62
char,open_if_empty,V CJ NM,if,1,1,3,CJ,cloned_repositories/libxo.git/libxo/libxo.c,63
char,open_if_empty,V CJ NM,empty,2,2,3,NM,cloned_repositories/libxo.git/libxo/libxo.c,63
char,open_if_empty,V CJ NM,open,0,0,3,V,cloned_repositories/libxo.git/libxo/libxo.c,63
int,as_warning,P N,warning,1,2,5,N,cloned_repositories/libxo.git/libxo/libxo.c,64
int,as_warning,P N,as,0,0,5,P,cloned_repositories/libxo.git/libxo/libxo.c,64
unsigned,encode_only,V VM,encode,0,0,5,V,cloned_repositories/libxo.git/libxo/libxo.c,65
unsigned,encode_only,V VM,only,1,2,5,VM,cloned_repositories/libxo.git/libxo/libxo.c,65
char,text_only,N VM,text,0,0,5,N,cloned_repositories/libxo.git/libxo/xo.h,66
char,text_only,N VM,only,1,2,5,VM,cloned_repositories/libxo.git/libxo/xo.h,66
bool,replace_if_exists,V CJ V,if,1,1,4,CJ,cloned_repositories/meta.git/src/analyzers/filters/porter2_stemmer.cpp,67
bool,replace_if_exists,V CJ V,replace,0,0,4,V,cloned_repositories/meta.git/src/analyzers/filters/porter2_stemmer.cpp,67
bool,replace_if_exists,V CJ V,exists,2,2,4,V,cloned_repositories/meta.git/src/analyzers/filters/porter2_stemmer.cpp,67
auto,after1,P D,1,1,2,3,D,cloned_repositories/meta.git/src/analyzers/filters/ptb_normalizer.cpp,68
auto,after1,P D,after,0,0,3,P,cloned_repositories/meta.git/src/analyzers/filters/ptb_normalizer.cpp,68
auto,after2,P D,2,1,2,3,D,cloned_repositories/meta.git/src/analyzers/filters/ptb_normalizer.cpp,69
auto,after2,P D,after,0,0,3,P,cloned_repositories/meta.git/src/analyzers/filters/ptb_normalizer.cpp,69
bool,even_split,NM N,split,1,2,5,N,cloned_repositories/meta.git/src/classify/classifier/classifier.cpp,70
bool,even_split,NM N,even,0,0,5,NM,cloned_repositories/meta.git/src/classify/classifier/classifier.cpp,70
auto,even,NM,even,0,0,3,NM,cloned_repositories/meta.git/src/classify/tools/classify.cpp,71
void,throw_if_error,V CJ N,if,1,1,4,CJ,cloned_repositories/meta.git/src/io/xzstream.cpp,72
void,throw_if_error,V CJ N,error,2,2,4,N,cloned_repositories/meta.git/src/io/xzstream.cpp,72
void,throw_if_error,V CJ N,throw,0,0,4,V,cloned_repositories/meta.git/src/io/xzstream.cpp,72
double,total_oov_only,NM N VM,oov,1,1,3,N,cloned_repositories/meta.git/src/lm/tools/query_lm.cpp,73
double,total_oov_only,NM N VM,total,0,0,3,NM,cloned_repositories/meta.git/src/lm/tools/query_lm.cpp,73
double,total_oov_only,NM N VM,only,2,2,3,VM,cloned_repositories/meta.git/src/lm/tools/query_lm.cpp,73
