TYPE,SPLIT,CONTEXT,GRAMMAR_PATTERN,LANGUAGE,SYSTEM_NAME
void,aeon heap,FUNCTION,PRE N,C,aeon
void,aeon heap manager,FUNCTION,PRE NM N,C,aeon
void,aeon init,FUNCTION,PRE V,C,aeon
unsigned,aeon max heap capacity,DECLARATION,PRE NM NM N,C,aeon
void*,aeon pages,DECLARATION,PRE NPL,C,aeon
void*,aeon reclaim pages,FUNCTION,PRE V NPL,C,aeon
void,aeon set heap size,FUNCTION,PRE V NM N,C,aeon
void,aeon set max heap capacity,FUNCTION,PRE V NM NM N,C,aeon
class,AES 128,CLASS,N D,C,rune
class,AES Key 256,CLASS,NM N D,C,zeno
void,after Commit,FUNCTION,P V,Java,quill
void,after Delete,FUNCTION,P V,Java,dataforge
void,after Execute,FUNCTION,P V,Java,beanworks
void,after Initialize,FUNCTION,P V,Java,springcore
void,after Link,FUNCTION,P V,C++,helix
void,after Load,FUNCTION,P V,Java,beanworks
List,aggregate Samples,FUNCTION,V NPL,Java,netpulse
void,align To Boundary,FUNCTION,V P N,C,aeon
float,alignment Value,PARAMETER,NM N,C,bolt
vector,all Children,ATTRIBUTE,DT NPL,C++,sigma
Integer,all Data,DECLARATION,DT N,Java,dataforge
Collection,all Partitions,DECLARATION,DT NPL,Java,beanworks
List,all Replicas,ATTRIBUTE,DT NPL,Java,cloudkit
Set,all Subscribers,DECLARATION,DT NPL,Java,netpulse
vector,all Tokens,DECLARATION,DT NPL,C++,corelib
int,all Traffic,DECLARATION,DT N,Java,netpulse
boolean,all Visible Rows,ATTRIBUTE,DT NM NPL,Java,gridview
void,allocate GPU Memory,FUNCTION,V NM N,C++,apex
void,allocate Memory,FUNCTION,V N,C,kron
void*,allocated Blocks,ATTRIBUTE,NM NPL,C,aeon
int,allocation Size,PARAMETER,NM N,C,aeon
class,Allocator,CLASS,N,C++,quark
double,amplitude Peak,DECLARATION,NM N,C,plex
int,anchor Point,DECLARATION,NM N,C++,titan
Int,animated Flag,PARAMETER,NM N,swift,gridview
Double,animation Duration,DECLARATION,NM N,Java,webstack
void,annotate Source,FUNCTION,V N,C++,helix
Map,annotations,ATTRIBUTE,NPL,Java,beanworks
void,append Text To Buffer,FUNCTION,V N P N,C,forge
class,Archive Reader,CLASS,NM N,C++,oxide
size_t,arg 1,PARAMETER,N D,C,libvx
int,arg 2,PARAMETER,N D,C,libvx
uint32_t,arg 3,PARAMETER,N D,C,trak
uint32_t,arg 4,PARAMETER,N D,C,trak
Collection,args,PARAMETER,NPL,Java,springcore
void*,array Of Bytes,DECLARATION,N P N,C,aeon
long,as Binary,PARAMETER,P N,Java,dataforge
int,as Double,PARAMETER,P N,C++,quark
size_t,as Float,PARAMETER,P N,C++,sigma
int,as Integer,PARAMETER,P N,Java,beanworks
Map,as List,FUNCTION,P N,Java,bytecraft
String,as String,PARAMETER,P N,Java,springcore
void,as Strings,FUNCTION,P NPL,Java,beanworks
String,as Text,PARAMETER,P N,Java,beanworks
void,assign To Group,FUNCTION,V P N,Java,cloudkit
class,Async Event Loop,CLASS,NM NM N,C++,helix
class,Async Executor,CLASS,NM N,Java,springcore
void,async Load Resource,FUNCTION,VM V N,Java,springcore
void,asynchronously Fetch Resource,FUNCTION,VM V N,Java,netpulse
void,asynchronously Persist Event,FUNCTION,VM V N,Java,pulseforge
uint32_t,at Index,DECLARATION,P N,C++,oxide
void,atomically Swap Pointer,FUNCTION,VM V N,C++,halcyon
void,atomically Update Counter,FUNCTION,VM V N,C++,oxide
long,atomically Updated,ATTRIBUTE,VM V,C++,oxide
void,attach To Parent,FUNCTION,V P N,C++,vortex
void,attach To Parent Node,FUNCTION,V P NM N,C++,vortex
int,attack Damage,ATTRIBUTE,NM N,C++,apex
Map,attributes,PARAMETER,NPL,Java,gridview
int,aurora context,DECLARATION,PRE N,C,aurora
class,Aurora Event Router,CLASS,PRE NM N,Java,aurora
void,aurora get event mask,FUNCTION,PRE V NM N,C,aurora
void,aurora init,FUNCTION,PRE V,C,aurora
void,aurora reset queue,FUNCTION,PRE V N,C,aurora
String,auth Header,PARAMETER,NM N,Java,springcore
String,auth Token,ATTRIBUTE,NM N,Java,springcore
void,authenticate,FUNCTION,V,Java,webstack
void,authenticate User,FUNCTION,V N,Java,springcore
void,authorize,FUNCTION,V,Java,webstack
String,auto Detect Encoding,FUNCTION,VM V N,Java,bytecraft
std::vector,available Options,ATTRIBUTE,NM NPL,C++,apex
double,average Score,ATTRIBUTE,NM N,Java,dataforge
int,axis 3,DECLARATION,N D,C++,prism
bool,b Enabled,PARAMETER,PRE NM,C++,halcyon
bool,b Is Ready,DECLARATION,PRE NM N,C++,northstar
bool,b Is Valid,DECLARATION,PRE NM N,C,libvx
bool,b Is Visible,DECLARATION,PRE NM N,C++,halcyon
long,background Color,ATTRIBUTE,NM N,Java,gridview
void,backup And Restore,FUNCTION,V CJ V,Java,beanworks
class,Base64,CLASS,N,Java,bytecraft
String,base64 2 bytes,FUNCTION,N P NPL,Java,bytecraft
int,batch Id,ATTRIBUTE,NM N,Java,cloudkit
Map,batch Insert Records,FUNCTION,VM V NPL,Java,dataforge
int,batch Number,PARAMETER,NM N,Java,springcore
class,Batch Processor,CLASS,NM N,Java,beanworks
int,batch Size,DECLARATION,NM N,C++,neutron
void,before Commit,FUNCTION,P V,Java,dataforge
void,before Compile,FUNCTION,P V,C++,helix
void,before Execute,FUNCTION,P V,Java,beanworks
void,before Render,FUNCTION,P V,C++,apex
void,before Render,FUNCTION,P V,C++,halcyon
void,before Save,FUNCTION,P V,Java,beanworks
void,benchmark Algorithm,FUNCTION,V N,C++,quark
void,bgr 2 rgb,FUNCTION,N P N,C++,pixl
Real,bias,ATTRIBUTE,N,C++,quark
int,bin 2 dec,FUNCTION,N P N,C,forge
String,bin 2 hex,FUNCTION,N P N,C,forge
class,Binary Search Tree,CLASS,NM NM N,C++,sigma
void,bind Socket,FUNCTION,V N,C,nexus
const char*,bind Socket To Local Address,FUNCTION,V N P NM N,C,volt
void,bind Texture To Slot,FUNCTION,V N P N,C++,prism
char*,bind To Address,FUNCTION,V P N,C,volt
char*,bind To Local Address,FUNCTION,V P NM N,C,volt
int,bind To Port,FUNCTION,V P N,C,blitz
class,Bitmap Encoder,CLASS,NM N,C++,prism
String,bits 2 hex,FUNCTION,NPL P N,C,forge
int,bits Per Pixel,DECLARATION,NPL P N,C,moth
float,blend Factor,DECLARATION,NM N,C++,apex
void,blend Pixel,FUNCTION,V N,C,moth
void,blitz close connections,FUNCTION,PRE V NPL,C,blitz
int*,blitz connections,DECLARATION,PRE NPL,C,blitz
int,blitz max buffer size,DECLARATION,PRE NM NM N,C,blitz
void,blitz network socket,FUNCTION,PRE NM N,C,blitz
void,blitz read socket,FUNCTION,PRE V N,C,blitz
bool,blitz remove stale connections,FUNCTION,PRE V NM NPL,C,blitz
size_t,blitz result,DECLARATION,PRE N,C,blitz
void,blitz set buffer size,FUNCTION,PRE V NM N,C,blitz
void,blitz shutdown,FUNCTION,PRE V,C,blitz
void,blitz socket,FUNCTION,PRE N,C,blitz
unsigned,block Count,ATTRIBUTE,NM N,C,aeon
int,block Size,DECLARATION,NM N,C,blitz
Set,blocked Threads,DECLARATION,NM NPL,Java,cloudkit
class,Blocking Queue,CLASS,NM N,Java,bytecraft
int,bolt register,FUNCTION,PRE N,C,bolt
Double,border Radius,DECLARATION,NM N,Java,webstack
std::string,border Style,ATTRIBUTE,NM N,C++,vortex
class,Bound Parameters,CLASS,NM NPL,Java,dataforge
bool,bound Textures,ATTRIBUTE,NM NPL,C++,prism
class,Bounded Thread Pool,CLASS,NM NM N,Java,vortex
void,broadcast Notifications,FUNCTION,V NPL,Java,cloudkit
void,broadcast Signal,FUNCTION,V N,C,dusk
size_t,buffer,DECLARATION,N,C++,neutron
int,buffer 1,DECLARATION,N D,C,blitz
int,buffer 2,DECLARATION,N D,C,blitz
size_t,buffer Length,DECLARATION,NM N,C++,neutron
int,buffer Offset,PARAMETER,NM N,C,bolt
class,Buffer Pool,CLASS,NM N,C++,apex
List,build Abstract Tree,FUNCTION,V NM N,C++,helix
boolean,build Cached Schema Registry,FUNCTION,V NM NM N,Java,beanworks
Collection,build Dependency Graph,FUNCTION,V NM N,Java,beanworks
Integer,build Index Segment,FUNCTION,V NM N,Java,beanworks
String,build Query String,FUNCTION,V NM N,Java,dataforge
void,build Render Pass,FUNCTION,V NM N,C++,prism
vector,build Syntax Tree,FUNCTION,V NM N,C++,helix
long,by Column Index,PARAMETER,P NM N,Java,gridview
int,by Index,PARAMETER,P N,Java,bytecraft
String,by Name,PARAMETER,P N,Java,springcore
int,by Priority,PARAMETER,P N,Java,cloudkit
long,by Shard Key,PARAMETER,P NM N,Java,beanworks
Integer,by Timestamp,PARAMETER,P N,Java,cloudkit
Real,by Value,DECLARATION,P N,C++,corelib
class,Byte Stream,CLASS,NM N,C++,oxide
int*,byteforge list handles,FUNCTION,PRE V NPL,C,byteforge
class,Byteforge Retry Policy,CLASS,PRE NM N,Java,byteforge
void,byteforge set owner name,FUNCTION,PRE V NM N,C,byteforge
String,bytes 2 str,FUNCTION,NPL P N,Java,bytecraft
uint32_t,bytes In Buffer,DECLARATION,NPL P N,C,forge
size_t,bytes Per Block,PARAMETER,NPL P N,C,aeon
unsigned,c,PARAMETER,N,C,pixl
int,cache Key,PARAMETER,NM N,Java,bytecraft
int,cache Line,DECLARATION,NM N,C++,quark
class,Cache Provider,CLASS,NM N,C++,corelib
boolean,cached Entries,ATTRIBUTE,NM NPL,Java,bytecraft
bool,cached Items,DECLARATION,NM NPL,Java,bytecraft
boolean,cached Remote Files,ATTRIBUTE,NM NM NPL,Java,dataforge
class,Cached Repository,CLASS,NM N,Java,dataforge
class,Cached Schema Registry,CLASS,NM NM N,Java,beanworks
bool,cached Token Value,DECLARATION,NM NM N,Java,netpulse
void,calculate Bounding Box,FUNCTION,V NM N,C++,titan
int,callback,PARAMETER,N,C,libvx
int,callback Function,PARAMETER,NM N,C,libvx
boolean,can Accept Connection,FUNCTION,V V N,Java,netpulse
bool,can Allocate,DECLARATION,V V,C,aeon
int,can Allocate Memory,FUNCTION,V V N,C,aeon
boolean,can Connect,FUNCTION,V V,Java,netpulse
bool,can Edit,ATTRIBUTE,V V,Java,gridview
boolean,can Execute,FUNCTION,V V,Java,springcore
bool,can Execute Query,FUNCTION,V V N,Java,dataforge
bool,can Read,DECLARATION,V V,Java,springcore
boolean,can Subscribe,DECLARATION,V V,Java,netpulse
bool,can Write,DECLARATION,V V,C,forge
int,capacity,DECLARATION,N,Java,bytecraft
void,carry With,FUNCTION,V P,Java,beanworks
void,cast To Integer,FUNCTION,V P N,Java,springcore
String,category Name,ATTRIBUTE,NM N,Java,beanworks
int,cb Buffer Size,DECLARATION,PRE NM N,C,kron
long,ch 2,DECLARATION,N D,C,plex
long,channel 0,DECLARATION,N D,C,plex
long,channel 1,DECLARATION,N D,C,plex
int,channel 3,DECLARATION,N D,C,pixl
int,chars 2 int,FUNCTION,NPL P N,C,forge
String,charset Name,PARAMETER,NM N,Java,netpulse
void,check And Repair,FUNCTION,V CJ V,Java,beanworks
void,check Disk Space,FUNCTION,V NM N,C,kron
void,check Reader And Writer,FUNCTION,V N CJ N,C,coda
void,analyze,FUNCTION,V,Java,beanworks
void,analyze State,FUNCTION,V N,Java,beanworks
float,checksum Value,DECLARATION,NM N,C,volt
int,child Count,ATTRIBUTE,NM N,C++,neutron
vector,child Nodes,DECLARATION,NM NPL,C++,sigma
std::vector,children,DECLARATION,NPL,C++,sigma
size_t,chunk Size,PARAMETER,NM N,C,coda
char*,cipher Mode,DECLARATION,NM N,C,zeno
class,Circuit Breaker,CLASS,NM N,Java,cloudkit
class,Circular Buffer Queue,CLASS,NM NM N,C++,apex
void,clear Caches,FUNCTION,V NPL,Java,bytecraft
void,clear Depth Buffer,FUNCTION,V NM N,C++,apex
void,clear Expired Entries,FUNCTION,V NM NPL,Java,bytecraft
void,clear Stale Entries,FUNCTION,V NM NPL,Java,cloudkit
Integer,client And Server,DECLARATION,N CJ N,Java,netpulse
int,clip Rect,DECLARATION,NM N,C,moth
void,clip Rectangle,FUNCTION,V N,C,moth
void,close Connection,FUNCTION,V N,Java,nodelink
void,close If Idle,FUNCTION,V CJ NM,Java,cloudkit
int*,coalesce Blocks,FUNCTION,V NPL,C,aeon
int*,coda buffers,DECLARATION,PRE NPL,C,coda
void,coda close file,FUNCTION,PRE V N,C,coda
uint32_t,coda file,DECLARATION,PRE N,C,coda
void,coda file descriptor,FUNCTION,PRE NM N,C,coda
void,coda flush buffers,FUNCTION,PRE V NPL,C,coda
void,coda flush pending buffers,FUNCTION,PRE V NM NPL,C,coda
void,coda init,FUNCTION,PRE V,C,coda
void,coda open stream,FUNCTION,PRE V N,C,coda
void,coda read file descriptor,FUNCTION,PRE V NM N,C,coda
void,coda stream,FUNCTION,PRE N,C,coda
class,Code Generator,CLASS,NM N,C++,prism
void,col 2 im,FUNCTION,N P N,C++,neutron
bool,col 2 im,PARAMETER,N P N,C++,neutron
bool,col 2 im,DECLARATION,N P N,C++,neutron
void,collect Garbage Roots,FUNCTION,V NM NPL,C,aeon
void,collect Metrics,FUNCTION,V NPL,Java,cloudkit
void,collect Unused References,FUNCTION,V NM NPL,C++,neutron
class,Collision Detector,CLASS,NM N,C++,apex
unsigned,color,ATTRIBUTE,N,C,pixl
int,color 4,DECLARATION,N D,C++,prism
class,Color Picker,CLASS,NM N,Java,webstack
int,color Space,PARAMETER,NM N,C,pixl
Integer,column Count,PARAMETER,NM N,Java,gridview
int,column Width,DECLARATION,NM N,C,nexus
Set,columns,ATTRIBUTE,NPL,Java,gridview
void,commit Changes,FUNCTION,V NPL,Java,dataforge
boolean,commit If Dirty,FUNCTION,V CJ NM,Java,beanworks
void,commit Transaction Atomically,FUNCTION,V N VM,Java,beanworks
void,compact Database,FUNCTION,V N,Java,beanworks
Set,compact Segments,FUNCTION,V NPL,Java,beanworks
class,Comparator,CLASS,N,Java,javelin
void,compile,FUNCTION,V,C++,corelib
void,compile And Link,FUNCTION,V CJ V,C++,helix
void,compile From Source,FUNCTION,V P N,C++,helix
void,compile From Source File,FUNCTION,V P NM N,C++,helix
void,compile Shader Source,FUNCTION,V NM N,C++,apex
void,compress And Encrypt,FUNCTION,V CJ V,C,zeno
void,compress And Write Block,FUNCTION,V CJ V N,C,coda
void,compress Block,FUNCTION,V N,C,coda
bool,compressed Block Size,DECLARATION,NM NM N,C,coda
bool,compressed Bytes,PARAMETER,NM NPL,C,coda
class,Compressed Stream,CLASS,NM N,Java,bytecraft
uint32_t,compression Level,ATTRIBUTE,NM N,C++,apex
void,compute Hash,FUNCTION,V N,C,forge
class,Concurrent Hash Map,CLASS,NM NM N,Java,bytecraft
Set,concurrently Drain Workers,FUNCTION,VM V NPL,Java,cloudkit
Set,concurrently Process Queue,FUNCTION,VM V N,Java,cloudkit
class,Config Loader,CLASS,NM N,C++,apex
class,Config Properties,CLASS,NM NPL,Java,springcore
Void,configure Cell,FUNCTION,V N,swift,gridview
void,connect,FUNCTION,V,Java,netpulse
void,connect Securely,FUNCTION,V VM,Java,nodelink
void,connect To Broker,FUNCTION,V P N,Java,netpulse
void,connect To Remote Host,FUNCTION,V P NM N,Java,nodelink
void,connect To Server,FUNCTION,V P N,Java,nodelink
boolean,connected Clients,ATTRIBUTE,NM NPL,Java,netpulse
class,Connection Pool Manager,CLASS,NM NM N,Java,dataforge
String,connection String,ATTRIBUTE,NM N,Java,nodelink
long,connection Timeout,DECLARATION,NM N,Java,dataforge
class,Connection Wrapper,CLASS,NM N,Java,beanworks
int,connections Per Worker,PARAMETER,NPL P N,Java,cloudkit
Set,constraints,PARAMETER,NPL,Java,beanworks
void,consume Record,FUNCTION,V N,Java,netpulse
long,consumer Group,DECLARATION,NM N,Java,netpulse
void,contains Key,FUNCTION,V N,Java,bytecraft
Integer,content Length,PARAMETER,NM N,Java,netpulse
String,content Type,DECLARATION,NM N,Java,springcore
int,context,PARAMETER,N,C++,vortex
class,Controller,CLASS,N,Java,springcore
float,convergence Threshold,PARAMETER,NM N,C++,quark
void,convert rgb 2 gray,FUNCTION,V N P N,C++,pixl
Collection,convert To Byte Array,FUNCTION,V P NM N,Java,springcore
Map,convert To Bytes,FUNCTION,V P N,Java,netpulse
std::string,convert To Fixed Point Format,FUNCTION,V P NM NM N,C++,sigma
String,convert To JSON String,FUNCTION,V P NM N,Java,netpulse
String,convert To String,FUNCTION,V P N,Java,springcore
void,convert yuv 2 rgb,FUNCTION,V N P N,C++,pixl
void,copy Buffer To Shared Memory,FUNCTION,V N P NM N,C++,neutron
void,copy Data To Shared Buffer,FUNCTION,V N P NM N,C,aeon
void,copy File To Directory,FUNCTION,V N P N,C,forge
void,copy Region To Buffer,FUNCTION,V N P N,C,aeon
int,correlation Id,ATTRIBUTE,NM N,Java,netpulse
long,count,DECLARATION,N,C,libvx
List,count Elements,FUNCTION,V NPL,C++,sigma
int,count Of Errors,ATTRIBUTE,N P N,Java,springcore
size_t,cp 437,DECLARATION,N D,C,libvx
class,CRC 32,CLASS,N D,C,zeno
long,create Index Entry,FUNCTION,V NM N,Java,dataforge
void,create New Render Context,FUNCTION,V NM NM N,C++,apex
void,create New Thread,FUNCTION,V NM N,C++,vortex
void,create Socket Pair,FUNCTION,V NM N,C,volt
void,create Thread,FUNCTION,V N,C++,vortex
void,create Worker Thread,FUNCTION,V NM N,C++,oxide
long,creation Date,ATTRIBUTE,NM N,Java,dataforge
Integer,creation Time,ATTRIBUTE,NM N,Java,dataforge
Set,credentials,PARAMETER,NPL,Java,webstack
String,csv 2 json,FUNCTION,N P N,Java,dataforge
class,Csv 2 Json Mapper,CLASS,N P NM N,Java,dataforge
boolean,current Active Worker Count,DECLARATION,NM NM NM N,Java,netpulse
boolean,current And Pending Owner,DECLARATION,N CJ NM N,Java,quill
int,current Animation Frame,DECLARATION,NM NM N,C++,titan
bool,current Bound Textures,ATTRIBUTE,NM NM NPL,C++,prism
unsigned,current Index,DECLARATION,NM N,C,libvx
void*,current Open Handles,ATTRIBUTE,NM NM NPL,C,kron
long,current Page Index,DECLARATION,NM NM N,Java,gridview
long,current Scroll Offset,ATTRIBUTE,NM NM N,Java,gridview
long,current Trace Context,ATTRIBUTE,NM NM N,Java,cloudkit
boolean,currently Active,ATTRIBUTE,VM NM,Java,springcore
bool,currently Bound Port,DECLARATION,VM V N,C++,halcyon
long,currently Selected,DECLARATION,VM V,C++,halcyon
int,cursor,ATTRIBUTE,N,C++,corelib
class,Cursor Adapter,CLASS,NM N,Java,webstack
int,cursor Position,DECLARATION,NM N,C++,prism
class,Custom Abstract Plugin Loader Factory,CLASS,NM NM NM NM N,Java,beanworks
class,Custom Event Dispatcher,CLASS,NM NM N,Java,springcore
class,Custom Memory Manager,CLASS,NM NM N,C++,neutron
class,Custom Retry Policy,CLASS,NM NM N,Java,cloudkit
class,Custom Thread Pool Executor,CLASS,NM NM NM N,Java,springcore
size_t,daemon,DECLARATION,N,C,trak
int,data Or Logger,ATTRIBUTE,N CJ N,Java,springcore
class,Data Source,CLASS,NM N,Java,dataforge
String,dec 2 hex,FUNCTION,N P N,C,forge
void,decode Packet,FUNCTION,V N,C,nexus
void,decompress Stream,FUNCTION,V N,C,coda
void,decrypt And Decompress,FUNCTION,V CJ V,C,zeno
void,decrypt Cipher,FUNCTION,V N,C,zeno
void,deep Copy Object,FUNCTION,VM V N,Java,bytecraft
class,Default Abstract Factory Method Pattern,CLASS,NM NM NM NM N,Java,springcore
long,default Background Color,ATTRIBUTE,NM NM N,C++,vortex
const char*,default Cipher Mode,ATTRIBUTE,NM NM N,C,zeno
void*,default Cipher Suites,DECLARATION,NM NM NPL,C,zeno
Integer,default Column Widths,DECLARATION,NM NM NPL,Java,gridview
class,Default Config Provider,CLASS,NM NM N,Java,springcore
int,default Font Size,DECLARATION,NM NM N,Java,gridview
class,Default HTTP Request Handler,CLASS,NM NM NM N,Java,nodelink
int,default Initial Pool Size,DECLARATION,NM NM NM N,Java,cloudkit
int,default Max Buffer Size,DECLARATION,NM NM NM N,C++,neutron
Integer,default Max Concurrent Worker Count,DECLARATION,NM NM NM NM N,Java,cloudkit
class,Default Plugin Loader,CLASS,NM NM N,Java,beanworks
double,default Polling Interval,PARAMETER,NM NM N,Java,netpulse
class,Default Serialized Object Factory,CLASS,NM NM NM N,Java,beanworks
float,default Timeout Duration,DECLARATION,NM NM N,Java,cloudkit
float,default Timeout Value,PARAMETER,NM NM N,Java,springcore
float,default Value,DECLARATION,NM N,Java,bytecraft
int,defense Rating,ATTRIBUTE,NM N,C++,apex
void,defragment,FUNCTION,V,C,aeon
int,degree Of Freedom,ATTRIBUTE,N P N,C++,prism
Int,delegate Reference,ATTRIBUTE,NM N,swift,gridview
void,delegate To Handler,FUNCTION,V P N,Java,webstack
void,delete By Id,FUNCTION,V P N,Java,dataforge
void,delete Node,FUNCTION,V N,C++,sigma
int,delimiter,PARAMETER,N,Java,beanworks
int,delimiter Character,PARAMETER,NM N,Java,bytecraft
Set,dependencies,ATTRIBUTE,NPL,Java,beanworks
class,Dependency Resolver,CLASS,NM N,Java,beanworks
long,depth,DECLARATION,N,C++,apex
int,depth Of Field,ATTRIBUTE,N P N,C++,prism
void,dequeue Item,FUNCTION,V N,C++,oxide
uint32_t,descriptor Index,PARAMETER,NM N,C,coda
void,deserialize Payload,FUNCTION,V N,Java,netpulse
List,deserialize Records,FUNCTION,V NPL,Java,beanworks
void,destroy Context,FUNCTION,V N,C,libvx
void,detect Collision,FUNCTION,V N,C++,apex
int,device Id,ATTRIBUTE,NM N,C,dusk
class,Dialog Fragment,CLASS,NM N,Java,webstack
long,digest,DECLARATION,N,C,zeno
class,Digest Calculator,CLASS,NM N,Java,netpulse
uint32_t,digest Length,DECLARATION,NM N,C,zeno
int,dimension 3,PARAMETER,N D,C++,sigma
vector,dimensions,PARAMETER,NPL,C++,prism
char*,directory Path,ATTRIBUTE,NM N,C,coda
bool,dirty Pages,DECLARATION,NM NPL,C,aeon
void,disconnect,FUNCTION,V,Java,netpulse
void,discover Peers,FUNCTION,V NPL,Java,netpulse
Void,dismiss View Controller,FUNCTION,V NM N,swift,gridview
void,dispatch Asynchronously,FUNCTION,V VM,Java,netpulse
void,dispatch Event,FUNCTION,V N,Java,netpulse
void,dispatch Job To Pool,FUNCTION,V N P N,Java,cloudkit
void,dispatch To Worker,FUNCTION,V P N,Java,cloudkit
void,dispatch To Worker Pool,FUNCTION,V P NM N,Java,cloudkit
class,Dispatcher,CLASS,N,Java,netpulse
String,display Mode,ATTRIBUTE,NM N,Java,gridview
void,dispose,FUNCTION,V,Java,gridview
uint32_t,distance To Focal Point,ATTRIBUTE,N P NM N,C++,prism
class,Distributed Cached Hash Table,CLASS,NM NM NM N,Java,cloudkit
class,Distributed Lock Manager,CLASS,NM NM N,Java,cloudkit
class,Doubly Linked List,CLASS,NM NM N,C++,sigma
void,download Resource,FUNCTION,V N,Java,webstack
void,drain Messages,FUNCTION,V NPL,Java,netpulse
void,drain Queue,FUNCTION,V N,C++,oxide
void,draw Rectangle,FUNCTION,V N,C,pixl
void,drift close handle,FUNCTION,PRE V N,C,drift
int,driver,DECLARATION,N,C,dusk
int*,dump Stack,FUNCTION,V N,C,nexus
void,dusk get signal handler,FUNCTION,PRE V NM N,C,dusk
void,dusk init,FUNCTION,PRE V,C,dusk
int,dusk irq,DECLARATION,PRE N,C,dusk
void,dusk mask interrupt,FUNCTION,PRE V N,C,dusk
long,dusk register handler,FUNCTION,PRE V N,C,dusk
void,dusk signal,FUNCTION,PRE N,C,dusk
long,dusk signal handler,DECLARATION,PRE NM N,C,dusk
long,dw Flags,DECLARATION,PRE N,C,nexus
int,dw Retry Count,DECLARATION,PRE NM N,C,byteforge
bool,each Active Session,DECLARATION,DT NM N,Java,cloudkit
bool,each Active Thread,DECLARATION,DT NM N,C++,vortex
int,each Entry,PARAMETER,DT N,Java,springcore
int,each Item,DECLARATION,DT N,Java,springcore
long,each Partition,DECLARATION,DT N,Java,beanworks
size_t,each Segment,PARAMETER,DT N,C,coda
boolean,eagerly Cached Data,ATTRIBUTE,VM V N,Java,byteforge
void,eagerly Fetch Data,FUNCTION,VM V N,Java,dataforge
boolean,eagerly Initialized,ATTRIBUTE,VM V,Java,beanworks
List,eagerly Load Dependencies,FUNCTION,VM V NPL,Java,springcore
Collection,eagerly Merge Results,FUNCTION,VM V NPL,Java,byteforge
List,elements,ATTRIBUTE,NPL,C++,sigma
void,ember open stream,FUNCTION,PRE V N,C,ember
char*,ember read header,FUNCTION,PRE V N,C,ember
unsigned,ember socket,DECLARATION,PRE N,C,ember
void,emit Instruction,FUNCTION,V N,C++,corelib
void,emit Signal To Listener,FUNCTION,V N P N,C++,titan
boolean,enabled Features,ATTRIBUTE,NM NPL,Java,cloudkit
void,encode And Compress,FUNCTION,V CJ V,Java,bytecraft
String,encode String,FUNCTION,V N,Java,bytecraft
String,encode UTF String,FUNCTION,V NM N,Java,bytecraft
String,encoding Type,PARAMETER,NM N,Java,bytecraft
const char*,encrypt Message,FUNCTION,V N,C,zeno
int,end Time,ATTRIBUTE,NM N,Java,cloudkit
Set,endpoints,ATTRIBUTE,NPL,Java,netpulse
void,ends With,FUNCTION,V P,Java,springcore
size_t,enemy Count,DECLARATION,NM N,C++,apex
void,enqueue Task,FUNCTION,V N,Java,cloudkit
List,entries,DECLARATION,NPL,C++,corelib
void,enumerate Devices,FUNCTION,V NPL,C,dusk
long,epoch,DECLARATION,N,Java,cloudkit
int,epoch Count,DECLARATION,NM N,Java,dataforge
void,equals Object,FUNCTION,V N,Java,springcore
unsigned,error Code,DECLARATION,NM N,C,blitz
