SPLIT_IDENTIFIER,WORD,NORMALIZED_POSITION,MAXPOSITION,CONTEXT_NUMBER,LANGUAGE,LAST_LETTER,NLTK_POS,VERB_SCORE,DET_SCORE,PREP_SCORE,ENGLISHV_SCORE,ENGLISHPRE_SCORE,POSITION_RATIO,ENGLISHN_SCORE,METHODV_SCORE,CONJ_SCORE,PREPOSITION,DETERMINER,CONTAINSDIGIT,CONTAINSCLOSEDSET,HTTP_POS
num Tess Face Data,face,1,4,1,0,101,3,0.3554417192935943,0.2432045489549636,0.3013728857040405,-0.0323004126548767,-0.0102325771003961,0.5,-0.0044527244754135,0.2381849884986877,0.2432045489549636,0,0,False,False,"num|NM,Tess|NM,Face|NM,Data|N"
default instance void,default,0,3,1,1,116,3,0.1782739460468292,0.1684462130069732,0.1206292659044265,0.1593910157680511,0.1614806801080703,0.0,0.1734899133443832,0.1411328613758087,0.1684462130069732,0,0,False,False,"default|NM,instance|NM,void|N"
Alt And Context Config Equality Comparator,and,1,6,2,0,100,11,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,-0.0192997697740793,0.0,0,0,False,False,"Alt|NM,And|CJ,Context|NM,Config|NM,Equality|NM,Comparator|N"
copy primitives from,from,2,3,4,1,109,6,0.198530912399292,0.3632298111915588,0.5480725169181824,-0.0356383360922336,0.0728794783353805,0.6666666666666666,-0.0054605570621788,0.0369082018733024,0.3632298111915588,1,0,False,True,"copy|V,primitives|NPL,from|P"
simulate GC,simulate,0,2,4,0,101,3,0.3649475276470184,0.0932461619377136,0.247604638338089,0.0148174874484539,0.0836591869592666,0.0,0.1105486154556274,0.1487587392330169,0.0932461619377136,0,0,False,False,"simulate|V,GC|N"
Suite Method Builder,builder,2,3,2,0,114,3,0.1220173239707946,0.1006590873003006,0.1029769107699394,0.0592201985418796,0.0277191251516342,0.6666666666666666,0.1180805936455726,-0.0876399353146553,0.1006590873003006,0,0,False,False,"Suite|NM,Method|NM,Builder|N"
skip Whitespace And Commas,whitespace,1,4,4,0,101,3,0.1379351615905761,0.0712023824453353,0.0426075607538223,0.3169916868209839,0.3279687762260437,0.25,0.2674654424190521,0.2108326703310012,0.0712023824453353,0,0,False,False,"skip|V,Whitespace|NM,And|CJ,Commas|N"
Slack Client,client,2,2,2,0,116,3,0.1094782948493957,0.1240310817956924,0.0658468827605247,0.0751150846481323,0.0686420351266861,0.5,0.0462381094694137,0.2538767158985138,0.1240310817956924,0,0,False,False,"Slack|NM,Client|N"
after,after,0,1,3,0,114,6,0.1931329667568206,0.4273825585842132,0.5454723238945007,-0.0083107138052582,0.0095862345770001,0.0,-0.032640766352415,-0.0210883617401123,0.4273825585842132,1,0,False,True,after|P
Hash 64 Functions With Seed,functions,1,5,2,0,115,1,0.1618849784135818,0.1514036059379577,0.1158912107348442,0.0958798006176948,0.092011421918869,0.4,0.1565977483987808,0.3033961951732635,0.1514036059379577,0,0,True,False,"Hash|V,64|D,Functions|NPL,With|P,Seed|N"
has in band,in,1,3,5,2,110,6,0.2683225274085998,0.4491936564445495,0.6486442685127258,0.0024078781716525,0.0506594330072402,0.3333333333333333,0.0282606501132249,0.0142240058630704,0.4491936564445495,1,0,False,False,"has|V,in|P,band|N"
component Type,type,2,2,1,2,101,3,0.308232307434082,0.3461083471775055,0.2965118885040283,0.1953383237123489,0.1956280618906021,0.5,0.3099752962589264,-0.041724719107151,0.3461083471775055,0,0,False,False,"component|NM,Type|N"
out Stat Name,out,0,3,5,0,116,6,0.2923476099967956,0.4140246510505676,0.5889096260070801,0.0478702075779438,0.115865521132946,0.0,0.0579157657921314,0.0431004576385021,0.4140246510505676,1,0,False,False,"out|NM,Stat|NM,Name|N"
next Page Value,next,0,3,3,0,116,0,0.2992065250873565,0.3318409323692322,0.3625057637691498,0.0115816304460167,-0.0301890447735786,0.0,-0.0353265032172203,-0.192200094461441,0.3318409323692322,0,1,False,False,"next|P,Page|NM,Value|N"
char strings,char,0,2,1,2,114,3,0.143754094839096,0.0586924403905868,0.070076510310173,0.2833326160907745,0.4364784955978393,0.0,0.3039661943912506,0.2212286740541458,0.0586924403905868,0,0,False,False,"char|NM,strings|NPL"
Xpp3 Xml Pull Parser,xml,1,4,2,0,108,3,0.0679991543292999,0.1355549842119217,0.0413887239992618,0.328590452671051,0.3783422410488128,0.25,0.2728376686573028,0.1487647891044616,0.1355549842119217,0,0,False,False,"Xpp|NM,3|D,Xml|NM,Pull|NM,Parser|N"
get Raw Arguments,raw,1,3,4,1,119,3,0.1694021075963974,0.1957740783691406,0.1827307343482971,0.0302657503634691,0.1374856382608413,0.3333333333333333,0.1075733080506324,0.0893672108650207,0.1957740783691406,0,0,False,False,"get|V,Raw|NM,Arguments|NPL"
Parameter Signature,parameter,0,2,2,0,114,3,0.1540853083133697,0.1293467879295349,0.0889835432171821,0.3036307692527771,0.3441022038459778,0.0,0.353222906589508,0.0421630442142486,0.1293467879295349,0,0,False,False,"Parameter|NM,Signature|N"
all synced,synced,2,2,4,2,100,7,0.165925070643425,0.1709257066249847,0.131406158208847,0.1857004314661026,0.1589840650558471,0.5,0.1531034260988235,0.3698849081993103,0.1709257066249847,0,0,False,False,"all|DT,synced|NM"
extract Events,events,2,2,1,0,115,1,0.1318879574537277,0.1544897258281707,0.1786601394414901,0.0306886285543441,0.0477475151419639,0.5,0.0778793543577194,0.0746193528175354,0.1544897258281707,0,0,False,False,"extract|NM,Events|NPL"
pad 2,2,2,2,1,2,50,2,0.1063688024878501,0.117492489516735,0.2279904335737228,0.0115420743823051,0.3298133611679077,0.5,-0.0142195243388414,0.0,0.117492489516735,0,0,True,False,"pad|NM,2|D"
num vertices per primitive,num,0,4,3,1,109,3,0.0256788805127143,-0.0026342098135501,-0.0135414442047476,0.3093838393688202,0.5628393888473511,0.0,0.2832817733287811,0.1403419375419616,-0.0026342098135501,0,0,False,False,"num|NM,vertices|NPL,per|P,primitive|N"
next event,next,0,2,1,2,116,0,0.2992065250873565,0.3318409323692322,0.3625057637691498,0.0115816304460167,-0.0301890447735786,0.0,-0.0353265032172203,-0.192200094461441,0.3318409323692322,0,1,False,False,"next|NM,event|N"
all Pools,pools,2,2,5,0,115,1,0.1406091302633285,0.1259878724813461,0.1423705816268921,0.0015399641124531,0.0739916265010833,0.5,0.0697212964296341,0.3623045086860657,0.1259878724813461,0,0,False,False,"all|DT,Pools|NPL"
remap Nearest Neighbor,remap,0,3,4,1,112,3,0.2485055178403854,0.0734100416302681,0.0645990595221519,0.1223527640104293,0.1978342086076736,0.0,0.1054074317216873,0.1112763285636901,0.0734100416302681,0,0,False,False,"remap|V,Nearest|NM,Neighbor|N"
playing Ch 2,playing,0,3,1,2,103,4,0.2573074996471405,0.2535308301448822,0.1996053457260131,-0.031039198860526,0.0475637912750244,0.0,0.0259288735687732,0.2711738348007202,0.2535308301448822,0,0,True,False,"playing|NM,Ch|NM,2|D"
merge driver name for path,for,1,5,4,2,114,6,0.3402898013591766,0.4617387652397156,0.5728485584259033,0.0100090838968753,0.1170183718204498,0.6,0.0276452172547578,0.176849752664566,0.4617387652397156,1,0,False,False,"merge|V,driver|NM,name|N,for|P,path|N"
start Matched Count Dec,matched,1,4,4,1,100,7,0.2386404275894165,0.1664064079523086,0.2721090018749237,-0.0921741649508476,0.0371862351894378,0.25,-0.0858090594410896,0.217616006731987,0.1664064079523086,0,0,False,False,"start|V,Matched|NM,Count|NM,Dec|N"
trim Parse Trees,parse,1,3,3,3,101,3,0.4128473699092865,0.1702736318111419,0.1140109747648239,0.2751089334487915,0.1760893762111663,0.3333333333333333,0.2981761693954468,-0.1805215924978256,0.1702736318111419,0,0,False,False,"trim|NM,Parse|NM,Trees|N"
this class,class,2,2,5,1,115,3,0.1570562720298767,0.1268974989652633,0.1922260373830795,0.1075867787003517,0.0813808068633079,0.5,0.1155676767230033,0.2746939063072204,0.1268974989652633,0,0,False,False,"this|P,class|N"
data Sv 4,4,2,3,5,0,52,2,0.1046565398573875,0.0974042192101478,0.2239138782024383,-0.0005188549985177,0.294838398694992,0.6666666666666666,-0.0163627099245786,0.0,0.0974042192101478,0,0,True,False,"data|NM,Sv|NM,4|D"
last wakeup,wakeup,2,2,5,2,112,3,0.1541970074176788,0.0805801227688789,0.0532512515783309,0.0558155365288257,0.1284703910350799,0.5,0.0319906175136566,0.1037526950240135,0.0805801227688789,0,0,False,False,"last|NM,wakeup|N"
Replace ES419 Language Filter,replace,0,4,2,0,101,10,0.3963147699832916,0.1853013932704925,0.2185216248035431,0.0202258750796318,0.0354133322834968,0.0,0.0238969419151544,0.011900644749403,0.1853013932704925,0,0,False,False,"Replace|NM,ES|NM,419|D,Language|NM,Filter|N"
init 2,2,2,2,4,1,50,2,0.1063688024878501,0.117492489516735,0.2279904335737228,0.0115420743823051,0.3298133611679077,0.5,-0.0142195243388414,0.0,0.117492489516735,0,0,True,False,"init|V,2|D"
ip6 h nxt,ip6,0,3,1,2,54,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,"ip|NM,6|D,h|NM,nxt|N"
ccv get sparse matrix cell from vector,from,1,7,4,2,109,6,0.198530912399292,0.3632298111915588,0.5480725169181824,-0.0356383360922336,0.0728794783353805,0.7142857142857143,-0.0054605570621788,0.0369082018733024,0.3632298111915588,1,0,False,False,"ccv|V,get|NM,sparse|NM,matrix|NM,cell|N,from|P,vector|N"
k Dp Significand Mask,k,0,4,1,1,107,3,0.0679720714688301,0.0527404211461544,0.0529573410749435,0.1772392839193344,0.3305162489414215,0.0,0.1547594219446182,0.0276724770665168,0.0527404211461544,0,0,False,False,"k|PRE,Dp|NM,Sig|NM,nific|NM,and|CJ,Mask|N"
Code Generator Private,private,2,3,2,1,101,0,0.2250023186206817,0.2317527830600738,0.2282539159059524,0.002203264972195,0.0140563994646072,0.6666666666666666,0.005798993166536,0.3734574317932129,0.2317527830600738,0,0,False,False,"Code|NM,Generator|NM,Private|N"
interface Bounds,interface,0,2,3,0,101,3,0.1697810888290405,0.0799080207943916,0.0547189824283123,0.1964780986309051,0.1458403468132019,0.0,0.1679180711507797,0.311250776052475,0.0799080207943916,0,0,False,False,"interface|NM,Bounds|NPL"
exit 64,exit,0,2,3,1,116,3,0.2626276016235351,0.1709707975387573,0.2252295017242431,0.0529629625380039,0.0808616951107978,0.0,0.0469182692468166,0.014362565241754,0.1709707975387573,0,0,True,False,"exit|NM,64|D"
st arg 2,st,0,3,5,2,116,3,0.1064099222421646,0.0877383798360824,0.1785232126712799,0.1136475428938865,0.4688571691513061,0.0,0.1230342462658882,0.2508301138877868,0.0877383798360824,0,0,True,False,"st|NM,arg|NM,2|D"
action To Index Map,action,0,4,1,2,110,3,0.2368718981742859,0.2148801386356353,0.1602802872657776,0.0555878840386867,0.0300509817898273,0.0,0.0055515090934932,-0.0054561849683523,0.2148801386356353,0,0,False,False,"action|N,To|P,Index|NM,Map|N"
by,by,0,1,1,0,121,6,0.0881484970450401,0.3139232695102691,0.3558567464351654,0.0135856131091713,0.0642503127455711,0.0,-0.0131203010678291,0.2168506681919098,0.3139232695102691,1,0,False,True,by|P
k Im 2 Col,k,0,4,3,1,107,3,0.0679720714688301,0.0527404211461544,0.0529573410749435,0.1772392839193344,0.3305162489414215,0.0,0.1547594219446182,0.0276724770665168,0.0527404211461544,0,0,True,False,"k|NM,Im|NM,2|D,Col|N"
next object list,object,1,3,3,2,116,3,0.2846368253231048,0.2366527915000915,0.2160480171442031,0.2464179843664169,0.0769749134778976,0.3333333333333333,0.2537484467029571,0.0551867187023162,0.2366527915000915,0,0,False,False,"next|NM,object|NM,list|N"
get Failure Timestamp,timestamp,2,3,4,0,112,3,0.0737368240952491,0.1492513567209243,0.0751968845725059,0.2658782303333282,0.2695663869380951,0.6666666666666666,0.2448510080575943,0.1067176908254623,0.1492513567209243,0,0,False,False,"get|V,Failure|NM,Timestamp|N"
adler 1,1,2,2,3,2,49,2,0.1091085225343704,0.119271732866764,0.2104614078998565,0.0366875939071178,0.2996620237827301,0.5,0.0205252431333065,0.0,0.119271732866764,0,0,True,False,"adler|NM,1|D"
hash and save,and,1,3,4,2,100,11,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-0.0192997697740793,0.0,0,0,False,True,"hash|V,and|CJ,save|N"
url From Json,url,0,3,4,0,108,3,0.0866795554757118,0.0156186232343316,-0.0151223186403512,0.323953241109848,0.3578986525535583,0.0,0.3020019233226776,0.0618488863110542,0.0156186232343316,0,0,False,False,"url|N,From|P,Json|N"
learned Lop Expert Weights 2 D,2,1,6,5,0,50,2,0.1063688024878501,0.117492489516735,0.2279904335737228,0.0115420743823051,0.3298133611679077,0.6666666666666666,-0.0142195243388414,0.0,0.117492489516735,0,0,True,False,"learned|NM,Lop|NM,Expert|DT,Weights|NM,2|P,D|N"
color Map,color,0,2,5,1,114,3,0.1950842589139938,0.1530556082725525,0.1329319775104522,0.1205167770385742,0.182106077671051,0.0,0.1551767736673355,0.0707347840070724,0.1530556082725525,0,0,False,False,"color|NM,Map|N"
YOLO 2,2,2,2,2,0,50,2,0.1063688024878501,0.117492489516735,0.2279904335737228,0.0115420743823051,0.3298133611679077,0.5,-0.0142195243388414,0.0,0.117492489516735,0,0,True,False,"YOLO|NM,2|D"
opposite Major Fragment Id,id,2,4,1,0,100,3,0.1107425019145011,0.1421974450349807,0.0769604966044426,0.2474091798067093,0.4983824491500854,0.75,0.2809996306896209,-0.0925729423761367,0.1421974450349807,0,0,False,False,"opposite|NM,Major|NM,Fragment|NM,Id|N"
blob name to last top idx,idx,2,6,3,1,120,3,0.1724656671285629,0.06768499314785,0.117308609187603,0.2858828008174896,0.5959564447402954,0.8333333333333334,0.3069826662540436,0.3268316686153412,0.06768499314785,0,0,False,False,"blob|N,name|NM,to|P,last|NM,top|NM,idx|N"
h if index,index,2,3,1,2,120,3,0.1784178912639618,0.1322621554136276,0.2067766338586807,0.0815500617027282,0.1123469769954681,0.6666666666666666,0.1372797042131424,-0.0878286063671112,0.1322621554136276,0,0,False,False,"h|NM,if|P,index|N"
sz Joint Ranges,sz,0,3,3,2,122,3,0.0175470449030399,-0.065155416727066,0.0182947237044572,0.119831308722496,0.5799466371536255,0.0,0.1980840265750885,0.0,-0.065155416727066,0,0,False,False,"sz|NM,Joint|NM,Ranges|NPL"
throw Provision Exception If Errors Exist,provision,1,6,4,2,110,3,0.1861373484134674,0.161100298166275,0.1095084547996521,0.1034695953130722,0.1405115723609924,0.1666666666666666,0.1494477391242981,0.1929592937231063,0.161100298166275,0,0,False,False,"throw|V,Provision|NM,Exception|NM,If|P,Errors|NM,Exist|N"
after write cb,after,0,3,1,2,114,6,0.1931329667568206,0.4273825585842132,0.5454723238945007,-0.0083107138052582,0.0095862345770001,0.0,-0.032640766352415,-0.0210883617401123,0.4273825585842132,1,0,False,False,"after|P,write|NM,cb|N"
bt Deformable Contact Constraint,constraint,2,4,2,1,116,3,0.2204728126525879,0.1656567454338073,0.0634269118309021,0.100594088435173,0.1008405983448028,0.75,0.1338206082582473,0.1906278431415558,0.1656567454338073,0,0,False,False,"bt|NM,Deformable|NM,Contact|NM,Constraint|N"
wat id,id,2,2,3,2,100,3,0.1107425019145011,0.1421974450349807,0.0769604966044426,0.2474091798067093,0.4983824491500854,0.5,0.2809996306896209,-0.0925729423761367,0.1421974450349807,0,0,False,False,"wat|NM,id|N"
ptr channel 2,2,2,3,3,2,50,2,0.1063688024878501,0.117492489516735,0.2279904335737228,0.0115420743823051,0.3298133611679077,0.6666666666666666,-0.0142195243388414,0.0,0.117492489516735,0,0,True,False,"ptr|NM,channel|NM,2|D"
file no,file,0,2,5,1,101,3,0.2872684597969055,0.1361922025680542,0.0660145878791809,0.0794294998049736,0.1070886999368667,0.0,0.0731587409973144,0.0872952342033386,0.1361922025680542,0,0,False,True,"file|NM,no|DT"
RTF UTF8,utf8,2,2,1,0,56,3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,False,False,"RTF|NM,UTF8|N"
gui buffer set time for each line,for,1,7,4,2,114,6,0.3402898013591766,0.4617387652397156,0.5728485584259033,0.0100090838968753,0.1170183718204498,0.5714285714285714,0.0276452172547578,0.176849752664566,0.4617387652397156,1,0,False,False,"gui|V,buffer|NM,set|NM,time|N,for|P,each|DT,line|N"
inv unit scale,scale,2,3,3,2,101,3,0.2455842345952987,0.1457783281803131,0.1281934976577758,-0.0107533875852823,0.0832930132746696,0.6666666666666666,0.1091735959053039,0.0075319968163967,0.1457783281803131,0,0,False,False,"inv|NM,unit|NM,scale|N"
rgb 2 rgb565,rgb565,2,3,4,1,53,3,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0,0,True,False,"rgb|NM,2|P,rgb|N,565|D"
network pass socks5 proxy,network,0,4,4,2,107,3,0.1706576645374298,0.1370317190885543,0.1396853625774383,0.05791537463665,0.0481435135006904,0.0,-0.0049177096225321,0.3047311902046203,0.1370317190885543,0,0,False,False,"network|V,pass|NM,socks|NPL,5|P,proxy|N"
num cols,cols,2,2,1,0,115,1,0.0496048592031002,0.0177936796098947,0.0640059784054756,0.1966765373945236,0.2654927670955658,0.5,0.1798013597726822,0.3224039077758789,0.0177936796098947,0,0,False,False,"num|NM,cols|NPL"
Risky Bond,bond,2,2,2,1,100,3,0.1753525584936142,0.1220048293471336,0.1274989545345306,0.0104934265837073,0.0162034723907709,0.5,-0.0220979861915111,0.0,0.1220048293471336,0,0,False,False,"Risky|NM,Bond|N"
merge driver name for path,driver,1,5,4,2,114,3,0.1284673511981964,0.1485505849123001,0.1137142479419708,0.0760102719068527,0.0472790487110614,0.2,0.0550468973815441,0.1269008517265319,0.1485505849123001,0,0,False,False,"merge|V,driver|NM,name|N,for|P,path|N"
st lib,st,0,2,1,1,116,3,0.1064099222421646,0.0877383798360824,0.1785232126712799,0.1136475428938865,0.4688571691513061,0.0,0.1230342462658882,0.2508301138877868,0.0877383798360824,0,0,False,False,"st|NM,lib|N"
check Not Local,not,1,3,4,1,116,5,0.4817278683185577,0.6802525520324707,0.3574259877204895,0.1419907063245773,0.0810237005352974,0.3333333333333333,0.1485456079244613,0.0112304501235485,0.6802525520324707,0,0,False,False,"check|V,Not|VM,Local|N"
last part,last,0,2,5,1,116,0,0.2088235765695572,0.3696759343147278,0.4133140444755554,-0.0072740470059216,-0.017220439389348,0.0,-0.004559498745948,-0.0588632859289646,0.3696759343147278,0,1,False,False,"last|NM,part|N"
irc batch free all,free,1,4,4,2,101,0,0.2263425141572952,0.2529293298721313,0.3283645808696747,-0.012996356934309,0.1287134885787964,0.5,-0.0159872472286224,-0.0830871164798736,0.2529293298721313,0,0,False,True,"irc|NM,batch|NM,free|NM,all|DT"
in expected RPC Type,in,0,4,5,1,110,6,0.2683225274085998,0.4491936564445495,0.6486442685127258,0.0024078781716525,0.0506594330072402,0.0,0.0282606501132249,0.0142240058630704,0.4491936564445495,1,0,False,False,"in|NM,expected|NM,RPC|NM,Type|N"
no Val,no,0,2,1,0,111,8,0.2860069274902344,0.4551134705543518,0.3090422749519348,0.0525081381201744,0.0670615881681442,0.0,0.145805150270462,0.2032171040773391,0.4551134705543518,0,1,False,False,"no|DT,Val|N"
t 3,3,2,2,3,0,51,2,0.1111004725098609,0.0947864577174186,0.2250662147998809,-0.003928274847567,0.2879056334495544,0.5,-0.0189954992383718,0.0,0.0947864577174186,0,0,True,False,"t|NM,3|D"
corr QC,qc,2,2,3,2,99,3,0.0114924721419811,-0.0900605246424675,-0.0549308434128761,0.2116297334432602,0.5167607069015503,0.5,0.2084557563066482,0.0,-0.0900605246424675,0,0,False,False,"corr|NM,QC|N"
keep when false,when,1,3,5,2,110,19,0.2782752513885498,0.688612163066864,0.519310712814331,0.1223994195461273,-0.0037756403908133,0.3333333333333333,0.0962828621268272,0.1674214452505111,0.688612163066864,0,0,False,False,"keep|NM,when|V,false|N"
V 1,v,0,2,1,1,118,3,0.1827482432126999,0.1233149692416191,0.2174437791109085,0.0692534819245338,0.4341651201248169,0.0,0.0928563699126243,-0.0198055896908044,0.1233149692416191,0,0,True,False,"V|NM,1|D"
cb service in host group each host,group,1,7,4,2,112,3,0.1591228991746902,0.1753605753183365,0.1642880141735077,0.0306320823729038,-0.0083131920546293,0.5714285714285714,0.045889064669609,0.0155204720795154,0.1753605753183365,0,0,False,False,"cb|V,service|N,in|P,host|NM,group|NM,each|DT,host|N"
Depthwise Convolution 2D,depthwise,0,3,2,0,101,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,"Depthwise|NM,Convolution|NM,2|P,D|N"
Transport Shard Refresh Action,action,2,4,2,0,110,3,0.2368718981742859,0.2148801386356353,0.1602802872657776,0.0555878840386867,0.0300509817898273,0.75,0.0055515090934932,-0.0054561849683523,0.2148801386356353,0,0,False,False,"Transport|NM,Shard|NM,Refresh|NM,Action|N"
to Be Validated,be,1,3,3,0,101,10,0.3991336822509765,0.4825316369533539,0.2959177792072296,0.0064034559763967,0.0155019294470548,0.3333333333333333,0.0506480485200881,0.0,0.4825316369533539,0,0,False,False,"to|N,Be|NM,Validated|N"
next Split,split,2,2,4,0,116,3,0.2841272950172424,0.1607617437839508,0.1747611165046692,0.0282161720097064,0.0382474958896636,0.5,0.0299157910048961,-0.0514507666230201,0.1607617437839508,0,0,False,False,"next|NM,Split|N"
CHAT COBROWSE IMAGE 24 x 24,x,1,6,1,0,120,3,0.1114363521337509,0.10167096555233,0.1574040353298187,0.1194467321038246,0.593815803527832,0.6666666666666666,0.2120887786149978,-0.0298360157757997,0.10167096555233,0,0,True,False,"CHAT|NM,COBROWSE|NM,IMAGE|NM,24|D,x|NM,24|D"
edges per node,node,2,3,5,2,101,3,0.0928815305233001,0.0848425552248954,0.1309961229562759,0.1393149197101593,0.1942645460367202,0.6666666666666666,0.1134796068072319,0.0498703494668006,0.0848425552248954,0,0,False,False,"edges|NM,per|P,node|N"
settings,settings,0,1,5,1,115,1,0.1478625535964965,0.1455702483654022,0.132052406668663,0.087902583181858,0.1229162514209747,0.0,0.1235659569501876,0.1063123792409896,0.1455702483654022,0,0,False,False,settings|NPL
look and feel Label,and,1,4,1,0,100,11,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-0.0192997697740793,0.0,0,0,False,False,"look|NM,and|CJ,feel|NM,Label|N"
