WORD,TAG,POS_SEQUENCE
token,NM,generated:NM token:NM on:P creation:N
noti,NM,noti:NM flags:NM number:N
from,P,x:N from:P
do,V,png:NM do:V strip:V channel:N
if,NM,if:NM exists:N
desktop,NM,desktop:NM size:N
field,NM,to:P field:NM list:N
last,DT,last:DT pending:NM task:NM cache:N
1,D,get:V a:N 1:D
property,NM,rule:NM property:NM ref:NM ctx:N
android,NM,of:PRE android:NM window:N
strictness,NM,strictness:NM selector:N
attribute,N,attribute:N
pressure,N,simple:NM pressure:N
not,VM,x509:PRE set1:NM not:VM before:P
mock,NM,mock:NM creation:NM validator:N
multipart,NM,on:P multipart:NM header:NM field:N
width,N,pixel:NM width:N
configure,NM,configure:NM timeouts:NPL
factor,N,discount:NM factor:N
x,P,string:N conv:V base64:N 8:D x:P 3:D to:P 6:D x:P 4:D
previous,NM,previous:NM index:N
is,V,is:V v:NM
document,N,last:DT document:N
and,CJ,compare:V inverse:NM and:CJ forward:NM dynamics:NPL
get,V,get:V look:NM and:CJ feel:NM label:N
register,V,to:P register:V
sequence,N,current:NM sequence:N
key,N,pem:NM key:N
strip,N,bli:PRE str:N r:VM strip:N
hand,N,in:P hand:N
empty,N,null:NM or:CJ empty:N
width,N,w:NM width:N
composite,NM,has:V composite:NM op:N
stream,NM,grpc:PRE chttp2:PRE mark:V stream:NM writable:N
length,N,nonce:NM length:N
value,NM,gimp:PRE value:NM set:V int32:NM array:N
bytes,NPL,on:P header:NM bytes:NPL generated:V
dialog,NM,dialog:NM elements:NPL
var,N,id:N at:P var:N
1,D,count:N 1:D
mode,N,new:NM verification:NM mode:N
tracker,N,cached:NM region:NM tracker:N
buff,NM,out:NM buff:NM posn:N
col,N,im:N 2:P col:N layer:N
name,N,alternative:NM cache:NM name:N
current,NM,tiff:NM current:NM tile:N
log,NM,crf:PRE non:NM linear:NM log:NM conditional:NM objective:NM function:N
operation,N,read:V operation:N
ack,N,to:P ack:N
read,NM,read:NM only:VM
if,CJ,if:CJ no:DT val:N
error,NM,get:V error:NM listeners:NPL
token,NM,token:NM type:NM decl:N
block,NM,block:NM nr:N
output,NM,output:NM delegate:N private:NM
8192,D,bypass:NM comparison:N 8192:D x:P 8192:D
than,P,in:P eq:NM more:DT than:P once:VM
id,N,table:NM 2:D id:N
next,DT,next:DT
space,N,read:V white:NM space:N
if,CJ,warn:V if:CJ error:N
mpeg,NM,mpeg:NM audio:NM reader:N
token,NM,token:NM store:NM typed:NM data:N
status,N,on:P status:N
as,P,as:P double:N
nulls,NPL,nulls:NPL ok:V
sort,V,to:P sort:V fn:N
caffe,NM,caffe:NM next:DT after:P
save,V,save:V mail:NM record:N
dividend,NM,dividend:NM discount:NM mother:N
orientation,NM,of:PRE orientation:NM listener:N
manager,N,image:NM manager:N
mp4,NM,mp4:NM extractor:N
png,NM,png:NM get:V rows:NPL
last,DT,last:DT persister:NM success:N
to,P,to:P delete:V
original,N,img:NM buffer:N original:N
resources,NPL,tagged:NM resources:NPL
hook,NM,user:N hook:NM 3:D
agent,NM,tcp:NM slave:NM agent:NM listener:NM lock:N
u,NM,get:V u:NM 16:D no:DT ex:N
handled,NM,handled:NM boxes:NPL
perspective,NM,m:PRE perspective:NM bias:N 1:D vertex:N
map,N,new:NM aggregate:NM builder:NM map:N
conf,N,with:P conf:N
metadata,NM,metadata:NM snapshot:N
result,N,m:PRE last:DT result:N
now,VM,str:N now:VM
inp,NM,inp:NM 0:D
wc,N,last:DT wc:N
0,D,body:N 0:D
0,D,pad:N 0:D
worker,N,m:N worker:N
xe,NM,xe:NM 2:D
2,D,command:N 2:D
find,V,find:V all:DT textures:NPL
m,PRE,m:PRE is:V indx:NM present:N
throw,V,throw:V if:CJ error:N
pdus,N,num:NM of:P after:P release:NM pdus:N
tmp,N,tmp:N vec:N
c,PRE,c:PRE archive:NM loader:NM tar:N
action,NM,checkout:V action:NM wd:N only:VM
submodule,PRE,submodule:PRE load:V each:DT
default,NM,default:NM mocking:NM details:NPL
token,N,str:NM iam:NM v2:NM token:N
last,DT,time:N from:P last:DT punch:N
crf,PRE,crf:PRE non:NM linear:NM log:NM conditional:NM objective:NM function:N
2,D,after:P 2:D
remaining,V,to:P read:NM remaining:V
android,NM,eglew:PRE android:NM frame:NM buffer:NM target:N
to,P,add:V temp:NM to:P args:NPL
crypter,NM,aead:NM crypter:NM seal:N
throwable,N,a:DT throwable:N
out,NM,out:NM of:P domain:N
indices,NPL,only:VM indices:NPL
enabled,V,delay:NM agnostic:NM enabled:V
array,N,gimp:PRE value:NM set:V int32:NM array:N
m,N,m:N what:DT
key,N,session:NM ticket:NM key:N
2,P,num:NM kernels:NPL col:N 2:P im:N
vertices,NPL,setup:V bounding:NM box:NM vertices:NPL
settings,NPL,mock:NM creation:NM settings:NPL
as,P,git:PRE diff:NM commit:N as:P email:N
supported,V,is:V sum:N supported:V
in,N,pass:NM in:N
last,DT,last:DT builder:N
timeout,NM,query:NM timeout:NM in:P ms:NPL
in,P,conv:NM in:P channels:NPL
prev,DT,prev:DT property:N
failure,NM,warning:NM failure:NM exception:N
open,NM,current:NM open:NM shards:NPL
size,N,do:V adjust:V this:DT size:N
es419,NM,replace:V es419:NM language:NM filter:N
num,NM,num:NM vec:NM per:P segment:N
table,NM,dynamic:NM table:NM index:N
sample,N,down:P sample:N
iterator,N,feature:NM iterator:N
request,N,put:V watch:NM request:N
ext,NM,this:DT service:NM ext:NM info:N
from,P,time:N from:P last:DT punch:N
uploader,NM,singularity:PRE s3:PRE uploader:NM content:NM headers:NPL
flag,N,flag:N
next,DT,get:V next:DT marker:N
refine,V,refine:V equal:N to:P first:DT
count,N,edit:NM count:N
c,PRE,c:PRE image:NM writer:N jpg:NM
on,P,on:P connect:N
2,D,p:PRE 2:D
get,V,get:V decimal:N 9:D from:P big:NM decimal:N
followup,N,followup:N
next,DT,next:DT group:N
p,N,info:N p:N
rule,NM,build:V lexer:NM rule:NM actions:NPL
setting,NM,setting:NM manager:N
self,PRE,tox:NM self:PRE set:V no:DT spam:N
offset,N,next:DT offset:N
amount,N,undiscounted:NM amount:N
plane,NM,m:PRE sky:NM plane:NM render:NM queue:N
map,N,referee:NM set:NM map:N
footnotes,NPL,footnotes:NPL position:N
diff,NM,git:PRE diff:NM commit:N as:P email:N
2,D,is:V valid:NM position:N 2:D
this,DT,this:DT service:NM ext:NM info:N
mother,N,dividend:NM discount:NM mother:N
u32,NM,u32:NM pointer:N
color,NM,ko:PRE rgb:NM u8:NM invert:NM color:NM transformation:N
all,DT,hide:V all:DT switches:NPL
dual,NM,save:V dual:NM cells:NPL
4d,N,get:V data:N 4d:N
directory,N,get:V home:NM directory:N
con,NM,dual:NM con:NM input:NM reader:N
pc,N,next:DT pc:N
refresh,NM,refresh:NM interval:NM in:P millis:NPL
end,NM,end:NM snapshot:N
post,NM,post:NM script:NM document:N
keep,V,keep:V when:VM true:NM
save,V,save:V every:DT since:CJ last:DT
cipher,NM,cipher:NM suite:N
last,DT,last:DT time:N
befores,NPL,befores:NPL
on,P,keep:V readability:NM only:VM on:P descendants:NPL
has,V,has:V in:P band:N
bus,NM,d:NM bus:NM proxy:N
string,N,show:V string:N for:P add:V
s,NM,s:NM tracking:NM system:NM name:N
row,NM,argb:PRE subtract:V row:NM c:N
is,V,is:V a:N ge:N zero:NM and:CJ a:N lt:NM b:N
reader,N,sei:NM reader:N
16,D,save:V as:P 16:D x:P 16:D
out,NM,out:NM code:N
pool,N,op:NM pool:N
instructions,NPL,pass:NM machine:NM instructions:NPL
8,D,k:N 8:D
ref,NM,token:NM property:NM ref:NM channel:N
compute,NM,inverse:V compute:NM for:P word:N of:P all:DT 1s:D
m,PRE,m:PRE gpu:NM rays:NPL
sound,NM,of:PRE android:NM sound:NM player:N
args,NPL,var:NM args:NPL
attenuation,NM,light:NM attenuation:NM value:N
eglew,PRE,eglew:PRE khr:PRE stream:NM fifo:N
token,NM,assign:V lexer:NM token:NM types:NPL
create,V,checkout:V create:V the:DT new:N
h,N,h:N pack:N
tag,NM,tag:NM all:DT
as,P,as:P writer:N
num,NM,m:PRE num:NM visual:NM shapes:NM copied:N
generation,N,has:V view:PRE relative:NM texture:NM coordinate:NM generation:N
scale,N,x:NM scale:N
pen,N,set:V frame:N pen:N
finder,N,module:NM finder:N
position,N,get:V position:N world:N on:P a:N
pointer,N,rate:NM pointer:N
switches,NPL,hide:V all:DT switches:NPL
16,D,unblock:V contact:N 16:D x:P 16:D
of,P,num:N of:P gops:NPL
in,NM,in:NM index:N
name,N,compare:V fields:NPL by:P name:N
start,N,wait:V for:P server:NM start:N
generated,V,next:DT generated:V
ref,NM,weak:NM ref:NM lost:N
diffuse,N,any:DT diffuse:N
abc,NM,abc:NM opt:N
new,N,checkout:V create:V the:DT new:N
in,N,fan:N in:N
calc,N,calc:N lut:N
cell,N,free:NM cell:N
3,D,part:N 3:D
open,N,dp:PRE if:CJ create:V and:CJ open:N
first,NM,first:NM type:NM label:N
jar,NM,jar:NM url:NM connection:N
1,D,entry:NM 1:D
group,NM,implicit:NM group:NM key:N
long,NM,on:P item:NM long:NM click:NM listener:N
value,N,last:DT value:N
boxes,NPL,group:NM boxes:NPL
delay,NM,no:DT dig:NM delay:NM timer:N
next,DT,next:DT id:N
progressive,N,progressive:N
less,DT,sorts:V less:DT
length,NM,col:NM length:NM left:N
push,V,supports:V join:V push:V down:P
tool,NM,tool:NM view:NM position:N
signal,NM,time:NM signal:NM command:N
true,NM,flag:N true:NM if:CJ should:V convert:V
supported,V,m:PRE like:NM escape:NM clause:N supported:V
buffer,NM,eglew:PRE android:NM frame:NM buffer:NM target:N
from,P,ovs:PRE db:PRE transient:NM datum:N from:P json:N
reset,NM,push:V reset:NM later:VM
move,NM,move:NM rbt:NM surgeon:N
size,N,bitmap:NM data:NM size:N
in,P,has:V upgrade:NM token:NM in:P connection:N
str,N,s3fs:PRE str:N to:P offt:N
glew,PRE,glew:PRE index:NM mask:N
insert,V,sqlite3:PRE fts3:PRE hash:NM insert:V
rule,NM,rule:NM property:NM ref:NM start:N
function,N,murmur3:PRE 128:D hash:NM function:N
spec,N,element:NM spec:N
life,NM,of:PRE android:NM life:NM cycle:NM helper:N
