TYPE,NAME,CONTEXT,LANGUAGE,FILE,LINE_NUMBER,SPLIT_IDENTIFIER,GRAMMAR_PATTERN
uint64_t,x4,ATTRIBUTE,C,cloned_repositories/facebook-repo-ds2.git/Headers/DebugServer2/Architecture/ARM64/CPUState.h,43,x 4,N D
uint64_t,x8,ATTRIBUTE,C,cloned_repositories/facebook-repo-ds2.git/Headers/DebugServer2/Architecture/ARM64/CPUState.h,43,x 8,N D
bool,is32,ATTRIBUTE,C,cloned_repositories/facebook-repo-ds2.git/Headers/DebugServer2/Architecture/X86_64/CPUState.h,580,is 32,V D
uint64_t,r14,ATTRIBUTE,C,cloned_repositories/facebook-repo-ds2.git/Headers/DebugServer2/Architecture/X86_64/CPUState.h,51,r 14,N D
uint32_t,insn0,PARAMETER,C++,cloned_repositories/facebook-repo-ds2.git/Sources/Architecture/ARM/ThumbBranchInfo.cpp,25,insn 0,N D
uint32_t,insn1,PARAMETER,C++,cloned_repositories/facebook-repo-ds2.git/Sources/Architecture/ARM/ThumbBranchInfo.cpp,25,insn 1,N D
OpenFlags,ds2Flags,PARAMETER,C++,cloned_repositories/facebook-repo-ds2.git/Sources/Host/POSIX/File.cpp,22,ds 2 Flags,N D NPL
uint32_t,__T2MOV16SetImmediate,FUNCTION,C++,cloned_repositories/facebook-repo-ds2.git/Sources/Target/Linux/ARM/ProcessARM.cpp,56,T 2 MOV 16 Set Immediate,N D N D V NM
void,T1PrepareMunmapCode,FUNCTION,C++,cloned_repositories/facebook-repo-ds2.git/Sources/Target/Linux/ARM/ProcessARM.cpp,181,T 1 Prepare Mun map Code,N D V NM NM N
void,GenerateProlog1,FUNCTION,C++,cloned_repositories/facebook-repo-ds2.git/Tools/RegsGen2/main.cpp,449,Generate Prolog 1,V N D
bool,is_valid_position2,DECLARATION,C++,cloned_repositories/freeminer.git/src/client/localplayer.cpp,282,is valid position 2,V NM N D
bool,vertex_0_2_connected,ATTRIBUTE,C++,cloned_repositories/freeminer.git/src/client/mapblock_mesh.cpp,535,vertex 0 2 connected,N D D V
CachedVertexShaderSetting,m_perspective_bias1_vertex,ATTRIBUTE,C++,cloned_repositories/freeminer.git/src/client/shader.cpp,231,m perspective bias 1 vertex,PRE NM NM D N
float,mid1,DECLARATION,C++,cloned_repositories/freeminer.git/src/client/sky.cpp,309,mid 1,N D
double,m31,ATTRIBUTE,C++,cloned_repositories/freeminer.git/src/mandelbulber/algebra.hpp,137,m 31,N D 
double,m23,ATTRIBUTE,C++,cloned_repositories/freeminer.git/src/mandelbulber/algebra.hpp,136,m 23,N D
double,m13,ATTRIBUTE,C++,cloned_repositories/freeminer.git/src/mandelbulber/algebra.hpp,133,m 13,N D
double,m11,ATTRIBUTE,C++,cloned_repositories/freeminer.git/src/mandelbulber/algebra.hpp,131,m 11,N D
double,m21,ATTRIBUTE,C++,cloned_repositories/freeminer.git/src/mandelbulber/algebra.hpp,134,m 21,N D
double,m33,ATTRIBUTE,C++,cloned_repositories/freeminer.git/src/mandelbulber/algebra.hpp,139,m 33,N D
double,m22,ATTRIBUTE,C++,cloned_repositories/freeminer.git/src/mandelbulber/algebra.hpp,135,m 22,N D
class,CVector3,CLASS,C++,cloned_repositories/freeminer.git/src/mandelbulber/algebra.hpp,119,C Vector 3,PRE N D
class,CMatrix33,CLASS,C++,cloned_repositories/freeminer.git/src/mandelbulber/algebra.hpp,139,C Matrix 33,PRE N D
double,z2X_mag,DECLARATION,C++,cloned_repositories/freeminer.git/src/mandelbulber/fractal.cpp,716,z 2 X mag,N P N N
float,noise2,PARAMETER,C++,cloned_repositories/freeminer.git/src/mapgen/mapgen_carpathian.cpp,239,noise 2,N D
MapNode,n3,DECLARATION,C++,cloned_repositories/freeminer.git/src/mapgen/mapgen_v6.cpp,868,n 3,N D
v2s16,p2d,PARAMETER,C++,cloned_repositories/freeminer.git/src/mapgen/mapgen.cpp,328,p 2 d,N D N
ContentParamType2,cpt2,DECLARATION,C++,cloned_repositories/freeminer.git/src/mapnode.cpp,200,cpt 2,N D
sockaddr_in6,sin6,DECLARATION,C++,cloned_repositories/freeminer.git/src/network/fm_connection_sctp.cpp,446,s in 6,NM N D
float,v00,PARAMETER,C++,cloned_repositories/freeminer.git/src/noise.cpp,191,v 00,N D
float,v110,PARAMETER,C++,cloned_repositories/freeminer.git/src/noise.cpp,208,v 110,N D
int,oldParam2,ATTRIBUTE,C++,cloned_repositories/freeminer.git/src/rollback.cpp,78,old Param 2,NM N D
int,newParam2,ATTRIBUTE,C++,cloned_repositories/freeminer.git/src/rollback.cpp,81,new Param 2,NM N D
int,newParam1,ATTRIBUTE,C++,cloned_repositories/freeminer.git/src/rollback.cpp,81,new Param 1,NM N D
bool,getU16NoEx,FUNCTION,C++,cloned_repositories/freeminer.git/src/settings.cpp,783,get U 16 No Ex,V N D DT N
re_node_set,src2,PARAMETER,C,cloned_repositories/git2r.git/src/libgit2/deps/regex/regex_internal.c,1065,src 2,N D
int,count1,PARAMETER,C,cloned_repositories/git2r.git/src/libgit2/src/libgit2/xdiff/xhistogram.c,157,count 1,N D
xdfenv_t,xe2,PARAMETER,C,cloned_repositories/git2r.git/src/libgit2/src/libgit2/xdiff/xmerge.c,334,xe 2,N D
xdfile_t,xdf2,PARAMETER,C,cloned_repositories/git2r.git/src/libgit2/src/libgit2/xdiff/xprepare.c,443,xdf 2,N D
char,isdir2,PARAMETER,C,cloned_repositories/git2r.git/src/libgit2/src/util/fs_path.c,869,is dir 2,V N D
K,k6,PARAMETER,Java,cloned_repositories/guava.git/android/guava/src/com/google/common/collect/ImmutableMap.java,264,k 6,N D
K,k8,PARAMETER,Java,cloned_repositories/guava.git/android/guava/src/com/google/common/collect/ImmutableMap.java,197,k 8,N D
E,e3,PARAMETER,Java,cloned_repositories/guava.git/android/guava/src/com/google/common/collect/ImmutableMultiset.java,118,e 3,N D
K,k7,PARAMETER,Java,cloned_repositories/guava.git/android/guava/src/com/google/common/collect/ImmutableSortedMap.java,183,k 7,N D
int,INVERSE_COMPUTE_FOR_WORD_OF_ALL_1S,ATTRIBUTE,Java,cloned_repositories/guava.git/android/guava/src/com/google/common/hash/Crc32cHashFunction.java,355,INVERSE COMPUTE FOR WORD OF ALL 1S,V N P N P DT NPL
class,Murmur3_128HashFunction,CLASS,Java,cloned_repositories/guava.git/android/guava/src/com/google/common/hash/Murmur3_128HashFunction.java,211,Murmur3 128 Hash Function,PRE D NM N
byte,b3,PARAMETER,Java,cloned_repositories/guava.git/android/guava/src/com/google/common/primitives/Longs.java,317,b 3,N D
V,v5,PARAMETER,Java,cloned_repositories/guava.git/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/ImmutableBiMap.java,91,v 5,N D
E,e8,PARAMETER,Java,cloned_repositories/guava.git/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/ImmutableList.java,87,e 8,N D
Object,entry1,PARAMETER,Java,cloned_repositories/guava.git/guava/src/com/google/common/collect/ImmutableMap.java,370,entry 1,N D
long,part3,DECLARATION,Java,cloned_repositories/guava.git/guava/src/com/google/common/hash/FarmHashFingerprint64.java,105,part 3,N D
Class,declaredType1,PARAMETER,Java,cloned_repositories/guava.git/guava/src/com/google/common/io/Closer.java,195,declared Type 1,NM N D
MediaType,RTF_UTF_8,ATTRIBUTE,Java,cloned_repositories/guava.git/guava/src/com/google/common/net/MediaType.java,642,RTF UTF8,N N
T3,t3,DECLARATION,Java,cloned_repositories/immutables.git/criteria/common/src/org/immutables/criteria/repository/Mappers.java,64,t 3,N D
double,l1_regularizer,ATTRIBUTE,C,cloned_repositories/meta.git/include/meta/learn/sgd.h,57,l1 regularizer,NM N
void,l2norm_transform,FUNCTION,C,cloned_repositories/meta.git/include/meta/learn/transform.h,156,l2 norm transform,NM NM V
size_t,startR1,DECLARATION,C++,cloned_repositories/meta.git/src/analyzers/filters/porter2_stemmer.cpp,459,start R 1,NM N D
double,f1_score,FUNCTION,C++,cloned_repositories/meta.git/src/classify/confusion_matrix.cpp,52,f1 score,NM N
size_t,get_start_r1,FUNCTION,C++,cloned_repositories/meta.git/src/analyzers/filters/porter2_stemmer.cpp,67,get start r 1,V NM N D
auto,after2,DECLARATION,C++,cloned_repositories/meta.git/src/analyzers/filters/ptb_normalizer.cpp,164,after 2,P D
auto,s1,DECLARATION,C++,cloned_repositories/meta.git/src/parser/state_analyzer.cpp,75,s 1,N D
node_info,q0h,DECLARATION,C++,cloned_repositories/meta.git/src/parser/state_analyzer.cpp,144,q 0 h,N D N
string,name1,PARAMETER,C++,cloned_repositories/meta.git/src/parser/state_analyzer.cpp,106,name 1,N D
String,SHA_256_ALGORITHM,ATTRIBUTE,Java,cloned_repositories/metrics.git/metrics-collectd/src/main/java/com/codahale/metrics/collectd/PacketWriter.java,54,SHA256 ALGORITHM,NM N
bool,playingCh2,ATTRIBUTE,C,cloned_repositories/mgba.git/include/mgba/internal/gb/audio.h,190,playing Ch 2,V N D
uint8_t,rtcFreePage1,ATTRIBUTE,C,cloned_repositories/mgba.git/include/mgba/internal/gb/mbc.h,57,rtc Free Page 1,PRE V N D
int,target1,ATTRIBUTE,C,cloned_repositories/mgba.git/include/mgba/internal/gba/renderers/gl.h,56,target 1,N D
void,mPSP2LoadROM,FUNCTION,C,cloned_repositories/mgba.git/src/platform/psp2/psp2-context.c,376,m PSP 2 Load ROM,PRE N D V N
bool,_SM83TickInternal,FUNCTION,C,cloned_repositories/mgba.git/src/sm83/sm83.c,151,SM83 Tick Internal,PRE N NM
void,_SM83InstructionIRQStall,FUNCTION,C,cloned_repositories/mgba.git/src/sm83/sm83.c,78,SM83 Instruction IRQ Stall,PRE PRE NM N
int32_t,inp0,DECLARATION,C,cloned_repositories/mgba.git/src/third-party/libpng/mips/filter_msa_intrinsics.c,505,inp 0,N D
int,convert_to_8bit,PARAMETER,C,cloned_repositories/mgba.git/src/third-party/libpng/pngwrite.c,2213,convert to 8 bit,V P D N
UInt32,Bt3Zip_MatchFinder_GetMatches,FUNCTION,C,cloned_repositories/mgba.git/src/third-party/lzma/LzFind.c,617,Bt3Zip Match Finder Get Matches,NM NM N V NPL
UInt32,price2,DECLARATION,C,cloned_repositories/mgba.git/src/third-party/lzma/LzmaEnc.c,1642,price 2,N D
int,sqlite3WhereTrace,DECLARATION,C,cloned_repositories/mgba.git/src/third-party/sqlite3/sqlite3.c,124990,sqlite3 Where Trace,PRE NM N
void,sqlite3ExprIfTrue,FUNCTION,C,cloned_repositories/mgba.git/src/third-party/sqlite3/sqlite3.c,94538,sqlite3 Expr If True,PRE N CJ NM
Token,pName2,PARAMETER,C,cloned_repositories/mgba.git/src/third-party/sqlite3/sqlite3.c,99760,p Name 2,PRE N D
uLong,adler1,DECLARATION,C,cloned_repositories/mgba.git/src/third-party/zlib/adler32.c,144,adler 1,N D
char,buf3,DECLARATION,C,cloned_repositories/naemon-core.git/lib/snprintf.c,1270,buf 3,N D
void,_host1,PARAMETER,C,cloned_repositories/naemon-core.git/src/naemon/objects_host.c,42,host 1,N D
int,p2,DECLARATION,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/admin/AdminConsole.java,503,p 2,N D
class,OF1515,CLASS,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/database/bugfix/OF1515.java,396,OF 1515,N D
int,i1,PARAMETER,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/database/ProfiledConnection.java,652,i 1,N D
String,SET_GROUP_NAME_1,ATTRIBUTE,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/group/DefaultGroupProvider.java,48,SET GROUP NAME 1,V NM N D
LdapContext,ctx2,DECLARATION,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/ldap/LdapManager.java,2096,ctx 2,N D
MultiUserChatService,o2,PARAMETER,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/muc/MultiUserChatManager.java,973,o 2,N D
int,m_sbox4,ATTRIBUTE,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/util/Blowfish.java,223,m sbox 4,PRE N D
int,sbox4,DECLARATION,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/util/Blowfish.java,412,sbox 4,N D
Control,arg1,PARAMETER,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/util/JiveInitialLdapContext.java,37,arg 1,N D
boolean,isBase32,FUNCTION,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/util/StringUtils.java,448,is Base32,V N
uint8_t,pad2,ATTRIBUTE,C,cloned_repositories/ovs.git/include/openflow/openflow-1.0.h,359,pad 2,N D
flow_wildcards,src1,PARAMETER,C,cloned_repositories/ovs.git/include/openvswitch/flow.h,224,src 1,N D
u_int8_t,ip6h_nxt,ATTRIBUTE,C,cloned_repositories/ovs.git/include/windows/netinet/ip6.h,116,ip6 h nxt,PRE N NM
uint8_t,be32ofs,PARAMETER,C,cloned_repositories/ovs.git/lib/classifier.c,159,be32 ofs,NM N
uint16_t,l4_ofs,ATTRIBUTE,C,cloned_repositories/ovs.git/lib/dp-packet.h,139,l 4 ofs,N D N
uint32_t,u1_bit_count,PARAMETER,C,cloned_repositories/ovs.git/lib/dpif-netdev-lookup.h,31,u 1 bit count,N D NM N
int,max_v4_frag_list_size,ATTRIBUTE,C,cloned_repositories/ovs.git/lib/ipf.c,143,max v 4 frag list size,NM N D NM NM N
uint32_t,dot3adAggPortAttachedAggID,ATTRIBUTE,C,cloned_repositories/ovs.git/lib/lacp.h,79,dot3 ad Agg Port Attached Agg ID,PRE PRE PRE PRE NM NM N
uint32_t,wc10,DECLARATION,C,cloned_repositories/ovs.git/lib/ofp-table.c,1915,wc 10,N D
int,ovsdb_datum_compare_3way,FUNCTION,C,cloned_repositories/ovs.git/lib/ovsdb-data.c,1839,ovsdb datum compare 3way,PRE N V VM
in6_addr,gw6,PARAMETER,C,cloned_repositories/ovs.git/lib/route-table.c,339,gw 6,N D
long,pad0_,ATTRIBUTE,C++,cloned_repositories/panda3d.git/dtool/src/dtoolbase/ptmalloc2_smp_src.cxx,2811,pad 0,N D
__int64,exit64,DECLARATION,C++,cloned_repositories/panda3d.git/dtool/src/dtoolbase/ptmalloc2_smp_src.cxx,8043,exit 64,N D
void,conv_rgba4444,FUNCTION,C++,cloned_repositories/panda3d.git/panda/src/android/pnmFileTypeAndroidReader.cxx,52,conv rgba4444,V N
void,body0,PARAMETER,C,cloned_repositories/panda3d.git/panda/src/bullet/bulletContactCallbacks.h,103,body 0,N D
btCollisionObject,obj0,DECLARATION,C++,cloned_repositories/panda3d.git/panda/src/bullet/bulletWorld.cxx,997,obj 0,N D
PN_stdfloat,t1_y,DECLARATION,C++,cloned_repositories/panda3d.git/panda/src/collide/collisionCapsule.cxx,900,t 1 y,N D N
