SPLIT_IDENTIFIER,WORD,NORMALIZED_POSITION,MAXPOSITION,CONTEXT_NUMBER,POSITION,LANGUAGE,LAST_LETTER,NLTK_POS,VERB_SCORE,DET_SCORE,PREP_SCORE,CONJ_SCORE,PREPOSITION,DETERMINER,ENGLISHV_SCORE,CONTAINSLISTVERB,ENGLISHN_SCORE,METHODN_SCORE,METHODV_SCORE,CODEPRE_SCORE,METHODPRE_SCORE,ENGLISHPRE_SCORE,CONTAINSDIGIT,CONTAINSCLOSEDSET,SECOND_LAST_LETTER,FLAIR_POS
arg 31,31,2,2,5,1,3,49,1,0.1541083455085754,0.2606696188449859,0.309124082326889,0.2606696188449859,0,0,0.0126983597874641,0,0.0370020791888237,0.0,0.0,-0.0951261594891548,0.0,0.2398382425308227,True,False,51,NN CD
Bypass Comparison 8192 x 8192,8192,1,5,2,2,3,50,1,0.0297115240246057,0.0316096730530262,0.0920659899711608,0.0316096730530262,0,0,-0.004245996940881,0,-0.0157439224421978,0.0,0.0,0.0522024184465408,0.0,0.3263609409332275,True,False,57,NN NN CD SYM CD
Abstract Build Execution,build,1,3,2,1,3,100,8,0.7292234301567078,0.5043813586235046,0.5717738270759583,0.5043813586235046,0,0,0.3080972135066986,1,0.2490963339805603,-0.1052118837833404,-0.1143644601106643,0.1313945651054382,-0.0854347050189971,-0.0452388748526573,False,False,108,JJ NN NN
b float 16 To Double,16,1,5,4,2,3,54,1,0.1971367448568344,0.2756118476390838,0.3518460988998413,0.2756118476390838,0,0,0.0506849251687526,0,0.0797834023833274,0.0,0.0,0.2323010861873626,0.0,0.1688707172870636,True,False,49,NFP NN CD IN JJ
to Be Validated,to,0,3,3,0,3,111,13,0.7179856896400452,0.608247697353363,0.7304670810699463,0.608247697353363,1,0,0.2719946205615997,0,0.1864666491746902,0.0445503666996955,0.0361546128988266,0.2124986797571182,0.0713766515254974,-0.0714837536215782,False,False,116,TO VB JJ
end of record,of,1,3,4,1,0,102,3,0.5373708605766296,0.5476558208465576,0.7043977379798889,0.5476558208465576,1,0,0.1924609988927841,0,0.1973623782396316,0.0934278964996337,0.0652143135666847,0.3582210540771484,0.0675896555185318,-0.0539613701403141,False,False,111,NN IN NN
to Index,index,2,2,3,1,3,120,8,0.4711067974567413,0.3356606364250183,0.3905889093875885,0.3356606364250183,0,0,0.2341277748346328,0,0.2508496046066284,-0.1424120664596557,-0.0878286063671112,0.2812088429927826,0.1542724370956421,-0.0243396461009979,False,False,101,IN NNP
ex 1,ex,0,2,5,0,3,120,8,0.2040391862392425,0.1968979984521865,0.2254143059253692,0.1968979984521865,0,0,0.2577356994152069,0,0.258141279220581,0.2561109662055969,0.257194459438324,0.250282883644104,0.2007053047418594,0.2407789826393127,True,False,101,UH CD
deep Stub,stub,2,2,4,1,3,98,8,0.4412422180175781,0.3658971786499023,0.3875550925731659,0.3658971786499023,0,0,0.3263895213603973,0,0.3456031382083893,0.479699969291687,0.3559866547584533,0.1553438156843185,0.1312968581914901,-0.0141501612961292,False,False,117,JJ NNP
is Stdlib Module,module,2,3,4,2,0,101,8,0.4358979761600494,0.3681135475635528,0.39333376288414,0.3681135475635528,0,0,0.2706615626811981,0,0.2280183136463165,0.0878667011857032,0.0575889274477958,0.1632144451141357,0.1392346024513244,-0.0361971668899059,False,False,108,VBZ NNP NNP
File 2 Page App,file,0,4,2,0,2,101,8,0.5755000114440918,0.4520679116249084,0.4748342633247375,0.4520679116249084,0,0,0.3182840645313263,1,0.3086840808391571,0.0516166798770427,0.0872952342033386,0.3227256238460541,0.0816152170300483,-0.0586663074791431,True,False,108,NN CD NN NN
save Every Since Last,save,0,4,1,0,3,101,14,0.7278992533683777,0.5722445249557495,0.6287311911582947,0.5722445249557495,1,0,0.2364484965801239,1,0.1676362305879593,-0.1628084182739257,-0.2205243110656738,-0.1155768781900405,-0.0461923293769359,-0.0672991871833801,False,False,118,VB DT IN JJ
lhs Component,component,2,2,3,1,2,116,8,0.5404968857765198,0.4834075272083282,0.4905994534492492,0.4834075272083282,0,0,0.3852555751800537,0,0.3990448415279388,0.0512008965015411,0.0321325287222862,0.0579602047801017,0.1305631548166275,-0.0759891346096992,False,False,110,UH NN
get Display Path,get,0,3,4,0,3,116,14,0.7559405565261841,0.6322706937789917,0.6168792843818665,0.6322706937789917,0,0,0.2979028224945068,1,0.1933573484420776,-0.218091607093811,-0.2550778687000274,0.3064255714416504,0.06276735663414,0.0359650067985057,False,False,101,VB NNP NNP
next Row Key Batch,key,1,4,4,2,3,121,8,0.554869532585144,0.5125581622123718,0.5440004467964172,0.5125581622123718,0,0,0.2973875701427459,0,0.2578608095645904,-0.0717063769698143,-0.0854190066456794,0.2539469599723816,0.0477444343268871,-0.111134648323059,False,False,101,JJ NNP NNP NNP
st arg 2,arg,1,3,5,1,0,103,8,0.2744036316871643,0.2405869215726852,0.2445684969425201,0.2405869215726852,0,0,0.3247917294502258,0,0.2404496818780899,0.0091831879690289,0.0698397383093833,0.398053228855133,0.1879400014877319,0.3309954404830932,True,False,114,IN NN CD
rtc Free Page 1,1,2,4,1,3,0,49,1,-0.1175634488463401,-0.0854693725705146,-0.0718195587396621,-0.0854693725705146,0,0,0.01401346642524,0,0.0179021935909986,0.0,0.0,0.2179060727357864,0.0,0.7723382711410522,True,False,49,NN NNP NNP CD
as Diamond,diamond,2,2,3,1,3,100,8,0.4302539527416229,0.3458396792411804,0.403373509645462,0.3458396792411804,0,0,0.2518520355224609,0,0.2347635477781295,0.0,0.0,-0.2168366312980651,0.0,-0.002498889574781,False,False,110,IN NNP
out d G,d,1,3,3,1,0,100,8,-0.0755955204367637,-0.0459692552685737,-0.1075668856501579,-0.0459692552685737,0,0,-0.0200478564947843,0,0.0129847694188356,-0.2221132814884185,-0.1282731294631958,0.4668594598770141,0.3963105678558349,0.8798684477806091,False,False,100,RB IN NN
Cache Strategy,cache,0,2,2,0,3,101,8,0.4104308485984802,0.2976074814796448,0.3196583688259125,0.2976074814796448,0,0,0.2686054408550262,0,0.2339536696672439,0.0726286992430687,0.0399841926991939,0.0923806279897689,0.1363957375288009,-0.0380035936832428,False,False,104,NNP NNP
b Is Playing,is,1,3,1,1,3,115,19,0.5515532493591309,0.6698867082595825,0.558940052986145,0.6698867082595825,0,0,0.3175287246704101,0,0.2722526490688324,0.075314812362194,0.0595334731042385,0.3263940513134002,0.0803847685456276,-0.0138238789513707,False,False,105,NFP VBZ VBG
get Raw Arguments,raw,1,3,4,1,2,119,8,0.4901902079582214,0.3950762152671814,0.4800367057323456,0.3950762152671814,0,0,0.2736541032791137,0,0.2568805813789367,0.0509679093956947,0.0893672108650207,0.1939954906702041,0.1678918153047561,0.0155429281294345,False,False,97,VB JJ NNS
has Upgrade Token in Connection,in,1,5,3,3,2,110,3,0.5783349275588989,0.6252052187919617,0.8061505556106567,0.6252052187919617,1,0,0.2223414927721023,1,0.1933256983757019,-0.0251032821834087,0.0142240058630704,0.2571867406368255,0.1382534205913543,-0.084299586713314,False,False,105,VBZ VB NN IN NN
equals Builder,builder,2,2,3,1,3,114,8,0.4966402053833008,0.4225420951843261,0.4379441440105438,0.4225420951843261,0,0,0.3001532554626465,0,0.281377762556076,-0.075270190834999,-0.0876399353146553,0.3395601511001587,0.065343752503395,-0.0652573704719543,False,False,101,VBZ NN
Destroy Usr 1 Handler,handler,2,4,4,3,2,114,8,0.4785613715648651,0.3858554363250732,0.4134568572044372,0.3858554363250732,0,0,0.3554484844207763,0,0.2693651616573334,0.1095547452569007,0.1545241475105285,0.2261433005332946,0.0261668320745229,-0.038298450410366,True,False,101,VB NNP CD NNP
Address Lowering,address,0,2,2,0,2,115,8,0.6534767746925354,0.5304962992668152,0.5527795553207397,0.5304962992668152,0,0,0.258646011352539,1,0.2532916963100433,0.1405540704727172,0.079309657216072,0.2098352015018463,0.1795697212219238,-0.0977119281888008,False,False,115,NN VBG
sort Field Data Type,field,1,4,1,1,3,100,8,0.5560444593429565,0.4772110879421234,0.5820757746696472,0.4772110879421234,0,0,0.2566715776920318,0,0.2424266189336776,-0.0463961362838745,0.0218671597540378,0.2317349314689636,0.0861725062131881,-0.0860165655612945,False,False,108,NN NN NNS NN
dn 1 x 2,2,2,4,3,3,0,50,1,-0.1000680476427078,-0.065717838704586,-0.0502451173961162,-0.065717838704586,0,0,0.0298111774027347,0,0.01115183532238,0.0,0.0,0.2682086825370788,0.0,0.7800083756446838,True,False,50,IN CD SYM CD
index Tensor,index,0,2,5,0,2,120,8,0.4711067974567413,0.3356606364250183,0.3905889093875885,0.3356606364250183,0,0,0.2341277748346328,0,0.2508496046066284,-0.1424120664596557,-0.0878286063671112,0.2812088429927826,0.1542724370956421,-0.0243396461009979,False,False,101,NN NNP
dof reg handoff dpp 0,0,2,5,4,4,0,48,1,-0.0763347148895263,-0.0282473471015691,-0.0393795855343341,-0.0282473471015691,0,0,0.0068525075912475,0,0.0023824281524866,0.0,0.0,0.1456562429666519,0.0,0.8016144037246704,True,False,48,NN JJ NN NN CD
on Group Call Key Sent,call,1,5,4,2,3,108,8,0.6931539177894592,0.5531554818153381,0.5531428456306458,0.5531554818153381,0,0,0.3285731077194214,1,0.2738266289234161,-0.224574863910675,-0.2054029107093811,0.1548264920711517,9.69455431913957e-05,-0.0540789104998111,False,False,108,IN NNP NNP NNP NNP
join Mj Id 2 Scan Mj Id,mj,1,7,3,5,3,106,8,-0.0850005745887756,-0.0357374027371406,-0.0586150847375392,-0.0357374027371406,0,0,0.0121049266308546,0,0.0167470891028642,0.0,0.0,-0.1332119703292846,0.0,0.7338425517082214,True,False,109,VB NNP NNP CD NN NNP NNP
last time,last,0,2,1,0,2,116,4,0.6068373322486877,0.626768171787262,0.6532617807388306,0.626768171787262,0,1,0.285684585571289,1,0.2330861687660217,-0.1191553175449371,-0.0588632859289646,0.1275923997163772,0.0313687659800052,-0.1062425374984741,False,False,115,JJ NN
find all textures,find,0,3,4,0,2,100,14,0.7460048794746399,0.654677152633667,0.5803598761558533,0.654677152633667,0,0,0.2657793760299682,1,0.2088865637779235,-0.1737171411514282,-0.1158907264471054,0.1223588064312934,0.008245026692748,0.0039800093509256,False,False,110,VB DT NNS
Dialog Elements,dialog,0,2,2,0,0,103,8,0.5068432688713074,0.3855257034301758,0.4462765753269195,0.3855257034301758,0,0,0.2970647513866424,0,0.2271158844232559,0.145801156759262,0.1621254980564117,0.1114449203014373,0.0625224485993385,-0.0724974423646926,False,False,111,NNP NNPS
xodtemplate expand host groups and hosts,host,1,6,4,2,0,116,8,0.569162130355835,0.4581477642059326,0.5236538052558899,0.4581477642059326,0,0,0.2763364315032959,0,0.2468457669019699,0.0738449394702911,0.1176685839891433,0.1601316332817077,0.0574178881943225,-0.1682509630918502,False,False,115,NN VBP NN NNS CC NNS
in how,how,2,2,1,1,0,119,22,0.5293739438056946,0.6763149499893188,0.4983330965042114,0.6763149499893188,0,0,0.2676417231559753,0,0.212645798921585,0.0,0.0,-0.0434033535420894,0.0,-0.0259139202535152,False,True,111,IN WRB
look at,look,0,2,1,0,2,107,8,0.6863135099411011,0.5941596031188965,0.5771570205688477,0.5941596031188965,0,0,0.2512042224407196,1,0.1671592891216278,0.3303962349891662,0.2281928360462188,0.0448412746191024,0.0429536215960979,-0.0415953956544399,False,True,111,VB IN
Basic Replication Request,replication,1,3,2,1,3,110,8,0.4380654990673065,0.3445445895195007,0.3717065155506134,0.3445445895195007,0,0,0.2097426801919937,0,0.1633722633123397,0.0,0.0,-0.0142649365589022,0.0,-0.0580481886863708,False,False,111,JJ NN NN
f out,out,2,2,1,1,2,116,3,0.6975054740905762,0.6078883409500122,0.7912291288375854,0.6078883409500122,1,0,0.1961618512868881,0,0.1434048414230346,-0.027019090950489,0.0431004576385021,0.3362131118774414,0.2010218501091003,-0.0570830106735229,False,True,117,XX RB
old Param 2,old,0,3,1,0,2,100,4,0.5231786966323853,0.513322114944458,0.5883328914642334,0.513322114944458,0,0,0.2528055012226105,0,0.2313003987073898,0.0,0.0,0.2196403294801712,0.0,-0.0768919289112091,True,False,108,JJ NNP CD
sentence List,sentence,0,2,3,0,3,101,8,0.5246111154556274,0.4970003664493561,0.4857113659381866,0.4970003664493561,0,0,0.5196869969367981,1,0.4570650458335876,0.5628275871276855,0.3385664224624634,0.2081884145736694,0.1844323873519897,-0.0544236749410629,False,False,99,NN NN
after Processing,processing,2,2,1,1,3,103,8,0.4797207415103912,0.4304787218570709,0.4985064566135406,0.4304787218570709,0,0,0.3028797209262848,0,0.2310810536146164,0.1136955916881561,0.1491108536720276,-0.0236277859658002,0.034556970000267,-0.0731786787509918,False,False,110,IN NN
anchor Name,name,2,2,3,1,2,101,8,0.5559632182121277,0.4896434247493744,0.5106737613677979,0.4896434247493744,0,0,0.3835809528827667,1,0.4334036707878113,0.0510286577045917,0.0233661886304616,0.2435706257820129,0.0650226175785064,-0.0016000749310478,False,False,109,NN NNP
prefix x 1,prefix,0,3,1,0,0,120,8,0.4277912676334381,0.3426042199134826,0.382632702589035,0.3426042199134826,0,0,0.4191808402538299,0,0.5067018866539001,0.1162729188799858,0.0591170787811279,0.1942850649356842,0.0616440400481224,0.0450293570756912,True,False,105,NN SYM CD
out audio samples,out,0,3,3,0,0,116,3,0.6975054740905762,0.6078883409500122,0.7912291288375854,0.6078883409500122,1,0,0.1961618512868881,0,0.1434048414230346,-0.027019090950489,0.0431004576385021,0.3362131118774414,0.2010218501091003,-0.0570830106735229,False,False,117,RB JJ NNS
utf8 only,utf8,0,2,1,0,0,56,8,0.0226094704121351,-0.0224358737468719,-0.0282651055604219,-0.0224358737468719,0,0,0.1382944881916046,0,0.0853135287761688,0.0,0.0,0.0,0.0,0.4311563670635223,False,True,102,CD RB
g curand availability logged,g,0,4,3,0,2,103,8,-0.0953462347388267,-0.0619853511452674,-0.0941430330276489,-0.0619853511452674,0,0,0.0029728249646723,0,0.0448697954416275,-0.0447818152606487,-0.010435689240694,0.5368987321853638,0.5176545977592468,0.9030640125274658,False,False,103,LS NN NN VBN
of To Binary,binary,2,3,4,2,2,121,8,0.4329002201557159,0.3457759618759155,0.3884740471839905,0.3457759618759155,0,0,0.3658151924610138,0,0.3634102344512939,0.3061364591121673,0.2368730902671814,-0.0134817194193601,0.1427761167287826,0.0517475306987762,False,False,114,IN NNP NNP
include all fetch heads,heads,2,4,3,3,0,115,9,0.5076645612716675,0.4075012803077698,0.5077528953552246,0.4075012803077698,0,0,0.1750767081975937,0,0.1830372065305709,0.4574066400527954,0.3039022088050842,-0.0379730463027954,0.0533367916941642,-0.0846214294433593,False,False,100,VB DT NN NNS
as field,field,2,2,4,1,2,100,8,0.5560444593429565,0.4772110879421234,0.5820757746696472,0.4772110879421234,0,0,0.2566715776920318,0,0.2424266189336776,-0.0463961362838745,0.0218671597540378,0.2317349314689636,0.0861725062131881,-0.0860165655612945,False,False,108,IN NN
next object list,list,2,3,3,2,0,116,8,0.5932698249816895,0.5219033360481262,0.5424788594245911,0.5219033360481262,0,0,0.3291007876396179,1,0.3089316785335541,-0.0631524473428726,-0.0729338526725769,0.3574405610561371,0.0470555201172828,-0.0826867297291755,False,False,115,JJ NN NN
get a 1,get,0,3,4,0,2,116,14,0.7559405565261841,0.6322706937789917,0.6168792843818665,0.6322706937789917,0,0,0.2979028224945068,1,0.1933573484420776,-0.218091607093811,-0.2550778687000274,0.3064255714416504,0.06276735663414,0.0359650067985057,True,False,101,VB DT CD
on Query Current Thread,thread,2,4,4,3,2,100,8,0.5057125091552734,0.4672988355159759,0.4961651265621185,0.4672988355159759,0,0,0.3177383244037628,0,0.2410793602466583,0.1339343637228012,0.1670351326465606,0.2422118186950683,0.1303253769874572,-0.0768311917781829,False,False,97,IN NNP NNP NNP
next group,next,0,2,1,0,0,116,4,0.5643186569213867,0.5692675709724426,0.6541454792022705,0.5692675709724426,0,1,0.2708970606327057,0,0.1912891119718551,-0.2188187539577484,-0.192200094461441,0.1583672612905502,-0.0067186928354203,-0.0860680043697357,False,False,120,JJ NN
has on activate,activate,2,3,1,2,0,101,8,0.6709904670715332,0.4634726345539093,0.4888104200363159,0.4634726345539093,0,0,0.3485600352287292,1,0.2440368682146072,-0.0847817584872245,-0.08826944231987,-0.0795009806752204,-0.0250032432377338,0.0006014577229507,False,False,116,VBZ IN NN
compiling Contexts,contexts,2,2,3,1,0,115,8,0.448226660490036,0.4757241010665893,0.4619639217853546,0.4757241010665893,0,0,0.3634098470211029,0,0.3261189758777618,0.3373026251792907,0.2535969614982605,0.0268017277121543,0.0788288414478302,-0.0116202039644122,False,False,116,VBG NNS
nd Formula,nd,0,2,3,0,2,100,8,0.1642887145280838,0.1908845007419586,0.1301777511835098,0.1908845007419586,0,0,0.1777451783418655,0,0.1605831980705261,0.6206188201904297,0.4338961541652679,0.1960828006267547,0.079475037753582,0.5740126967430115,False,False,110,`` NNP
Output Delegate Private,output,0,3,2,0,2,116,8,0.5256013870239258,0.4237679839134216,0.4800804853439331,0.4237679839134216,0,0,0.2370127290487289,0,0.1953410655260086,-0.0147279594093561,0.0587840303778648,0.1844605058431625,0.1758947074413299,-0.0588388070464134,False,False,117,NN NN JJ
on Metric Removed,on,0,3,4,0,3,110,3,0.587739109992981,0.5962710976600647,0.79868084192276,0.5962710976600647,1,0,0.2116777896881103,0,0.1800267994403839,0.0191631689667701,-0.0151157872751355,0.082721009850502,0.0831625834107399,-0.11019117385149,False,False,111,IN NNP VBN
Ko Rgb U8 Invert Color Transformation,ko,0,6,2,0,2,111,8,0.0915214568376541,0.0421988666057586,0.0443632341921329,0.0421988666057586,0,0,0.2053217440843582,0,0.1499401628971099,0.0,0.0,0.1007633581757545,0.0,0.3886298835277557,False,False,107,NNP NNP NNP NN NN NN
gui buffer set time for each line,each,1,7,4,5,0,104,2,0.5552229285240173,0.5932288765907288,0.6428994536399841,0.5932288765907288,0,1,0.2296040803194046,0,0.2347059249877929,0.0272859875112772,0.0639116466045379,0.0957573801279068,0.0566452890634536,-0.0627560019493103,False,False,99,NNP NN VBD NN IN DT NN
Fixed Object,fixed,0,2,2,0,2,100,17,0.5878140926361084,0.552995502948761,0.6095539331436157,0.552995502948761,0,0,0.3063396513462066,0,0.2968505918979645,0.1569008082151413,0.1495361477136612,0.0759006962180137,0.0790312960743904,-0.1133850067853927,False,False,101,JJ NN
verifier get mapping,get,1,3,4,1,2,116,14,0.7559405565261841,0.6322706937789917,0.6168792843818665,0.6322706937789917,0,0,0.2979028224945068,1,0.1933573484420776,-0.218091607093811,-0.2550778687000274,0.3064255714416504,0.06276735663414,0.0359650067985057,False,False,101,NN VBP NN
verifier get mapping,mapping,2,3,4,2,2,103,8,0.4697425663471222,0.3646554946899414,0.4437996745109558,0.3646554946899414,0,0,0.2820600271224975,0,0.2718779146671295,0.0925882756710052,0.0877784490585327,0.0863481238484382,0.1420975625514984,-0.0266367979347705,False,False,110,NN VBP NN
this Letter,letter,2,2,5,1,2,114,8,0.4561488330364227,0.3845367133617401,0.4237266480922699,0.3845367133617401,0,0,0.3245922029018402,0,0.3191516101360321,0.4129292368888855,0.2940646409988403,0.0586863383650779,0.2050450295209884,0.071849301457405,False,False,101,DT NNP
reference Index Meta Datas,meta,1,4,1,2,3,97,8,0.4249624609947204,0.3386151790618896,0.3863172233104706,0.3386151790618896,0,0,0.4158752262592315,0,0.3781544864177704,0.0549123995006084,0.058476984500885,0.1368305832147598,0.0924426540732383,0.0396155230700969,False,False,116,NN NNP NNP NNPS
original Mocking Details,details,2,3,1,2,3,115,9,0.5350316762924194,0.5260790586471558,0.5119355320930481,0.5260790586471558,0,0,0.2374351471662521,0,0.1993159055709839,0.0539938919246196,0.1119786724448204,-8.781598444329575e-05,-0.0071364496834576,-0.1539549380540847,False,False,108,JJ NNP NNP
at Most,most,2,2,4,1,3,116,6,0.5809615254402161,0.6591663956642151,0.6253713369369507,0.6591663956642151,0,1,0.2299226522445678,0,0.1542070209980011,0.0,0.0,-0.0845733731985092,0.0,-0.1377776712179184,False,False,115,IN JJS
Device Handler,handler,2,2,2,1,2,114,8,0.4785613715648651,0.3858554363250732,0.4134568572044372,0.3858554363250732,0,0,0.3554484844207763,0,0.2693651616573334,0.1095547452569007,0.1545241475105285,0.2261433005332946,0.0261668320745229,-0.038298450410366,False,False,101,NN NNP
reader Flags,reader,0,2,5,0,3,114,8,0.5008169412612915,0.4584473669528961,0.434577614068985,0.4584473669528961,0,0,0.2854563593864441,0,0.2199795097112655,0.1216200962662696,0.0862927287817001,0.240465372800827,0.0966551676392555,-0.0600726641714572,False,False,101,NN NNS
m like Escape Clause Supported,clause,1,5,1,3,2,101,8,0.4437191784381866,0.4139800071716308,0.4185736775398254,0.4139800071716308,0,0,0.510094404220581,0,0.4202651679515838,0.2924833297729492,0.2423480600118637,0.0947332605719566,0.0691813752055168,0.0236237086355686,False,False,115,UH UH NN NN VBN
Temperature Cauchy 1 D,temperature,0,4,2,0,2,101,8,0.4620424509048462,0.3700277507305145,0.4337051808834076,0.3700277507305145,0,0,0.1846847981214523,0,0.1985242962837219,0.2725694477558136,0.2224927544593811,0.0681521072983741,0.0593200251460075,0.0223534479737281,True,False,114,NN NNP CD NN
Completion Handler I Unary Response Client Callback,completion,0,7,1,0,3,110,8,0.5008751153945923,0.4279257655143738,0.5280815362930298,0.4279257655143738,0,0,0.2714773118495941,0,0.2178791314363479,0.2961086630821228,0.196815475821495,0.108492687344551,0.0736157894134521,-0.0756832063198089,False,False,111,NN NN NNP NNP NN NN NN
index Data,index,0,2,1,0,0,120,8,0.4711067974567413,0.3356606364250183,0.3905889093875885,0.3356606364250183,0,0,0.2341277748346328,0,0.2508496046066284,-0.1424120664596557,-0.0878286063671112,0.2812088429927826,0.1542724370956421,-0.0243396461009979,False,False,101,NN NNP
Net before backward,net,0,3,4,0,2,116,8,0.5106870532035828,0.4178978502750397,0.495591789484024,0.4178978502750397,0,0,0.2735214531421661,0,0.2371103465557098,0.4409282803535461,0.2478434145450592,0.1629234850406646,0.0673175528645515,-0.0227830000221729,False,False,101,NN IN JJ
